# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 8.99999999999999e-09
512 0.25 8.99999999999999e-09
1024 0.5 8.99999999999999e-09
1536 0.75 8.99999999999999e-09
2048 1 8.99999999999999e-09
2560 1.25 8.99999999999999e-09
3072 1.5 8.99999999999999e-09
3584 1.75 8.99999999999999e-09
4096 2 8.99999999999999e-09
4608 2.25 8.99999999999999e-09
5120 2.5 8.99999999999999e-09
5632 2.75 8.99999999999999e-09
6144 3 8.99999999999999e-09
6656 3.25 8.99999999999999e-09
7168 3.5 8.99999999999999e-09
7680 3.75 8.99999999999999e-09
8192 4 8.99999999999999e-09
8704 4.25 8.99999999999999e-09
9216 4.5 8.99999999999999e-09
9728 4.75 8.99999999999999e-09
10240 5 8.99999999999999e-09
10752 5.25 8.99999999999999e-09
11264 5.5 8.99999999999999e-09
11776 5.75 8.99999999999999e-09
12288 6 8.99999999999999e-09
12800 6.25 8.99999999999999e-09
13312 6.5 8.99999999999999e-09
13824 6.75 8.99999999999999e-09
14336 7 8.99999999999999e-09
14848 7.25 8.99999999999999e-09
15360 7.5 8.99999999999999e-09
15872 7.75 8.99999999999999e-09
16384 8 8.99999999999999e-09
16896 8.25 8.99999999999999e-09
17408 8.5 8.99999999999999e-09
17920 8.75 8.99999999999999e-09
18432 9 8.99999999999999e-09
18944 9.25 8.99999999999999e-09
19456 9.5 8.99999999999999e-09
19968 9.75 8.99999999999999e-09
20480 10 8.99999999999999e-09
20992 10.25 8.99999999999999e-09
21504 10.5 8.99999999999999e-09
22016 10.75 8.99999999999999e-09
22528 11 8.99999999999999e-09
23040 11.25 8.99999999999999e-09
23552 11.5 8.99999999999999e-09
24064 11.75 8.99999999999999e-09
24576 12 8.99999999999999e-09
25088 12.25 8.99999999999999e-09
25600 12.5 8.99999999999999e-09
26112 12.75 8.99999999999999e-09
26624 13 8.99999999999999e-09
27136 13.25 8.99999999999999e-09
27648 13.5 8.99999999999999e-09
28160 13.75 8.99999999999999e-09
28672 14 8.99999999999999e-09
29184 14.25 8.99999999999999e-09
29696 14.5 8.99999999999999e-09
30208 14.75 8.99999999999999e-09
30720 15 8.99999999999999e-09
31232 15.25 8.99999999999999e-09
31744 15.5 8.99999999999999e-09
32256 15.75 8.99999999999999e-09
32768 16 8.99999999999999e-09
33280 16.25 8.99999999999999e-09
33792 16.5 8.99999999999999e-09
34304 16.75 8.99999999999999e-09
34816 17 8.99999999999999e-09
35328 17.25 8.99999999999999e-09
35840 17.5 8.99999999999999e-09
36352 17.75 8.99999999999999e-09
36864 18 8.99999999999999e-09
37376 18.25 8.99999999999999e-09
37888 18.5 8.99999999999999e-09
38400 18.75 8.99999999999999e-09
38912 19 8.99999999999999e-09
39424 19.25 8.99999999999999e-09
39936 19.5 8.99999999999999e-09
40448 19.75 8.99999999999999e-09
40960 20 8.99999999999999e-09
41472 20.25 8.99999999999999e-09
41984 20.5 8.99999999999999e-09
42496 20.75 8.99999999999999e-09
43008 21 8.99999999999999e-09
43520 21.25 8.99999999999999e-09
44032 21.5 8.99999999999999e-09
44544 21.75 8.99999999999999e-09
45056 22 8.99999999999999e-09
45568 22.25 8.99999999999999e-09
46080 22.5 8.99999999999999e-09
46592 22.75 8.99999999999999e-09
47104 23 8.99999999999999e-09
47616 23.25 8.99999999999999e-09
48128 23.5 8.99999999999999e-09
48640 23.75 8.99999999999999e-09
49152 24 8.99999999999999e-09
49664 24.25 8.99999999999999e-09
50176 24.5 8.99999999999999e-09
50688 24.75 8.99999999999999e-09
51200 25 8.99999999999999e-09
51712 25.25 8.99999999999999e-09
52224 25.5 8.99999999999999e-09
52736 25.75 8.99999999999999e-09
53248 26 8.99999999999999e-09
53760 26.25 8.99999999999999e-09
54272 26.5 8.99999999999999e-09
54784 26.75 8.99999999999999e-09
55296 27 8.99999999999999e-09
55808 27.25 8.99999999999999e-09
56320 27.5 8.99999999999999e-09
56832 27.75 8.99999999999999e-09
57344 28 8.99999999999999e-09
57856 28.25 8.99999999999999e-09
58368 28.5 8.99999999999999e-09
58880 28.75 8.99999999999999e-09
59392 29 8.99999999999999e-09
59904 29.25 8.99999999999999e-09
60416 29.5 8.99999999999999e-09
60928 29.75 8.99999999999999e-09
61440 30 8.99999999999999e-09
61952 30.25 8.99999999999999e-09
62464 30.5 8.99999999999999e-09
62976 30.75 8.99999999999999e-09
63488 31 8.99999999999999e-09
64000 31.25 8.99999999999999e-09
64512 31.5 8.99999999999999e-09
65024 31.75 8.99999999999999e-09
