# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
48640 23.75 2.16596958541845e-06 2.16596905476457e-06 2.16597038924877e-06
49152 24 2.16317955000523e-06 2.16317935020057e-06 2.16318060615e-06
49664 24.25 2.15941224991437e-06 2.15941149768707e-06 2.15941148011721e-06
50176 24.5 2.15144934053152e-06 2.15144893284376e-06 2.15144897834908e-06
50688 24.75 2.13653641062359e-06 2.13653686510666e-06 2.1365355693371e-06
51200 25 2.12635917213773e-06 2.12636126637749e-06 2.12636024535243e-06
51712 25.25 2.12271194842459e-06 2.1227124704699e-06 2.12271177862091e-06
52224 25.5 2.11861757981424e-06 2.11861743543362e-06 2.1186172160859e-06
52736 25.75 2.11131513237687e-06 2.11131469893981e-06 2.11131381538783e-06
53248 26 2.09975160254565e-06 2.09975264394285e-06 2.09975079101306e-06
53760 26.25 2.10107501000778e-06 2.10107689220063e-06 2.10107577448846e-06
54272 26.5 2.10003040454341e-06 2.10003053864504e-06 2.10003186428164e-06
54784 26.75 2.09175275242075e-06 2.09175183440745e-06 2.09175175108595e-06
55296 27 2.07891600534753e-06 2.07891312317141e-06 2.07891432756506e-06
55808 27.25 2.081873892503e-06 2.08187019877818e-06 2.08187222716766e-06
56320 27.5 2.10609111184562e-06 2.10608704884638e-06 2.10608902041643e-06
56832 27.75 2.13041593532097e-06 2.13041403229903e-06 2.13041291673564e-06
57344 28 2.16248960645125e-06 2.16248992144202e-06 2.16248751706532e-06
57856 28.25 2.20814678238889e-06 2.20814798700227e-06 2.20814709533304e-06
58368 28.5 2.25665043966376e-06 2.25665192733733e-06 2.25665108120314e-06
58880 28.75 2.2991952336625e-06 2.29919419661648e-06 2.29919351657479e-06
59392 29 2.33748742423671e-06 2.337485044865e-06 2.33748501388147e-06
59904 29.25 2.37255742136552e-06 2.3725530913718e-06 2.37255429025259e-06
60416 29.5 2.4001001070681e-06 2.40009701618643e-06 2.40009790904228e-06
60928 29.75 2.42318496335447e-06 2.42318370116588e-06 2.42318358207397e-06
61440 30 2.44253677128258e-06 2.44253551416497e-06 2.44253686686341e-06
61952 30.25 2.46685369447006e-06 2.46685206946693e-06 2.46685381474651e-06
62464 30.5 2.49357415075021e-06 2.49357435220856e-06 2.49357422383332e-06
62976 30.75 2.51734127305961e-06 2.51734103995436e-06 2.51734089919534e-06
63488 31 2.53474546282573e-06 2.53474258643123e-06 2.53474331246087e-06
64000 31.25 2.54752630556258e-06 2.54752378872596e-06 2.54752452086497e-06
64512 31.5 2.54800688308699e-06 2.54800636743186e-06 2.5480055986496e-06
65024 31.75 2.54426314299648e-06 2.54426411671778e-06 2.54426185758098e-06
65536 32 2.5393707355021e-06 2.53937093979001e-06 2.53937078070607e-06
66048 32.25 2.54368616938479e-06 2.54368435758018e-06 2.54368441672118e-06
66560 32.5 2.55687936926011e-06 2.55687708357537e-06 2.55687865258613e-06
67072 32.75 2.56087803334232e-06 2.56087492120877e-06 2.56087722257361e-06
67584 33 2.55052459386598e-06 2.5505233542302e-06 2.55052502381897e-06
68096 33.25 2.52758139110715e-06 2.5275816032397e-06 2.52758288462606e-06
68608 33.5 2.50738481028476e-06 2.50738336724117e-06 2.50738438127246e-06
69120 33.75 2.50034482887931e-06 2.50034432510568e-06 2.50034331233488e-06
69632 34 2.50166939953408e-06 2.50166868389647e-06 2.50166703495413e-06
70144 34.25 2.4914516041513e-06 2.49145007891679e-06 2.49144935944618e-06
70656 34.5 2.4609823878077e-06 2.46098074994115e-06 2.46097840796687e-06
71168 34.75 2.41549610608729e-06 2.41549482522314e-06 2.41549293096364e-06
71680 35 2.37017807361423e-06 2.37017931070016e-06 2.37017777592003e-06
72192 35.25 2.34397977956176e-06 2.34398012978585e-06 2.34398004734735e-06
72704 35.5 2.33149890058488e-06 2.33149760286508e-06 2.3314993103775e-06
73216 35.75 2.31611812064733e-06 2.31611853772716e-06 2.31611716599102e-06
73728 36 2.28229022645738e-06 2.28228986437916e-06 2.28229010147482e-06
74240 36.25 2.22686244042214e-06 2.22686536239294e-06 2.22686532452085e-06
74752 36.5 2.15280268371162e-06 2.15281014809823e-06 2.15280800109523e-06
75264 36.75 2.07719561714625e-06 2.07719815958081e-06 2.07719954008028e-06
75776 37 2.01722622540335e-06 2.01722446631206e-06 2.01722454283991e-06
76288 37.25 1.96731457731183e-06 1.96731038119122e-06 1.96731089919029e-06
