# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.25 0.00127934771780967
1024 0.5 0.00127873297090517
1536 0.75 0.00127816213063795
2048 1 0.00127765152215861
2560 1.25 0.00127721663319092
3072 1.5 0.00127687156983615
3584 1.75 0.00127662866404797
4096 2 0.00127649828239384
4608 2.25 0.0012764914429373
5120 2.5 0.00127666053933039
5632 2.75 0.0012770189075013
6144 3 0.00127757045023351
6656 3.25 0.00127829416785785
7168 3.5 0.00127916157148052
7680 3.75 0.00128013994055038
8192 4 0.00128119522594468
8704 4.25 0.00128229466271548
9216 4.5 0.0012834089971357
9728 4.75 0.00128451425115673
10240 5 0.00128559304020461
10752 5.25 0.00128663466289377
11264 5.5 0.00128763717828592
11776 5.75 0.00128861669501744
12288 6 0.00128958373472653
12800 6.25 0.00129054724602491
13312 6.5 0.00129151748134835
13824 6.75 0.00129251759730381
14336 7 0.00129356503015819
14848 7.25 0.00129466459486925
15360 7.5 0.00129582118187523
15872 7.75 0.00129703961144549
16384 8 0.00129832437319987
16896 8.25 0.00129967932388133
17408 8.5 0.00130110746395909
17920 8.75 0.00130261097771013
18432 9 0.00130419177237474
18944 9.25 0.0013058629815956
19456 9.5 0.00130762783174217
19968 9.75 0.00130947927663994
20480 10 0.00131140914767735
20992 10.25 0.00131340872947233
21504 10.5 0.00131546840180638
22016 10.75 0.00131757748122781
22528 11 0.00131972512336885
23040 11.25 0.00132190159292992
23552 11.5 0.00132409875245332
24064 11.75 0.00132630986181596
24576 12 0.00132852954185708
25088 12.25 0.00133075452418779
25600 12.5 0.00133299624833903
26112 12.75 0.00133525911660283
26624 13 0.00133754217008386
27136 13.25 0.00133984524250591
27648 13.5 0.0013421683779204
28160 13.75 0.00134451155129064
28672 14 0.0013468751453142
29184 14.25 0.00134926045232167
29696 14.5 0.00135166934080123
30208 14.75 0.00135410377113051
30720 15 0.00135656602630038
31232 15.25 0.00135905914917388
31744 15.5 0.00136158654367637
32256 15.75 0.0013641510503765
32768 16 0.00136675467185759
33280 16.25 0.00136939916132797
33792 16.5 0.00137208654785298
34304 16.75 0.00137481882770678
34816 17 0.00137759752737696
35328 17.25 0.00138042368940264
35840 17.5 0.00138329780146964
36352 17.75 0.00138621942462887
36864 18 0.00138918709270385
37376 18.25 0.00139219884958086
37888 18.5 0.00139525275240365
38400 18.75 0.00139834679059961
38912 19 0.00140147874339247
39424 19.25 0.00140464623520447
39936 19.5 0.00140784663124906
40448 19.75 0.00141107668080386
40960 20 0.00141433253303787
41472 20.25 0.00141761055830263
41984 20.5 0.00142090827929995
42496 20.75 0.00142422438197225
43008 21 0.0014275576165321
43520 21.25 0.0014309060715909
44032 21.5 0.00143426742307755
44544 21.75 0.00143763980653559
45056 22 0.00144102255326879
45568 22.25 0.0014444162121971
46080 22.5 0.00144782184279534
46592 22.75 0.00145124020078245
47104 23 0.00145467155464254
47616 23.25 0.00145811626335483
48128 23.5 0.00146157525890969
48640 23.75 0.00146504999555713
49152 24 0.00146854215650963
49664 24.25 0.00147205333339083
50176 24.5 0.0014755847849932
50688 24.75 0.00147913738813644
51200 25 0.00148271197774652
51712 25.25 0.00148630992295858
52224 25.5 0.00148993330409704
52736 25.75 0.00149358426624947
53248 26 0.00149726411557512
53760 26.25 0.00150097295352443
54272 26.5 0.00150471011703197
54784 26.75 0.00150847494432409
55296 27 0.001512267115968
55808 27.25 0.00151608627302425
56320 27.5 0.00151993136102426
56832 27.75 0.00152380051374137
57344 28 0.0015276917653441
57856 28.25 0.00153160385646803
58368 28.5 0.00153553614647416
58880 28.75 0.00153948762440901
59392 29 0.00154345610389916
59904 29.25 0.00154743861035206
60416 29.5 0.00155143246878226
