# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.922302217213515
512 0.5 0.922415441826752
1024 1 0.922519592604437
1536 1.5 0.922618908504022
2048 2 0.92273007919255
2560 2.5 0.922849680246641
3072 3 0.922971455746563
3584 3.5 0.923095790301806
4096 4 0.923224247785749
4608 4.5 0.923357040946456
5120 5 0.92349373456368
5632 5.5 0.923633946958929
6144 6 0.92377775060204
6656 6.5 0.923925240970483
7168 7 0.924076163278996
7680 7.5 0.924230556558999
8192 8 0.924388579322211
8704 8.5 0.924548867210895
9216 9 0.924709378113096
9728 9.5 0.924870546217686
10240 10 0.925033582547805
10752 10.5 0.925196360315491
11264 11 0.925356846512586
11776 11.5 0.925516850625304
12288 12 0.925675835146283
12800 12.5 0.925828709390043
13312 13 0.925974298720837
13824 13.5 0.926115397806995
14336 14 0.926250697588774
14848 14.5 0.926377483818917
15360 15 0.92649728292023
15872 15.5 0.926611771509871
16384 16 0.926720697324452
16896 16.5 0.926825611880327
17408 17 0.92692958770521
17920 17.5 0.927035562132863
18432 18 0.927146586041108
18944 18.5 0.927263808418554
19456 19 0.927385881513953
19968 19.5 0.927511996156571
20480 20 0.927642029683627
20992 20.5 0.927774761054235
21504 21 0.927908792773642
22016 21.5 0.928042836605583
22528 22 0.928174529522246
23040 22.5 0.928301588349276
23552 23 0.928423182381545
24064 23.5 0.928538811741744
24576 24 0.928647462815933
25088 24.5 0.928747889754653
25600 25 0.928838475678659
26112 25.5 0.928917634595333
26624 26 0.928984851330019
27136 26.5 0.929040635609439
27648 27 0.929085725127783
28160 27.5 0.929120427684531
28672 28 0.929144053753217
29184 28.5 0.929154805334616
29696 29 0.929149784066955
30208 29.5 0.929125050607503
30720 30 0.929077258446447
31232 30.5 0.929005931975166
31744 31 0.928913947670916
32256 31.5 0.92880788445435
32768 32 0.928699483683592
33280 32.5 0.928603751351237
33792 33 0.928531630101005
34304 33.5 0.928483381983566
34816 34 0.928449166511806
35328 34.5 0.928416665715405
35840 35 0.928380338271104
36352 35.5 0.928344663084032
36864 36 0.928317326354967
37376 36.5 0.928299230370209
37888 37 0.928283504260764
38400 37.5 0.928264457845266
38912 38 0.928244318586515
39424 38.5 0.928229584962881
39936 39 0.928222601286227
40448 39.5 0.928218798428028
40960 40 0.928212455916959
41472 40.5 0.928203648765836
41984 41 0.928197382545082
42496 41.5 0.928195822603435
43008 42 0.928194353988814
43520 42.5 0.928187600763175
44032 43 0.928177240532765
44544 43.5 0.928170116794467
45056 44 0.928169274635664
45568 44.5 0.928171190376151
46080 45 0.92817228120843
46592 45.5 0.928173396303796
47104 46 0.92817611722103
47616 46.5 0.92817882638743
48128 47 0.92817923026546
48640 47.5 0.928178156006342
49152 48 0.928178133114136
49664 48.5 0.928179531179145
50176 49 0.928180496369534
50688 49.5 0.92818027997565
51200 50 0.92818040089256
51712 50.5 0.928182357110457
52224 51 0.928186278718559
52736 51.5 0.928192109798589
53248 52 0.928199993108929
53760 52.5 0.928209220719071
54272 53 0.928218673211104
54784 53.5 0.92822824180908
55296 54 0.928238327379419
55808 54.5 0.928248483919396
56320 55 0.928257904360602
56832 55.5 0.928266624806836
57344 56 0.928275155908388
57856 56.5 0.928283448564929
58368 57 0.928291066961636
58880 57.5 0.928297909216664
59392 58 0.928303932915971
59904 58.5 0.928308550575803
60416 59 0.928311192160346
60928 59.5 0.928312198405299
61440 60 0.928312305013061
61952 60.5 0.928311571371065
62464 61 0.92830968766912
62976 61.5 0.928306971780762
63488 62 0.928304198376813
64000 62.5 0.928301761181053
64512 63 0.928299696365178
65024 63.5 0.928298145286708
65536 64 0.928297181969772
66048 64.5 0.92829650433016
66560 65 0.928295695864562
67072 65.5 0.928294517375988
67584 66 0.928292834947141
68096 66.5 0.928290654698372
68608 67 0.928288297121178
69120 67.5 0.928286224470723
69632 68 0.928284649589818
70144 68.5 0.928283418038583
70656 69 0.928282191279428
71168 69.5 0.928280727766517
71680 70 0.928279117727973
72192 70.5 0.928277727508161
72704 71 0.928276786820495
73216 71.5 0.928276047395495
73728 72 0.928274981243292
74240 72.5 0.928273383383201
74752 73 0.928271663791596
75264 73.5 0.928270348353633
75776 74 0.928269361620377
76288 74.5 0.928268113050945
76800 75 0.928266279398176
77312 75.5 0.928264140110632
77824 76 0.928262089855036
78336 76.5 0.928260119663285
78848 77 0.928257876971847
79360 77.5 0.928255129403967
79872 78 0.928252092522929
80384 78.5 0.928249193650348
80896 79 0.928246532038759
81408 79.5 0.928243831486081
81920 80 0.9282409578561
82432 80.5 0.928238141202961
82944 81 0.928235575794867
83456 81.5 0.928233132261022
83968 82 0.928230656658985
84480 82.5 0.92822827361353
84992 83 0.928226136314135
85504 83.5 0.928224111719195
86016 84 0.92822200333054
86528 84.5 0.928219879256162
87040 85 0.92821790037808
87552 85.5 0.928216022166415
88064 86 0.928214145332781
88576 86.5 0.928212394845109
89088 87 0.928210924710883
89600 87.5 0.928209518175048
90112 88 0.928207766538118
90624 88.5 0.928205689832517
91136 89 0.928203755208345
91648 89.5 0.928202160285667
92160 90 0.928200550554615
92672 90.5 0.928198619840112
93184 91 0.928196564551623
93696 91.5 0.928194714569996
94208 92 0.928193022790703
94720 92.5 0.928191183503456
95232 93 0.928189110609646
95744 93.5 0.928187023614456
96256 94 0.928185058831388
96768 94.5 0.928183066961898
97280 95 0.928180906774234
97792 95.5 0.928178707131509
98304 96 0.928176662263565
98816 96.5 0.928174706694106
99328 97 0.928172577494525
99840 97.5 0.92817017878739
100352 98 0.928167739990747
100864 98.5 0.928165538057034
101376 99 0.928163553571408
101888 99.5 0.928161528299844
102400 100 0.928159320564655
102912 100.5 0.928157053205807
103424 101 0.928154888901962
103936 101.5 0.928152797339771
104448 102 0.92815064214231
104960 102.5 0.928148414860184
105472 103 0.928146235129701
105984 103.5 0.928144138047946
106496 104 0.928142016833408
107008 104.5 0.928139803482868
107520 105 0.928137580259061
108032 105.5 0.928135460347828
108544 106 0.92813342902679
109056 106.5 0.928131357096383
109568 107 0.928129153264298
110080 107.5 0.928126865082036
110592 108 0.928124625704873
111104 108.5 0.928122514520227
111616 109 0.928120465736933
112128 109.5 0.92811833789902
112640 110 0.928116101029012
113152 110.5 0.928113883142236
113664 111 0.928111782349559
114176 111.5 0.928109743113313
114688 112 0.928107675241137
115200 112.5 0.928105581001919
115712 113 0.928103512220869
116224 113.5 0.928101476575876
116736 114 0.928099437236099
117248 114.5 0.928097399883149
117760 115 0.928095438668279
118272 115.5 0.928093576792802
118784 116 0.928091720681434
119296 116.5 0.928089796042129
119808 117 0.928087857126556
120320 117.5 0.928086000855931
120832 118 0.928084260506851
121344 118.5 0.928082596594225
121856 119 0.928080925195494
122368 119.5 0.92807917983833
122880 120 0.928077387798867
123392 120.5 0.928075656179763
123904 121 0.928074059558851
124416 121.5 0.92807255016074
124928 122 0.928070996463049
125440 122.5 0.928069330692246
125952 123 0.928067640821831
126464 123.5 0.928066075894701
126976 124 0.928064670627368
127488 124.5 0.928063306123086
128000 125 0.928061848221917
128512 125.5 0.928060297249575
129024 126 0.928058780406706
129536 126.5 0.928057398455131
130048 127 0.928056111512669
130560 127.5 0.928054802047788
131072 128 0.928053422857051
131584 128.5 0.928052041864005
132096 129 0.928050752816743
132608 129.5 0.928049577152877
133120 130 0.92804845983326
133632 130.5 0.928047344397462
134144 131 0.92804623166711
134656 131.5 0.928045159833385
135168 132 0.928044147098733
135680 132.5 0.92804317606202
136192 133 0.928042235803685
136704 133.5 0.9280413551889
137216 134 0.928040566691539
137728 134.5 0.928039849026361
138240 135 0.92803914065771
138752 135.5 0.928038414300089
139264 136 0.928037720379619
139776 136.5 0.928037139022742
140288 137 0.928036681162033
140800 137.5 0.92803626585953
141312 138 0.928035818746882
141824 138.5 0.928035361144151
142336 139 0.928034979593996
142848 139.5 0.928034724862341
143360 140 0.928034550365514
143872 140.5 0.928034362927402
144384 141 0.928034140818252
144896 141.5 0.928033958924363
145408 142 0.928033880635429
145920 142.5 0.928033883992305
146432 143 0.928033917750904
146944 143.5 0.928033974742623
147456 144 0.928034078943349
147968 144.5 0.928034234261761
148480 145 0.928034423668698
148992 145.5 0.928034650631987
149504 146 0.928034938139324
150016 146.5 0.9280352762603
150528 147 0.928035621701655
151040 147.5 0.928035969966711
151552 148 0.928036372202138
152064 148.5 0.928036860688233
152576 149 0.928037410493639
153088 149.5 0.928037985313025
153600 150 0.928038580546231
154112 150.5 0.928039217191635
154624 151 0.928039908103732
155136 151.5 0.928040632658276
155648 152 0.928041361108429
156160 152.5 0.928042103049396
156672 153 0.928042897058534
157184 153.5 0.928043750731713
157696 154 0.928044624885464
158208 154.5 0.92804548625942
158720 155 0.92804635824668
159232 155.5 0.928047298737228
159744 156 0.928048322301724
160256 156.5 0.928049370520562
160768 157 0.928050380582626
161280 157.5 0.92805136200536
161792 158 0.928052380444335
162304 158.5 0.928053473467332
162816 159 0.92805460631949
163328 159.5 0.928055725255162
163840 160 0.928056834983734
164352 160.5 0.928057985716538
164864 161 0.928059194953365
165376 161.5 0.928060430140944
165888 162 0.928061661917809
166400 162.5 0.928062890348677
166912 163 0.928064125507749
167424 163.5 0.928065373080523
167936 164 0.928066633102646
168448 164.5 0.928067902523792
168960 165 0.92806918422193
169472 165.5 0.928070485007096
169984 166 0.928071799133623
170496 166.5 0.928073109628651
171008 167 0.928074409648382
171520 167.5 0.928075708958155
172032 168 0.928077018847522
172544 168.5 0.928078338755597
173056 169 0.928079655713967
173568 169.5 0.928080953790151
174080 170 0.928082231628271
174592 170.5 0.9280835149692
175104 171 0.928084836178438
175616 171.5 0.928086189071638
176128 172 0.928087523604593
176640 172.5 0.928088802192531
177152 173 0.928090040495716
177664 173.5 0.92809127808239
178176 174 0.928092530783441
178688 174.5 0.928093783605618
179200 175 0.928095014348641
179712 175.5 0.928096216409265
180224 176 0.928097400550482
180736 176.5 0.928098575164298
181248 177 0.928099737718805
181760 177.5 0.928100887909341
182272 178 0.928102024159294
182784 178.5 0.928103130632565
183296 179 0.928104198249689
183808 179.5 0.928105242141657
184320 180 0.928106274772228
184832 180.5 0.928107292241938
185344 181 0.928108292885256
185856 181.5 0.928109274047743
186368 182 0.928110222942432
186880 182.5 0.928111135108553
187392 183 0.928112022308684
187904 183.5 0.928112896249222
188416 184 0.928113753914893
188928 184.5 0.928114574985289
189440 185 0.928115345739128
189952 185.5 0.928116084284774
190464 186 0.928116815975153
190976 186.5 0.928117538588153
191488 187 0.928118233290216
192000 187.5 0.928118888661203
192512 188 0.928119508355344
193024 188.5 0.928120106254251
193536 189 0.928120689421307
194048 189.5 0.928121254195846
194560 190 0.928121798464863
195072 190.5 0.928122317132837
195584 191 0.928122798913496
196096 191.5 0.928123242624429
196608 192 0.928123657215111
197120 192.5 0.928124047455026
197632 193 0.928124413132386
198144 193.5 0.92812475099895
198656 194 0.928125057076672
199168 194.5 0.92812533367899
199680 195 0.928125585380621
200192 195.5 0.928125812092205
200704 196 0.928126012165764
201216 196.5 0.928126182094508
201728 197 0.928126317343913
202240 197.5 0.928126420949177
202752 198 0.928126498298003
203264 198.5 0.928126543728117
203776 199 0.928126548337356
204288 199.5 0.928126516379766
204800 200 0.928126461140404
205312 200.5 0.928126387978616
205824 201 0.928126287948261
206336 201.5 0.928126148212012
206848 202 0.928125967136531
207360 202.5 0.928125755949295
207872 203 0.928125523920057
208384 203.5 0.928125266062733
208896 204 0.928124969874625
209408 204.5 0.928124632574909
209920 205 0.928124265983568
210432 205.5 0.928123882341479
210944 206 0.928123480562553
211456 206.5 0.928123050096108
211968 207 0.928122583453497
212480 207.5 0.928122081812181
212992 208 0.928121552863545
213504 208.5 0.928121004369066
214016 209 0.928120436156872
214528 209.5 0.928119840126531
215040 210 0.928119211203596
215552 210.5 0.928118553911468
216064 211 0.928117874271482
216576 211.5 0.928117170976377
217088 212 0.928116440659563
217600 212.5 0.928115686274228
218112 213 0.928114911804643
218624 213.5 0.928114113498364
219136 214 0.928113285965516
219648 214.5 0.928112432793904
220160 215 0.928111561889899
220672 215.5 0.928110673981618
221184 216 0.928109763385712
221696 216.5 0.928108826936615
222208 217 0.928107866196748
222720 217.5 0.928106883597054
223232 218 0.928105881566449
223744 218.5 0.928104863333688
224256 219 0.928103829470715
224768 219.5 0.928102775189799
225280 220 0.928101696074312
225792 220.5 0.928100595150044
226304 221 0.928099479665527
226816 221.5 0.928098352134386
227328 222 0.928097208737382
227840 222.5 0.928096045854326
228352 223 0.928094864259263
228864 223.5 0.928093666506765
229376 224 0.928092454165909
229888 224.5 0.928091229154989
230400 225 0.928089993513305
230912 225.5 0.928088745745134
231424 226 0.928087481941101
231936 226.5 0.928086202285589
232448 227 0.928084911776763
232960 227.5 0.928083613585852
233472 228 0.928082306326057
233984 228.5 0.928080988217048
234496 229 0.928079659719499
235008 229.5 0.928078321740005
235520 230 0.928076974680568
236032 230.5 0.928075619828545
236544 231 0.928074259135388
237056 231.5 0.92807289295626
237568 232 0.928071519938498
238080 232.5 0.92807013966412
238592 233 0.928068753658074
