# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235229804563872
512 0.5 0.0235229804560515
1024 1 0.0235229804538664
1536 1.5 0.0235229804490651
2048 2 0.0235229804425368
2560 2.5 0.0235229804374806
3072 3 0.0235229804367343
3584 3.5 0.0235229804394841
4096 4 0.0235229804467825
4608 4.5 0.0235229804600394
5120 5 0.0235229804780637
5632 5.5 0.023522980499846
6144 6 0.0235229805254247
6656 6.5 0.0235229805536061
7168 7 0.0235229805843482
7680 7.5 0.0235229806176331
8192 8 0.0235229806532014
8704 8.5 0.0235229806912818
9216 9 0.0235229807317597
9728 9.5 0.0235229807745695
10240 10 0.0235229808196402
10752 10.5 0.023522980866898
11264 11 0.0235229809162672
11776 11.5 0.0235229809676705
12288 12 0.0235229810180325
12800 12.5 0.0235229810722769
13312 13 0.0235229811282658
13824 13.5 0.0235229811854804
14336 14 0.023522981244685
14848 14.5 0.0235229813054899
15360 15 0.0235229813678468
15872 15.5 0.0235229814313865
16384 16 0.0235229814965488
16896 16.5 0.0235229815630428
17408 17 0.0235229816308093
17920 17.5 0.023522981699781
18432 18 0.0235229817698861
18944 18.5 0.0235229818395529
19456 19 0.0235229819118786
19968 19.5 0.023522981985149
20480 20 0.023522982059324
20992 20.5 0.0235229821343615
21504 21 0.0235229822102223
22016 21.5 0.0235229822868725
22528 22 0.023522982364282
23040 22.5 0.0235229824424276
23552 23 0.0235229825212803
24064 23.5 0.0235229826008081
24576 24 0.0235229826804585
25088 24.5 0.0235229827611667
25600 25 0.0235229828425326
26112 25.5 0.0235229829245355
26624 26 0.0235229830071539
27136 26.5 0.0235229830904665
27648 27 0.0235229831743304
28160 27.5 0.0235229832587412
28672 28 0.0235229833439918
29184 28.5 0.023522983428566
29696 29 0.0235229835148824
30208 29.5 0.0235229836015086
30720 30 0.0235229836887899
31232 30.5 0.0235229837767184
31744 31 0.0235229838646841
32256 31.5 0.0235229839535619
32768 32 0.0235229840426511
33280 32.5 0.0235229841319878
33792 33 0.0235229842219209
34304 33.5 0.0235229843122461
34816 34 0.0235229844028043
35328 34.5 0.0235229844933204
35840 35 0.0235229845842425
36352 35.5 0.023522984675484
36864 36 0.0235229847669417
37376 36.5 0.0235229848587862
37888 37 0.0235229849512296
38400 37.5 0.023522985044206
38912 38 0.023522985136593
39424 38.5 0.0235229852290967
39936 39 0.0235229853218408
40448 39.5 0.0235229854146032
40960 40 0.023522985507349
41472 40.5 0.0235229856001039
41984 41 0.0235229856931606
42496 41.5 0.0235229857855542
43008 42 0.0235229858789966
43520 42.5 0.0235229859725268
44032 43 0.023522986065726
44544 43.5 0.0235229861587261
45056 44 0.0235229862522242
45568 44.5 0.0235229863455202
46080 45 0.0235229864386027
46592 45.5 0.0235229865316553
47104 46 0.023522986624449
47616 46.5 0.0235229867170759
48128 47 0.0235229868095388
48640 47.5 0.0235229869018107
49152 48 0.0235229869938077
49664 48.5 0.0235229870857391
50176 49 0.0235229871775077
50688 49.5 0.0235229872688786
51200 50 0.0235229873599214
51712 50.5 0.0235229874510798
52224 51 0.0235229875419347
52736 51.5 0.0235229876322174
53248 52 0.0235229877226209
53760 52.5 0.023522987812622
54272 53 0.0235229879027518
54784 53.5 0.0235229879922562
55296 54 0.0235229880817295
55808 54.5 0.0235229881711107
56320 55 0.0235229882602564
56832 55.5 0.0235229883489
57344 56 0.0235229884373841
57856 56.5 0.0235229885258241
58368 57 0.0235229886141383
58880 57.5 0.0235229887020841
59392 58 0.0235229887897686
59904 58.5 0.0235229888771361
60416 59 0.0235229889641814
60928 59.5 0.0235229890509745
61440 60 0.0235229891374098
61952 60.5 0.0235229892235536
62464 61 0.0235229893093544
62976 61.5 0.0235229893946971
63488 62 0.0235229894796289
64000 62.5 0.0235229895643706
64512 63 0.0235229896488143
65024 63.5 0.0235229897330163
65536 64 0.0235229898166796
66048 64.5 0.0235229899003077
66560 65 0.0235229899836108
67072 65.5 0.0235229900665781
67584 66 0.0235229901494381
68096 66.5 0.0235229902319774
68608 67 0.0235229903141719
69120 67.5 0.0235229903962261
69632 68 0.0235229904788412
70144 68.5 0.0235229905607727
70656 69 0.0235229906425383
71168 69.5 0.0235229907243354
71680 70 0.0235229908058921
72192 70.5 0.0235229908874522
72704 71 0.0235229909689874
73216 71.5 0.0235229910507039
73728 72 0.0235229911325936
74240 72.5 0.0235229912143949
74752 73 0.023522991296219
75264 73.5 0.0235229913781044
75776 74 0.023522991460106
76288 74.5 0.0235229915423947
76800 75 0.0235229916249612
77312 75.5 0.0235229917077452
77824 76 0.0235229917904608
78336 76.5 0.023522991873356
78848 77 0.0235229919560886
79360 77.5 0.0235229920392169
79872 78 0.0235229921226238
80384 78.5 0.0235229922059772
80896 79 0.0235229922895714
81408 79.5 0.0235229923735037
81920 80 0.0235229924573108
82432 80.5 0.0235229925417377
82944 81 0.0235229926265727
83456 81.5 0.0235229927116707
83968 82 0.0235229927969313
