# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 1.21371434023785e-06 1.21371434023786e-06 1.21371434023786e-06
1024 1 1.06295921201437e-05 1.06295921201437e-05 1.06295921201437e-05
1536 1.5 3.02094142971566e-05 3.02094142971566e-05 3.02094142971566e-05
2048 2 5.24745486344958e-05 5.24745486344957e-05 5.24745486344958e-05
2560 2.5 6.87513035045045e-05 6.87513035045044e-05 6.87513035045044e-05
3072 3 7.41107235138461e-05 7.4110723513846e-05 7.41107235138463e-05
3584 3.5 7.86970355806713e-05 7.86970355806715e-05 7.86970355806714e-05
4096 4 8.29579417166498e-05 8.29579417166512e-05 8.29579417166361e-05
4608 4.5 8.42145259261686e-05 8.42145259261375e-05 8.42145259261636e-05
5120 5 9.06356332564105e-05 9.06356332563635e-05 9.06356332563944e-05
5632 5.5 9.28223485211885e-05 9.28223485211723e-05 9.28223485212272e-05
6144 6 0.000101174065284874 0.000101174065284861 0.000101174065284904
6656 6.5 0.000100244017616841 0.00010024401761686 0.00010024401761684
7168 7 0.000112861744853699 0.000112861744853754 0.000112861744853711
7680 7.5 0.000114252587941536 0.00011425258794161 0.00011425258794162
8192 8 0.000130961693363353 0.000130961693363435 0.000130961693363448
8704 8.5 0.000138025018098143 0.000138025018098199 0.000138025018098387
9216 9 0.00014524225162026 0.00014524225162028 0.000145242251620246
9728 9.5 0.000161569965200364 0.000161569965200267 0.000161569965200334
10240 10 0.000167822826156621 0.000167822826156526 0.000167822826156578
10752 10.5 0.000168522590498271 0.000168522590498228 0.000168522590498206
11264 11 0.000156837098107483 0.000156837098107329 0.000156837098107341
11776 11.5 0.000132161440801533 0.000132161440801413 0.000132161440801512
12288 12 9.53121353651923e-05 9.53121353650047e-05 9.53121353650987e-05
12800 12.5 4.33399559275714e-05 4.33399559276407e-05 4.3339955927589e-05
13312 13 2.29661045103036e-05 2.29661045102971e-05 2.29661045103278e-05
13824 13.5 4.00646005736554e-05 4.00646005738603e-05 4.00646005739377e-05
14336 14 4.73952662408537e-05 4.73952662409757e-05 4.73952662410214e-05
14848 14.5 5.11771607905965e-05 5.11771607906983e-05 5.11771607904932e-05
15360 15 6.86591477678697e-05 6.86591477679133e-05 6.86591477677754e-05
15872 15.5 7.29646435410496e-05 7.29646435410102e-05 7.29646435411266e-05
16384 16 6.4506019914687e-05 6.4506019914578e-05 6.45060199147937e-05
16896 16.5 6.21146276042252e-05 6.21146276042314e-05 6.21146276041837e-05
17408 17 6.27398732393606e-05 6.27398732395039e-05 6.2739873239653e-05
17920 17.5 6.84276283581527e-05 6.84276283578611e-05 6.8427628357969e-05
18432 18 8.08354350885082e-05 8.08354350885272e-05 8.08354350885249e-05
18944 18.5 8.41972954374075e-05 8.41972954373327e-05 8.41972954372448e-05
19456 19 6.99019833893443e-05 6.99019833892959e-05 6.99019833892188e-05
19968 19.5 6.85759228926406e-05 6.85759228927278e-05 6.85759228925652e-05
20480 20 5.98639330310905e-05 5.98639330314138e-05 5.98639330311508e-05
20992 20.5 5.63718496368333e-05 5.63718496368698e-05 5.63718496365887e-05
21504 21 7.55309558886004e-05 7.5530955888531e-05 7.5530955888363e-05
22016 21.5 7.51296646257607e-05 7.51296646258934e-05 7.51296646257633e-05
22528 22 4.61844528700538e-05 4.61844528702023e-05 4.61844528701941e-05
23040 22.5 4.54098573444217e-05 4.54098573443565e-05 4.54098573443318e-05
23552 23 2.97500229851295e-05 2.9750022984937e-05 2.97500229849513e-05
24064 23.5 3.09406141135611e-05 3.09406141136114e-05 3.09406141135202e-05
24576 24 4.6837277947351e-05 4.68372779475547e-05 4.68372779474312e-05
25088 24.5 3.03497138133095e-05 3.0349713813309e-05 3.0349713813362e-05
25600 25 1.14607841523848e-05 1.14607841525305e-05 1.14607841523551e-05
26112 25.5 1.12136919056887e-05 1.12136919058407e-05 1.1213691905531e-05
26624 26 8.97270877606943e-06 8.97270877591511e-06 8.97270877618271e-06
27136 26.5 7.54131766068322e-06 7.54131766063688e-06 7.54131766080898e-06
27648 27 5.7237869605485e-06 5.72378696050451e-06 5.72378696060131e-06
28160 27.5 4.12651085306662e-06 4.12651085326228e-06 4.12651085322008e-06
28672 28 4.9782566793769e-06 4.97825667951779e-06 4.97825667954206e-06
29184 28.5 5.03047639641623e-06 5.03047639632935e-06 5.03047639660749e-06
29696 29 5.8639648081662e-06 5.86396480835986e-06 5.86396480815198e-06
30208 29.5 5.06069829089245e-06 5.06069829094698e-06 5.06069829071336e-06
30720 30 3.18239733992039e-06 3.18239734018768e-06 3.18239734005957e-06
31232 30.5 2.00282885754348e-06 2.00282885779815e-06 2.00282885763547e-06
31744 31 6.05894579130776e-07 6.05894579169965e-07 6.0589457898749e-07
32256 31.5 7.27007885046976e-07 7.27007884874344e-07 7.2700788484338e-07
32768 32 4.9090578292069e-07 4.90905782897553e-07 4.90905783024439e-07
33280 32.5 1.89682792233448e-19 9.79214799314408e-20 8.21342443256855e-25
33792 33 1.48616440710803e-19 6.78982373529357e-20 8.40809352099703e-25
34304 33.5 1.57729151405708e-06 1.57729151411158e-06 1.57729151415648e-06
34816 34 3.74442086995741e-06 3.74442086998863e-06 3.74442086996551e-06
35328 34.5 4.40443586566217e-06 4.40443586569509e-06 4.40443586551607e-06
35840 35 2.96780240575697e-06 2.96780240570779e-06 2.96780240564569e-06
36352 35.5 8.25953703624588e-07 8.25953703964696e-07 8.25953703976361e-07
36864 36 1.24823662361962e-19 3.38374186731684e-19 2.77912070092702e-25
37376 36.5 4.80747712902541e-07 4.80747712749803e-07 4.80747712929521e-07
37888 37 1.80004223667805e-06 1.80004223665608e-06 1.80004223682848e-06
38400 37.5 2.52074222943601e-06 2.52074222962071e-06 2.52074222989882e-06
38912 38 2.18494033728309e-06 2.18494033743088e-06 2.18494033728248e-06
39424 38.5 1.12592588759531e-06 1.1259258874661e-06 1.12592588771095e-06
39936 39 1.29530859749883e-19 1.33858659035479e-19 5.27248952011339e-25
40448 39.5 1.9564533436881e-19 4.53709752763789e-20 4.85200798219922e-25
40960 40 1.97126240818747e-19 1.27302742387552e-19 3.90680519848472e-25
41472 40.5 1.87090904013044e-19 1.88246322048455e-19 3.90985624374666e-25
41984 41 1.51579409610343e-07 1.51579409231215e-07 1.51579409406157e-07
42496 41.5 6.10173357105915e-07 6.10173357050279e-07 6.10173357338554e-07
43008 42 3.43691472689222e-07 3.43691472768928e-07 3.43691472657779e-07
43520 42.5 1.42705608658096e-19 2.17475202192422e-19 2.98577265400249e-25
44032 43 1.47417856381286e-19 2.86573636896988e-19 3.0974853179885e-25
44544 43.5 1.78003958359213e-19 2.21493078674537e-19 3.80144827328225e-25
45056 44 1.8829764733549e-19 1.70670676423589e-19 4.00572104239114e-25
45568 44.5 1.67061121311888e-19 9.81080757296474e-20 3.2473891955134e-25
46080 45 1.70870657157695e-19 1.07682295443374e-19 3.28281251726495e-25
