# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
41984 41 -0.183160871450482 -0.183160871450482 -0.183160871450485
42496 41.5 -0.183888768535848 -0.183888768535847 -0.183888768535851
43008 42 -0.184570455220298 -0.184570455220298 -0.184570455220301
43520 42.5 -0.185218445007215 -0.185218445007215 -0.185218445007217
44032 43 -0.185840092907902 -0.185840092907901 -0.185840092907904
44544 43.5 -0.186436137895114 -0.186436137895114 -0.186436137895117
45056 44 -0.18700623754112 -0.187006237541119 -0.187006237541122
45568 44.5 -0.18755562374536 -0.187555623745359 -0.187555623745361
46080 45 -0.18809912039844 -0.18809912039844 -0.188099120398442
46592 45.5 -0.18865472339781 -0.188654723397811 -0.188654723397812
47104 46 -0.189229589760369 -0.189229589760369 -0.189229589760371
47616 46.5 -0.189818454850703 -0.189818454850702 -0.189818454850706
48128 47 -0.190414553137475 -0.190414553137474 -0.190414553137477
48640 47.5 -0.191018135196518 -0.191018135196518 -0.19101813519652
49152 48 -0.191634303331825 -0.191634303331825 -0.191634303331827
49664 48.5 -0.192267745787071 -0.192267745787071 -0.192267745787072
50176 49 -0.192918289461839 -0.192918289461838 -0.19291828946184
50688 49.5 -0.19358121980624 -0.193581219806239 -0.193581219806242
51200 50 -0.194252333078505 -0.194252333078504 -0.194252333078507
51712 50.5 -0.194931618802894 -0.194931618802893 -0.194931618802896
52224 51 -0.195622155395908 -0.195622155395908 -0.195622155395909
52736 51.5 -0.196326334258147 -0.196326334258146 -0.196326334258148
53248 52 -0.197044481820627 -0.197044481820626 -0.197044481820628
53760 52.5 -0.197775839263071 -0.197775839263071 -0.197775839263073
54272 53 -0.198519354293028 -0.198519354293028 -0.19851935429303
54784 53.5 -0.199273991047427 -0.199273991047426 -0.199273991047428
55296 54 -0.200038094976717 -0.200038094976716 -0.200038094976718
55808 54.5 -0.200802015825751 -0.200802015825751 -0.200802015825754
56320 55 -0.20155857245878 -0.201558572458781 -0.201558572458783
56832 55.5 -0.202307222254775 -0.202307222254775 -0.202307222254776
57344 56 -0.203049802201664 -0.203049802201664 -0.203049802201666
57856 56.5 -0.203790231562138 -0.203790231562138 -0.20379023156214
58368 57 -0.204528686125269 -0.20452868612527 -0.204528686125272
58880 57.5 -0.205265730831697 -0.205265730831699 -0.2052657308317
59392 58 -0.206002024624628 -0.206002024624629 -0.20600202462463
59904 58.5 -0.206737983475762 -0.206737983475763 -0.206737983475764
60416 59 -0.207475082106607 -0.207475082106608 -0.207475082106608
60928 59.5 -0.20821591683424 -0.208215916834241 -0.208215916834242
61440 60 -0.208960713150467 -0.208960713150468 -0.208960713150469
61952 60.5 -0.209708891894566 -0.209708891894567 -0.209708891894569
62464 61 -0.210458576780865 -0.210458576780865 -0.210458576780867
