# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 10 2025 at 18:27:23+0100
# parameter filename: "./TOV_K_105_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.10-17.27.20-8277
# Run ID: run-TOV_K_105_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.10-17.27.20-8277
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0557857739257938
512 0.375 0.0557857739289576
1024 0.75 0.0557857739372536
1536 1.125 0.0557857739504084
2048 1.5 0.0557857739693903
2560 1.875 0.0557857739953007
3072 2.25 0.0557857740277731
3584 2.625 0.0557857740691574
4096 3 0.0557857741158288
4608 3.375 0.0557857741701822
5120 3.75 0.0557857742363242
5632 4.125 0.0557857743120575
6144 4.5 0.0557857743951929
6656 4.875 0.0557857744855609
7168 5.25 0.055785774584398
7680 5.625 0.0557857746886116
8192 6 0.0557857748015323
8704 6.375 0.055785774923622
9216 6.75 0.055785775058018
9728 7.125 0.055785775201552
10240 7.5 0.0557857753511639
10752 7.875 0.0557857755053115
11264 8.25 0.0557857756642892
11776 8.625 0.055785775827187
12288 9 0.0557857759973542
12800 9.375 0.0557857761775755
13312 9.75 0.0557857763692166
13824 10.125 0.0557857765676097
14336 10.5 0.0557857767745836
14848 10.875 0.0557857769880909
15360 11.25 0.0557857772082674
15872 11.625 0.0557857774325929
16384 12 0.0557857776614249
16896 12.375 0.0557857778930773
17408 12.75 0.0557857781295442
17920 13.125 0.0557857783668687
18432 13.5 0.0557857786057914
18944 13.875 0.0557857788497416
19456 14.25 0.0557857790971108
19968 14.625 0.0557857793449413
20480 15 0.0557857795974381
20992 15.375 0.0557857798582795
21504 15.75 0.0557857801261027
22016 16.125 0.0557857804008845
22528 16.5 0.0557857806869762
23040 16.875 0.0557857809809522
23552 17.25 0.0557857812797489
24064 17.625 0.0557857815872055
24576 18 0.0557857819044298
25088 18.375 0.0557857822278901
25600 18.75 0.055785782560392
26112 19.125 0.055785782889676
26624 19.5 0.0557857832176488
27136 19.875 0.0557857835452642
27648 20.25 0.0557857838720582
28160 20.625 0.055785784199319
28672 21 0.055785784525755
29184 21.375 0.0557857848514024
