# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00454885663021011 -0.00454885663021011 -0.00454885663021011
1024 1 -0.00896938759110212 -0.00896938759110212 -0.00896938759110212
1536 1.5 -0.0131675633358891 -0.0131675633358891 -0.0131675633358891
2048 2 -0.0173127254980861 -0.0173127254980861 -0.0173127254980861
2560 2.5 -0.0215663651270989 -0.0215663651270989 -0.0215663651270988
3072 3 -0.0258607889130599 -0.0258607889130599 -0.0258607889130599
3584 3.5 -0.030107073038533 -0.030107073038533 -0.030107073038533
4096 4 -0.0343191849094484 -0.0343191849094484 -0.0343191849094484
4608 4.5 -0.03849681239472 -0.03849681239472 -0.03849681239472
5120 5 -0.0426234795743349 -0.0426234795743349 -0.0426234795743349
5632 5.5 -0.0466898953679609 -0.0466898953679609 -0.0466898953679609
6144 6 -0.0506855686630347 -0.0506855686630347 -0.0506855686630347
6656 6.5 -0.0545837925083516 -0.0545837925083517 -0.0545837925083516
7168 7 -0.0587147063821021 -0.058714706382102 -0.058714706382102
7680 7.5 -0.0628519968767991 -0.062851996876799 -0.0628519968767991
8192 8 -0.0669212627327174 -0.0669212627327173 -0.0669212627327175
8704 8.5 -0.0709178663647067 -0.0709178663647067 -0.0709178663647069
9216 9 -0.0748318262881013 -0.0748318262881015 -0.0748318262881015
9728 9.5 -0.078659419138085 -0.0786594191380853 -0.0786594191380849
10240 10 -0.0824029466099455 -0.0824029466099456 -0.0824029466099455
10752 10.5 -0.0860625415126855 -0.0860625415126855 -0.0860625415126858
11264 11 -0.0896330113243715 -0.0896330113243717 -0.0896330113243713
11776 11.5 -0.0931098244203045 -0.0931098244203048 -0.0931098244203041
12288 12 -0.0964939655882429 -0.0964939655882432 -0.0964939655882433
12800 12.5 -0.0997886468143366 -0.0997886468143366 -0.099788646814337
13312 13 -0.102994817091662 -0.102994817091662 -0.102994817091662
13824 13.5 -0.10611367734379 -0.10611367734379 -0.10611367734379
14336 14 -0.109149515122151 -0.109149515122151 -0.109149515122151
14848 14.5 -0.112107585744532 -0.112107585744532 -0.112107585744531
15360 15 -0.114993551128251 -0.114993551128251 -0.114993551128251
15872 15.5 -0.11781409609524 -0.11781409609524 -0.117814096095241
16384 16 -0.120575348845803 -0.120575348845803 -0.120575348845803
16896 16.5 -0.123282973556255 -0.123282973556254 -0.123282973556254
17408 17 -0.125945228206641 -0.125945228206641 -0.12594522820664
17920 17.5 -0.128570054255264 -0.128570054255264 -0.128570054255264
18432 18 -0.131160145258922 -0.131160145258922 -0.131160145258922
18944 18.5 -0.13371389583549 -0.133713895835489 -0.13371389583549
19456 19 -0.136231975864114 -0.136231975864114 -0.136231975864113
19968 19.5 -0.138718264531749 -0.13871826453175 -0.138718264531749
20480 20 -0.141175444200817 -0.141175444200817 -0.141175444200817
20992 20.5 -0.143603317622422 -0.143603317622421 -0.143603317622422
21504 21 -0.145999503014007 -0.145999503014006 -0.145999503014006
22016 21.5 -0.148360637540367 -0.148360637540367 -0.148360637540367
22528 22 -0.150635633583161 -0.150635633583163 -0.150635633583162
23040 22.5 -0.152754304297127 -0.152754304297128 -0.152754304297127
23552 23 -0.154685003857107 -0.154685003857106 -0.154685003857106
24064 23.5 -0.156413887311858 -0.156413887311858 -0.156413887311859
24576 24 -0.157938574006945 -0.157938574006946 -0.157938574006947
25088 24.5 -0.159264614507094 -0.159264614507095 -0.159264614507094
25600 25 -0.160403764972283 -0.160403764972283 -0.160403764972281
26112 25.5 -0.161366245115586 -0.161366245115585 -0.161366245115584
26624 26 -0.16212796759165 -0.162127967591651 -0.162127967591652
27136 26.5 -0.162582169283877 -0.162582169283878 -0.162582169283879
27648 27 -0.162602433100283 -0.162602433100282 -0.162602433100282
28160 27.5 -0.163212460909267 -0.163212460909268 -0.163212460909268
28672 28 -0.164237823612351 -0.164237823612352 -0.164237823612352
29184 28.5 -0.165104761869826 -0.165104761869826 -0.165104761869826
29696 29 -0.165821795721346 -0.165821795721347 -0.165821795721346
30208 29.5 -0.16639533010702 -0.166395330107021 -0.16639533010702
30720 30 -0.16682773492133 -0.166827734921331 -0.16682773492133
31232 30.5 -0.167097125476308 -0.167097125476309 -0.167097125476308
31744 31 -0.167183330114628 -0.16718333011463 -0.167183330114629
32256 31.5 -0.167059641617371 -0.167059641617373 -0.167059641617372
32768 32 -0.16663569924071 -0.16663569924071 -0.16663569924071
33280 32.5 -0.165865870957262 -0.165865870957262 -0.165865870957261
33792 33 -0.164764263299913 -0.164764263299913 -0.164764263299913
34304 33.5 -0.163379062226774 -0.163379062226773 -0.163379062226773
34816 34 -0.161767537138229 -0.161767537138227 -0.161767537138227
35328 34.5 -0.159980432277762 -0.159980432277762 -0.159980432277761
35840 35 -0.158058747515675 -0.158058747515675 -0.158058747515675
36352 35.5 -0.156038714483927 -0.156038714483927 -0.156038714483926
