# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
61952 60.5 0.106681577057412
62464 61 0.10666863663277
62976 61.5 0.106660664078883
63488 62 0.106657349916699
64000 62.5 0.106658268419668
64512 63 0.1066625525547
65024 63.5 0.106669304176951
65536 64 0.106678147656441
66048 64.5 0.10668908455238
66560 65 0.106701856991735
67072 65.5 0.106715780321904
67584 66 0.106730293615937
68096 66.5 0.10674539629133
68608 67 0.106761352672295
69120 67.5 0.106778167975569
69632 68 0.10679559884023
70144 68.5 0.106813556666939
70656 69 0.106832228993939
71168 69.5 0.106851846627174
71680 70 0.106872603241312
72192 70.5 0.106894826139911
72704 71 0.10691894420984
73216 71.5 0.106945154610992
73728 72 0.106973331622483
74240 72.5 0.107003453439147
74752 73 0.107035989211688
75264 73.5 0.107071647463958
75776 74 0.107110772102714
76288 74.5 0.10715316719806
76800 75 0.107198534998311
77312 75.5 0.107246935249847
77824 76 0.107298756585384
78336 76.5 0.107354347624397
78848 77 0.107413750544332
79360 77.5 0.107476723301254
79872 78 0.107542953726534
80384 78.5 0.107612308576463
80896 79 0.107684935695901
81408 79.5 0.107761064080109
81920 80 0.107840639204382
82432 80.5 0.107923238559708
82944 81 0.108008465326485
83456 81.5 0.108096359976131
83968 82 0.108187244109218
84480 82.5 0.10828115983562
84992 83 0.108377682771936
85504 83.5 0.10847639867069
86016 84 0.108577369100783
86528 84.5 0.108680900989103
87040 85 0.108786957909573
87552 85.5 0.108895019875557
88064 86 0.10900455154762
88576 86.5 0.10911543607254
89088 87 0.109227789680294
89600 87.5 0.109340782835457
90112 88 0.109450516783716
90624 88.5 0.1095568060921
91136 89 0.10966048160046
91648 89.5 0.1097626058657
92160 90 0.109864184515859
92672 90.5 0.109966126621356
93184 91 0.110069466286386
93696 91.5 0.110175522924442
94208 92 0.110285767795558
94720 92.5 0.110401512203509
95232 93 0.110523712197274
95744 93.5 0.11065301605668
96256 94 0.110789915520399
96768 94.5 0.110934800053875
97280 95 0.111087867829813
97792 95.5 0.11124900255381
98304 96 0.1114177422403
98816 96.5 0.111593388298146
99328 97 0.11177521227909
99840 97.5 0.111962638586508
100352 98 0.112155266761942
100864 98.5 0.112352724015792
101376 99 0.112554535285674
101888 99.5 0.112760219290932
102400 100 0.112969558659938
102912 100.5 0.113182731850412
103424 101 0.11340010984016
103936 101.5 0.113621929538713
104448 102 0.113848214769199
104960 102.5 0.114079001646591
105472 103 0.114314536614549
105984 103.5 0.114555171973113
106496 104 0.114801090388726
107008 104.5 0.115052171803657
107520 105 0.115308088614061
108032 105.5 0.115568464662144
108544 106 0.115832952940805
109056 106.5 0.116101217936545
109568 107 0.116372856692826
110080 107.5 0.116647319760225
110592 108 0.116923935646707
111104 108.5 0.11720206957771
111616 109 0.117481269940728
112128 109.5 0.117761240599163
112640 110 0.118041691367863
113152 110.5 0.118322259670178
113664 111 0.118602579502249
114176 111.5 0.118882389388705
114688 112 0.119161563533419
115200 112.5 0.119440072048089
115712 113 0.1197179314777
116224 113.5 0.119995167222632
116736 114 0.120271787263236
117248 114.5 0.120547786247305
117760 115 0.120823185163286
118272 115.5 0.121098055327918
118784 116 0.121372471813587
119296 116.5 0.121646426958311
119808 117 0.121919801316679
