# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 2.97860368396334e-07 2.9786036840612e-07 2.97860368414988e-07
1024 0.5 4.96139968065685e-07 4.96139968337325e-07 4.96139968554174e-07
1536 0.75 7.98186791087472e-07 7.98186790569464e-07 7.98186790243208e-07
2048 1 1.20290328798501e-06 1.20290328821001e-06 1.20290328823206e-06
2560 1.25 1.68888247876074e-06 1.68888247831741e-06 1.68888247893027e-06
3072 1.5 2.10051019255045e-06 2.10051019251031e-06 2.10051019244486e-06
3584 1.75 2.32969656415073e-06 2.32969656520814e-06 2.32969656456118e-06
4096 2 2.36251591002438e-06 2.36251590949774e-06 2.3625159092448e-06
4608 2.25 2.24898930551372e-06 2.24898930439804e-06 2.24898930513411e-06
5120 2.5 2.1145462635204e-06 2.11454626239677e-06 2.11454626208486e-06
5632 2.75 2.08346731565812e-06 2.08346731538479e-06 2.0834673143247e-06
6144 3 2.16500050546401e-06 2.1650005098025e-06 2.16500051127676e-06
6656 3.25 2.25329865438544e-06 2.25329865485423e-06 2.2532986556928e-06
7168 3.5 2.26473132427243e-06 2.26473133179156e-06 2.26473133322467e-06
7680 3.75 2.20896857843925e-06 2.20896858813527e-06 2.20896858235028e-06
8192 4 2.15462241250347e-06 2.15462241683796e-06 2.15462241773046e-06
8704 4.25 2.14822917550039e-06 2.14822918486573e-06 2.14822919434637e-06
9216 4.5 2.17457804901732e-06 2.17457806701626e-06 2.17457806277744e-06
9728 4.75 2.19132849496373e-06 2.19132850859375e-06 2.19132850789971e-06
10240 5 2.17565216065269e-06 2.17565217923486e-06 2.17565218074377e-06
10752 5.25 2.14350510200107e-06 2.14350511393921e-06 2.14350508120577e-06
11264 5.5 2.11394652137501e-06 2.11394652464866e-06 2.11394650117539e-06
11776 5.75 2.09435280139435e-06 2.09435282028075e-06 2.09435283088428e-06
12288 6 2.07947900211378e-06 2.07947900744569e-06 2.07947902095322e-06
12800 6.25 2.06232650751526e-06 2.06232651201248e-06 2.06232652512649e-06
13312 6.5 2.03780574462558e-06 2.03780569556399e-06 2.03780577943089e-06
13824 6.75 2.00498660254025e-06 2.0049865596088e-06 2.00498656625508e-06
14336 7 1.97243805349281e-06 1.97243801538847e-06 1.97243796555071e-06
14848 7.25 1.94684918550585e-06 1.94684913227319e-06 1.94684916291889e-06
15360 7.5 1.93165351722987e-06 1.9316535021796e-06 1.9316535028277e-06
15872 7.75 1.92668569480956e-06 1.92668561379457e-06 1.92668567536762e-06
16384 8 1.92655265675038e-06 1.92655254317979e-06 1.92655266491896e-06
16896 8.25 1.92600568715726e-06 1.9260055527976e-06 1.92600564665567e-06
17408 8.5 1.91811280738109e-06 1.91811261031601e-06 1.91811268308464e-06
17920 8.75 1.90780377872878e-06 1.90780355396928e-06 1.90780363473126e-06
18432 9 1.90264301069064e-06 1.90264293459924e-06 1.90264301074761e-06
18944 9.25 1.90736833360862e-06 1.90736827944149e-06 1.90736829627375e-06
19456 9.5 1.91800035328857e-06 1.91800024945308e-06 1.91800018551719e-06
19968 9.75 1.92255157607716e-06 1.92255142151162e-06 1.92255133037689e-06
20480 10 1.92231215722894e-06 1.92231219808601e-06 1.92231214113634e-06
20992 10.25 1.92698230762075e-06 1.92698240703627e-06 1.92698239211902e-06
21504 10.5 1.93783316646826e-06 1.93783303867924e-06 1.93783299429865e-06
22016 10.75 1.9496876443963e-06 1.94968751184803e-06 1.94968752226946e-06
22528 11 1.95511137332102e-06 1.95511134979154e-06 1.95511136581178e-06
23040 11.25 1.94936909418995e-06 1.94936886953407e-06 1.94936912565882e-06
23552 11.5 1.93507302078547e-06 1.93507271953314e-06 1.93507310653476e-06
24064 11.75 1.92080766969207e-06 1.92080744720796e-06 1.92080737491574e-06
24576 12 1.91784331734522e-06 1.91784354129694e-06 1.9178431413083e-06
25088 12.25 1.92869796942774e-06 1.92869822742368e-06 1.92869801355774e-06
25600 12.5 1.94058299245471e-06 1.94058293520112e-06 1.94058255898255e-06
26112 12.75 1.93686799185334e-06 1.93686776163818e-06 1.93686752259695e-06
26624 13 1.91450975925735e-06 1.91450968618553e-06 1.91450965122975e-06
27136 13.25 1.8797579123783e-06 1.87975807581371e-06 1.87975799661144e-06
27648 13.5 1.84690744325752e-06 1.84690767490739e-06 1.84690776549988e-06
28160 13.75 1.84053819258046e-06 1.84053833731154e-06 1.84053846211079e-06
28672 14 1.86614211744981e-06 1.86614206168325e-06 1.86614188278839e-06
29184 14.25 1.9041134988818e-06 1.90411325170524e-06 1.90411261638105e-06
29696 14.5 1.93473980977525e-06 1.93473946622408e-06 1.93473843584128e-06
30208 14.75 1.94544224431876e-06 1.94544229162353e-06 1.94544201602428e-06
30720 15 1.9357652993104e-06 1.93576605972476e-06 1.9357667651245e-06
31232 15.25 1.91541051958856e-06 1.91541146389065e-06 1.91541251273973e-06
31744 15.5 1.89677149713403e-06 1.89677173416318e-06 1.89677262507247e-06
32256 15.75 1.8894074390488e-06 1.88940722177727e-06 1.88940795882395e-06
32768 16 1.89445867777918e-06 1.89445853961898e-06 1.89445899228159e-06
33280 16.25 1.90713453162466e-06 1.90713481514309e-06 1.90713412105064e-06
33792 16.5 1.91841360775806e-06 1.9184142452577e-06 1.9184119656272e-06
34304 16.75 1.92586972775992e-06 1.92587009527531e-06 1.92586751547055e-06
34816 17 1.93296050273557e-06 1.93296031176962e-06 1.93295894694908e-06
35328 17.25 1.93584182744968e-06 1.93584145354027e-06 1.9358419857912e-06
35840 17.5 1.92924053845737e-06 1.92924017837447e-06 1.92924249850129e-06
36352 17.75 1.91891343222305e-06 1.91891289999448e-06 1.91891615241073e-06
36864 18 1.91208163863418e-06 1.91208143831961e-06 1.91208428504505e-06
37376 18.25 1.91373911483505e-06 1.91373979050278e-06 1.91374084921962e-06
37888 18.5 1.91851225538922e-06 1.91851307295941e-06 1.91851205354227e-06
38400 18.75 1.91700523457894e-06 1.91700563130093e-06 1.91700413649538e-06
38912 19 1.9073602664322e-06 1.90736030279944e-06 1.90735971217135e-06
39424 19.25 1.8938147385464e-06 1.89381422222256e-06 1.89381385400189e-06
39936 19.5 1.88500027076802e-06 1.88499943314632e-06 1.88499934281989e-06
40448 19.75 1.88708767258803e-06 1.88708729623674e-06 1.88708846431626e-06
40960 20 1.89757535346699e-06 1.89757636396696e-06 1.89757737362172e-06
41472 20.25 1.90795554782212e-06 1.90795808824514e-06 1.90795704660887e-06
41984 20.5 1.90954153769436e-06 1.90954466046493e-06 1.90954223099241e-06
42496 20.75 1.90262013645365e-06 1.90262256461727e-06 1.9026193501691e-06
43008 21 1.89338376865616e-06 1.89338463354525e-06 1.89338169136563e-06
43520 21.25 1.88685931952535e-06 1.88685833315025e-06 1.88685663039606e-06
44032 21.5 1.88906835554683e-06 1.88906519435632e-06 1.88906374503148e-06
44544 21.75 1.89800694617555e-06 1.89800115979376e-06 1.89799871174841e-06
45056 22 1.90565617573202e-06 1.90564732737188e-06 1.90564577988427e-06
45568 22.25 1.90911872013464e-06 1.9091088558551e-06 1.90910931885988e-06
46080 22.5 1.90835233722331e-06 1.90834332252026e-06 1.90834488123146e-06
46592 22.75 1.90348293099007e-06 1.90347544716298e-06 1.90347840860223e-06
47104 23 1.89386018750227e-06 1.89385504808563e-06 1.89385979193392e-06
47616 23.25 1.88216273809018e-06 1.88215899237392e-06 1.88216489310397e-06
48128 23.5 1.8762779120133e-06 1.87627481078263e-06 1.87627902654861e-06
48640 23.75 1.88190148447963e-06 1.88189891278111e-06 1.88189729158984e-06
49152 24 1.89883394400872e-06 1.89883148093208e-06 1.89882181633845e-06
49664 24.25 1.92016124792515e-06 1.92015802852629e-06 1.92014244597175e-06
50176 24.5 1.93213781515503e-06 1.93213436787395e-06 1.93211809426245e-06
50688 24.75 1.93213578615333e-06 1.93212974310594e-06 1.93212095156307e-06
51200 25 1.9260449485669e-06 1.92603260386879e-06 1.92603618193597e-06
51712 25.25 1.91690182027549e-06 1.91688495218946e-06 1.91689531207988e-06
52224 25.5 1.91067802252706e-06 1.91066391901569e-06 1.91067128980253e-06
52736 25.75 1.91103223391423e-06 1.91102430793265e-06 1.91102356329189e-06
53248 26 1.9080922465486e-06 1.90808838260817e-06 1.90807858716696e-06
53760 26.25 1.89282350796995e-06 1.89282216597152e-06 1.89280575005078e-06
54272 26.5 1.86781896077695e-06 1.86782005516553e-06 1.86780277289954e-06
54784 26.75 1.83413729540679e-06 1.83413926292631e-06 1.83412669799373e-06
55296 27 1.79209363286212e-06 1.79209410512829e-06 1.79208812255401e-06
55808 27.25 1.74747615548946e-06 1.7474746233017e-06 1.74747146482476e-06
56320 27.5 1.70853500029263e-06 1.70853413018729e-06 1.70852750804919e-06
56832 27.75 1.68482789301052e-06 1.68482787961165e-06 1.68481521246277e-06
