# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
35328 17.25 -2.37957938765101e-05 -2.37957962020133e-05 -2.3795798790175e-05
35840 17.5 -2.40357555492791e-05 -2.40357511432208e-05 -2.40357462595758e-05
36352 17.75 -2.48209529511717e-05 -2.48209436026451e-05 -2.4820923654684e-05
36864 18 -2.54314585427113e-05 -2.54314471289145e-05 -2.54314209553696e-05
37376 18.25 -2.56769808949029e-05 -2.56769646680138e-05 -2.56769386083351e-05
37888 18.5 -2.5845350803378e-05 -2.58453336742312e-05 -2.58453146377541e-05
38400 18.75 -2.60869423324468e-05 -2.60869308960901e-05 -2.60869267876561e-05
38912 19 -2.63589313401958e-05 -2.63589248681462e-05 -2.63589335420742e-05
39424 19.25 -2.66236120613837e-05 -2.66236056188572e-05 -2.66236141143325e-05
39936 19.5 -2.68685259868761e-05 -2.68685185014084e-05 -2.68685215452999e-05
40448 19.75 -2.70026271095078e-05 -2.70026220886174e-05 -2.70026291153695e-05
40960 20 -2.69010206877024e-05 -2.69010210005182e-05 -2.69010340968577e-05
41472 20.25 -2.65405018980249e-05 -2.65405028598443e-05 -2.65405030982524e-05
41984 20.5 -2.60591597836855e-05 -2.60591547506581e-05 -2.60591265375526e-05
42496 20.75 -2.57313936863974e-05 -2.57313923473087e-05 -2.57313483836494e-05
43008 21 -2.58502066396345e-05 -2.58502236714169e-05 -2.58501913237608e-05
43520 21.25 -2.65334677198228e-05 -2.65334840154591e-05 -2.65334741233381e-05
44032 21.5 -2.76438857988453e-05 -2.76438692236411e-05 -2.76438622427179e-05
44544 21.75 -2.8936031937186e-05 -2.89360059723984e-05 -2.8935974519457e-05
45056 22 -3.02486458347058e-05 -3.02486631643327e-05 -3.02486190633925e-05
45568 22.25 -3.15479211336583e-05 -3.15479660282408e-05 -3.15479541783441e-05
46080 22.5 -3.28555137891374e-05 -3.28555229949959e-05 -3.28555472096596e-05
46592 22.75 -3.41628884504733e-05 -3.41628588658814e-05 -3.41628768505247e-05
47104 23 -3.53882120260425e-05 -3.53881886780009e-05 -3.53882053972844e-05
47616 23.25 -3.64302963959252e-05 -3.64302727582421e-05 -3.64303564104082e-05
48128 23.5 -3.72772940192034e-05 -3.72772133410336e-05 -3.72774021356358e-05
48640 23.75 -3.80173728730803e-05 -3.80172102788542e-05 -3.80174773530517e-05
49152 24 -3.87509972234904e-05 -3.87507804643836e-05 -3.87510848164136e-05
49664 24.25 -3.95813787450339e-05 -3.95811427769162e-05 -3.9581466121833e-05
50176 24.5 -4.06774923185118e-05 -4.06772413129229e-05 -4.06776010977708e-05
50688 24.75 -4.2399000813315e-05 -4.23989349905365e-05 -4.23989119654252e-05
51200 25 -4.42984162254502e-05 -4.42984072644931e-05 -4.42984130759389e-05
51712 25.25 -4.59790366686559e-05 -4.59790602598252e-05 -4.59791738217849e-05
52224 25.5 -4.73602462004515e-05 -4.73602146017804e-05 -4.73604494664154e-05
52736 25.75 -4.85021763323498e-05 -4.8502044064738e-05 -4.85023484200194e-05
53248 26 -4.95111785522659e-05 -4.95109736145768e-05 -4.95113069804426e-05
53760 26.25 -5.08988217290474e-05 -5.08988550425635e-05 -5.08989161785293e-05
54272 26.5 -5.31702119051741e-05 -5.31701992427682e-05 -5.31701919043181e-05
54784 26.75 -5.53596504545382e-05 -5.53595959975522e-05 -5.53595690979491e-05
55296 27 -5.77754904603252e-05 -5.77753928801176e-05 -5.77754776622359e-05
55808 27.25 -6.06385740379054e-05 -6.06384535458016e-05 -6.06387722194299e-05
56320 27.5 -6.38097696087579e-05 -6.38095920997958e-05 -6.3810190744308e-05
56832 27.75 -6.67834869745544e-05 -6.67831377105711e-05 -6.67838850956495e-05
57344 28 -6.89832874359454e-05 -6.89827653007445e-05 -6.8983382762881e-05
57856 28.25 -7.0058164519434e-05 -7.00576804765142e-05 -7.00580225273388e-05
58368 28.5 -7.04851411549654e-05 -7.04842138826901e-05 -7.04853552364713e-05
58880 28.75 -7.05443094755296e-05 -7.05430643778846e-05 -7.05443802618915e-05
59392 29 -6.9339945840183e-05 -6.93384115894529e-05 -6.93401179589479e-05
59904 29.25 -6.73033994822539e-05 -6.73016983160505e-05 -6.73037457513358e-05
60416 29.5 -6.52386588241506e-05 -6.52360519866104e-05 -6.52392218255848e-05
60928 29.75 -6.38465806238929e-05 -6.38461624409104e-05 -6.38464477941231e-05
61440 30 -6.57929811416359e-05 -6.57925798921359e-05 -6.57929709300208e-05
61952 30.25 -6.813995706192e-05 -6.81394766044493e-05 -6.81398043049731e-05
62464 30.5 -7.05297905742812e-05 -7.05291347159599e-05 -7.05294378842442e-05
62976 30.75 -7.2424519365625e-05 -7.24237667130988e-05 -7.24242820054427e-05
63488 31 -7.33970804577284e-05 -7.3396381262179e-05 -7.33971819068669e-05
64000 31.25 -7.34323882273e-05 -7.34317594025762e-05 -7.34326513862316e-05
64512 31.5 -7.29090367212663e-05 -7.29083481890837e-05 -7.29091881051307e-05
65024 31.75 -7.23050829462251e-05 -7.23042378229887e-05 -7.23051037991995e-05
65536 32 -7.27060758319819e-05 -7.2705716234244e-05 -7.2706067332244e-05
66048 32.25 -7.39893057503645e-05 -7.39888832458408e-05 -7.39892998778845e-05
66560 32.5 -7.50188562152941e-05 -7.50184037316142e-05 -7.50188554226973e-05
67072 32.75 -7.56507323426158e-05 -7.56502340096514e-05 -7.56507651510074e-05
67584 33 -7.59784735734829e-05 -7.59778827563984e-05 -7.5978574479768e-05
68096 33.25 -7.61668049987341e-05 -7.61661391551812e-05 -7.61669468731303e-05
68608 33.5 -7.6301252426507e-05 -7.63005585486989e-05 -7.63013635125557e-05
69120 33.75 -7.64358605666694e-05 -7.64351094784215e-05 -7.64358941350942e-05
69632 34 -7.66871505657435e-05 -7.66862812395206e-05 -7.6687106557146e-05
70144 34.25 -7.75151289570929e-05 -7.75145587767091e-05 -7.75147024069888e-05
70656 34.5 -7.88220761398713e-05 -7.88214673862331e-05 -7.88215516367551e-05
71168 34.75 -7.99271861286482e-05 -7.99265508522137e-05 -7.99266525844107e-05
71680 35 -8.08113936538019e-05 -8.08108346421556e-05 -8.08109871946793e-05
72192 35.25 -8.14949260080689e-05 -8.14945404541931e-05 -8.14947215391646e-05
72704 35.5 -8.20447460290128e-05 -8.20445513356999e-05 -8.20446823807256e-05
73216 35.75 -8.26052767217285e-05 -8.26052056857237e-05 -8.26052380812679e-05
73728 36 -8.33657666306368e-05 -8.33657164552337e-05 -8.33657211605868e-05
74240 36.25 -8.44245369609048e-05 -8.4424449028417e-05 -8.4424576993954e-05
74752 36.5 -8.56499782762214e-05 -8.56498597604182e-05 -8.56502190186803e-05
75264 36.75 -8.67366090949955e-05 -8.67364343354536e-05 -8.67370287195148e-05
75776 37 -8.74853882414328e-05 -8.74850088099607e-05 -8.74857904369394e-05
76288 37.25 -8.79996802171456e-05 -8.79989177224812e-05 -8.79998664396435e-05
76800 37.5 -8.85137863592186e-05 -8.85126406773873e-05 -8.85137483550077e-05
77312 37.75 -8.90761793042113e-05 -8.90759421472605e-05 -8.90763766488973e-05
77824 38 -8.99601618951065e-05 -8.99598157287747e-05 -8.99602934588713e-05
78336 38.25 -9.10587951120858e-05 -9.10583063417075e-05 -9.10587467819965e-05
78848 38.5 -9.2199621656654e-05 -9.21990396782969e-05 -9.21994353867044e-05
79360 38.75 -9.32124353466691e-05 -9.32118688381005e-05 -9.32122661766281e-05
79872 39 -9.39919806286736e-05 -9.39915061329168e-05 -9.39919541413644e-05
80384 39.25 -9.450507878855e-05 -9.45046545827108e-05 -9.45051962557517e-05
80896 39.5 -9.4836108590814e-05 -9.48356057138834e-05 -9.48363006721569e-05
81408 39.75 -9.51672393413833e-05 -9.51665835474608e-05 -9.5167502686946e-05
81920 40 -9.56444570613473e-05 -9.56437039899699e-05 -9.56448895942598e-05
82432 40.25 -9.62982098082791e-05 -9.62974453559783e-05 -9.62988794709163e-05
82944 40.5 -9.70980923657927e-05 -9.70972996171293e-05 -9.70989135824359e-05
83456 40.75 -9.79795330831539e-05 -9.79786066792144e-05 -9.79803398911104e-05
83968 41 -9.87825585696057e-05 -9.87814208748636e-05 -9.87832960017395e-05
84480 41.25 -9.92916416870536e-05 -9.92902855491839e-05 -9.92924200562053e-05
84992 41.5 -9.94259112502549e-05 -9.94243344691995e-05 -9.94268493924114e-05
85504 41.75 -9.93204065365077e-05 -9.93185688710071e-05 -9.93214801835464e-05
86016 42 -9.91632982661935e-05 -9.91611755611077e-05 -9.91643985325059e-05
86528 42.25 -9.9026494091922e-05 -9.90241241496581e-05 -9.90276085596449e-05
87040 42.5 -9.88954449691343e-05 -9.88928546684351e-05 -9.88967069886453e-05
87552 42.75 -9.87567437545834e-05 -9.87538654345652e-05 -9.875827791065e-05
88064 43 -9.8569818336662e-05 -9.85665845851193e-05 -9.85715912374244e-05
88576 43.25 -9.82321369300503e-05 -9.82286632755359e-05 -9.82340122767972e-05
89088 43.5 -9.76813616999155e-05 -9.76779045814392e-05 -9.76832550681224e-05
89600 43.75 -9.70057020939288e-05 -9.70023679355401e-05 -9.70075795521008e-05
90112 44 -9.63657309912038e-05 -9.63623319667331e-05 -9.63674738664379e-05
90624 44.25 -9.58043744716812e-05 -9.58006835347908e-05 -9.58058201754721e-05
91136 44.5 -9.51962718397562e-05 -9.519237018492e-05 -9.51974805681753e-05
91648 44.75 -9.44012232495505e-05 -9.43974659550845e-05 -9.44025515460618e-05
92160 45 -9.34224459957566e-05 -9.34190615054691e-05 -9.34241943265203e-05
92672 45.25 -9.23828578016778e-05 -9.23796930828993e-05 -9.2384942003149e-05
93184 45.5 -9.13744450596502e-05 -9.1371189761213e-05 -9.13765660631468e-05
93696 45.75 -9.03819362854415e-05 -9.03785177603516e-05 -9.0383941060372e-05
94208 46 -8.9362789965261e-05 -8.93594158731181e-05 -8.93646539120029e-05
94720 46.25 -8.83536308245729e-05 -8.83505020463318e-05 -8.83552291590289e-05
95232 46.5 -8.74407219526778e-05 -8.74379087504012e-05 -8.74419387977423e-05
95744 46.75 -8.66142787545181e-05 -8.66118984950321e-05 -8.66153013702961e-05
96256 47 -8.56974533209925e-05 -8.56957556314515e-05 -8.56986524333812e-05
96768 47.25 -8.44767574064208e-05 -8.44759406776093e-05 -8.44782558148319e-05
97280 47.5 -8.29049597329513e-05 -8.29050427374037e-05 -8.29065478846904e-05
97792 47.75 -8.11243529019248e-05 -8.11252879975786e-05 -8.11258046391979e-05
98304 48 -7.92897797687439e-05 -7.92915788640124e-05 -7.9291012812493e-05
98816 48.25 -7.74644317473149e-05 -7.74671695604793e-05 -7.74653830705976e-05
99328 48.5 -7.57370957199018e-05 -7.57409347346956e-05 -7.57376923414094e-05
99840 48.75 -7.43128028652595e-05 -7.43180493879663e-05 -7.43130992450215e-05
100352 49 -7.3324174049563e-05 -7.33311764344022e-05 -7.33243539776389e-05
100864 49.25 -7.25743054280799e-05 -7.25832102144261e-05 -7.2574502987974e-05
101376 49.5 -7.16126475830532e-05 -7.16232839678129e-05 -7.16128397692278e-05
101888 49.75 -7.01135827606312e-05 -7.01256357884888e-05 -7.01136596372666e-05
102400 50 -6.81199188593662e-05 -6.81332592674128e-05 -6.81198263997235e-05
102912 50.25 -6.59166978147012e-05 -6.59315605735714e-05 -6.59165243309183e-05
103424 50.5 -6.37549019762287e-05 -6.37716824085169e-05 -6.37548046316573e-05
103936 50.75 -6.17220014555988e-05 -6.17408224238964e-05 -6.17220095988015e-05
104448 51 -5.98811622857397e-05 -5.99139999037272e-05 -5.98792063615248e-05
104960 51.25 -5.80996277799616e-05 -5.81337998493878e-05 -5.80978273117443e-05
105472 51.5 -5.62104395341871e-05 -5.6245767864171e-05 -5.62087879148991e-05
105984 51.75 -5.42774366819085e-05 -5.4313423865962e-05 -5.42757275107587e-05
106496 52 -5.23826516255886e-05 -5.24188497383671e-05 -5.23807944959067e-05
107008 52.25 -5.05762082999592e-05 -5.06049795632537e-05 -5.05759284325788e-05
107520 52.5 -4.88658004475165e-05 -4.88959566866001e-05 -4.88654585990022e-05
108032 52.75 -4.7123523778921e-05 -4.71595338219321e-05 -4.71210151244598e-05
108544 53 -4.56102102129817e-05 -4.56457297799072e-05 -4.5607422792266e-05
109056 53.25 -4.41304619682829e-05 -4.41650644402759e-05 -4.41275812092946e-05
109568 53.5 -4.24662925396048e-05 -4.24995922655673e-05 -4.24634199199085e-05
110080 53.75 -4.04990411714756e-05 -4.05306833395312e-05 -4.04960443345136e-05
110592 54 -3.87691154809278e-05 -3.87694446938326e-05 -3.87634844452651e-05
111104 54.25 -3.68087054214622e-05 -3.68040165908295e-05 -3.6802674659011e-05
111616 54.5 -3.47072008459379e-05 -3.46974994879715e-05 -3.47009219479668e-05
112128 54.75 -3.30029650848032e-05 -3.2989909783977e-05 -3.29960444814857e-05
112640 55 -3.14996490803633e-05 -3.14800743263038e-05 -3.14928323635838e-05
113152 55.25 -3.07389626933499e-05 -3.07411427030267e-05 -3.0737459936557e-05
113664 55.5 -3.02514476821544e-05 -3.02514657239562e-05 -3.02506253988308e-05
114176 55.75 -2.9873101838084e-05 -2.98705275884674e-05 -2.98715836708043e-05
114688 56 -2.95354404640531e-05 -2.95326173444203e-05 -2.95338674979163e-05
115200 56.25 -2.91449545407443e-05 -2.9142056619294e-05 -2.91433895571479e-05
115712 56.5 -2.89651115693859e-05 -2.89647866352621e-05 -2.89609072173325e-05
116224 56.75 -2.87193912670591e-05 -2.87188584623242e-05 -2.87152221322364e-05
116736 57 -2.84562988531719e-05 -2.84544053842361e-05 -2.84534169274545e-05
117248 57.25 -2.81196931302727e-05 -2.81175889824855e-05 -2.81164985935356e-05
117760 57.5 -2.77696199770543e-05 -2.77669377231055e-05 -2.77663734383284e-05
118272 57.75 -2.74770202193156e-05 -2.74715971762871e-05 -2.74733020244127e-05
118784 58 -2.71768318367355e-05 -2.71786190460617e-05 -2.71778974934096e-05
119296 58.25 -2.6924540660364e-05 -2.69233055054473e-05 -2.69220436715818e-05
119808 58.5 -2.6712390076224e-05 -2.67111820420993e-05 -2.67099032940783e-05
120320 58.75 -2.64067861072647e-05 -2.64056430597384e-05 -2.64044695149882e-05
120832 59 -2.60693299836328e-05 -2.60658922776143e-05 -2.60671381502914e-05
121344 59.25 -2.57197191073892e-05 -2.57161108227677e-05 -2.57177800262653e-05
121856 59.5 -2.53440676099217e-05 -2.53425938896279e-05 -2.53424747971428e-05
122368 59.75 -2.50396148435074e-05 -2.50439048908943e-05 -2.50425504411382e-05
122880 60 -2.48068039005224e-05 -2.48109315719602e-05 -2.48094214111919e-05
123392 60.25 -2.45483218328241e-05 -2.45483821989015e-05 -2.45504967120415e-05
123904 60.5 -2.43845894896987e-05 -2.43841856573946e-05 -2.43866111242446e-05
124416 60.75 -2.42044462920573e-05 -2.42035665351232e-05 -2.42062378716782e-05
124928 61 -2.39852847451716e-05 -2.39839641865721e-05 -2.39868030868287e-05
125440 61.25 -2.37137827729824e-05 -2.37120199083263e-05 -2.37150996757785e-05
125952 61.5 -2.33974343162173e-05 -2.33952017219916e-05 -2.33986998131022e-05
126464 61.75 -2.3063437206775e-05 -2.30607411001773e-05 -2.30647465698321e-05
126976 62 -2.27976897511165e-05 -2.27972748068756e-05 -2.27971486129522e-05
127488 62.25 -2.25260866824808e-05 -2.25255453529157e-05 -2.25254892211652e-05
128000 62.5 -2.22188755566915e-05 -2.22181987530976e-05 -2.22184149318582e-05
128512 62.75 -2.19090007453939e-05 -2.19080635983164e-05 -2.19087082035367e-05
129024 63 -2.16550192217389e-05 -2.16506045234974e-05 -2.16540432560366e-05
129536 63.25 -2.14462190301499e-05 -2.14444291072234e-05 -2.14456262081534e-05
130048 63.5 -2.12835177961347e-05 -2.12814540839019e-05 -2.12828411358228e-05
130560 63.75 -2.11195677425256e-05 -2.1117267205888e-05 -2.11189586252509e-05
131072 64 -2.09302558932714e-05 -2.0927632809296e-05 -2.09297276788e-05
131584 64.25 -2.07089622792452e-05 -2.07059619093018e-05 -2.07085337771054e-05
132096 64.5 -2.0465234832311e-05 -2.04618302186727e-05 -2.04648916618309e-05
132608 64.75 -2.02148207272733e-05 -2.02109670127348e-05 -2.02143950305417e-05
133120 65 -2.00294205864011e-05 -2.00252469023977e-05 -2.00296410790079e-05
133632 65.25 -1.97913689787337e-05 -1.97870455035909e-05 -1.97917721853017e-05
134144 65.5 -1.94686823036125e-05 -1.94641507918733e-05 -1.94692289350562e-05
134656 65.75 -1.92078685327831e-05 -1.92009731300043e-05 -1.92059071339865e-05
135168 66 -1.89455787675788e-05 -1.89404524451565e-05 -1.89463129264562e-05
135680 66.25 -1.87839364270203e-05 -1.87784510816788e-05 -1.87846902954415e-05
136192 66.5 -1.86124933944626e-05 -1.86088105636787e-05 -1.8613339526443e-05
136704 66.75 -1.8408070123915e-05 -1.84041154255965e-05 -1.84090317576653e-05
137216 67 -1.81471462787743e-05 -1.81429725651053e-05 -1.81482963736256e-05
137728 67.25 -1.78987636535264e-05 -1.78921159705578e-05 -1.78997635200643e-05
138240 67.5 -1.77186192357232e-05 -1.77116327743599e-05 -1.77196421817087e-05
138752 67.75 -1.74705750047439e-05 -1.74633451360714e-05 -1.7471634308082e-05
139264 68 -1.71585555243838e-05 -1.71511280014494e-05 -1.71596329231936e-05
139776 68.25 -1.68478739692162e-05 -1.68402236021582e-05 -1.68489539149252e-05
140288 68.5 -1.66090689292384e-05 -1.66015326142161e-05 -1.66084479563073e-05
140800 68.75 -1.64227472842846e-05 -1.64154278414673e-05 -1.64226374803018e-05
141312 69 -1.6244649003161e-05 -1.62363754231936e-05 -1.62459755755491e-05
141824 69.25 -1.60195251017245e-05 -1.60109446366043e-05 -1.60207069531979e-05
142336 69.5 -1.57452448361072e-05 -1.57386107055585e-05 -1.57474134574244e-05
142848 69.75 -1.5471951966455e-05 -1.54653193084647e-05 -1.54744049293069e-05
143360 70 -1.51271257669456e-05 -1.51205252692834e-05 -1.51299723135384e-05
143872 70.25 -1.47216693671937e-05 -1.47149232232579e-05 -1.47246898643586e-05
144384 70.5 -1.43490093894393e-05 -1.43435765218218e-05 -1.43508315903157e-05
144896 70.75 -1.41102122844729e-05 -1.41048972317705e-05 -1.41121006007445e-05
145408 71 -1.38885545840944e-05 -1.38832588731489e-05 -1.38903830208058e-05
145920 71.25 -1.36565733457081e-05 -1.36512738970784e-05 -1.36582913174543e-05
146432 71.5 -1.33924647439784e-05 -1.33871469988222e-05 -1.33940449230814e-05
146944 71.75 -1.30841716861361e-05 -1.30788944331612e-05 -1.30857752396115e-05
147456 72 -1.27413227458371e-05 -1.27361315528384e-05 -1.27431288187649e-05
147968 72.25 -1.23920536531207e-05 -1.23869819953022e-05 -1.23941147426873e-05
148480 72.5 -1.20535793356884e-05 -1.20486203792149e-05 -1.20557692062529e-05
148992 72.75 -1.17144637094435e-05 -1.17096102286415e-05 -1.17165948410679e-05
149504 73 -1.1357566609577e-05 -1.13528487230951e-05 -1.1359603415603e-05
150016 73.25 -1.09891323354221e-05 -1.09844825453114e-05 -1.09911585280282e-05
150528 73.5 -1.06320068093931e-05 -1.06272164225367e-05 -1.06339801893142e-05
151040 73.75 -1.03001163070126e-05 -1.02950850347192e-05 -1.03019155028e-05
151552 74 -1.00081103425846e-05 -1.00030842985661e-05 -1.00095869815159e-05
152064 74.25 -9.74477996581287e-06 -9.73988550148799e-06 -9.74620056879976e-06
152576 74.5 -9.41953797901287e-06 -9.41482752318554e-06 -9.42092657701592e-06
153088 74.75 -9.0329132501145e-06 -9.02819437454448e-06 -9.03498898117307e-06
153600 75 -8.61936253221848e-06 -8.61459866410044e-06 -8.62113894774323e-06
154112 75.25 -8.23525939942083e-06 -8.23101325196439e-06 -8.23620920087691e-06
154624 75.5 -7.84384761395682e-06 -7.83964312007656e-06 -7.84493186735685e-06
155136 75.75 -7.42653243124546e-06 -7.42223419303934e-06 -7.42768185368558e-06
155648 76 -7.058743552832e-06 -7.05418951277246e-06 -7.05911309831885e-06
156160 76.25 -6.75170315701349e-06 -6.74734398858721e-06 -6.75198238367115e-06
156672 76.5 -6.42009941158119e-06 -6.41628878442568e-06 -6.42127893116502e-06
157184 76.75 -6.18649831974379e-06 -6.1828380519689e-06 -6.18767875682382e-06
157696 77 -5.91631128318792e-06 -5.91241179525276e-06 -5.91727484022506e-06
