# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
34816 17 -1.17557760257813e-05 -1.17557777215011e-05 -1.17557783439632e-05
35328 17.25 -1.24961653746691e-05 -1.24961534152801e-05 -1.2496170400702e-05
35840 17.5 -1.32538859604177e-05 -1.32538828946083e-05 -1.32539018733008e-05
36352 17.75 -1.23440060870645e-05 -1.23440121119542e-05 -1.23440183193215e-05
36864 18 -1.47602206738197e-05 -1.47603421839743e-05 -1.47604797853027e-05
37376 18.25 -1.43596825410388e-05 -1.43598341050742e-05 -1.43604335147776e-05
37888 18.5 -9.5077354443671e-06 -9.50771094594321e-06 -9.50763943933434e-06
38400 18.75 -1.29443415675545e-05 -1.29443361538652e-05 -1.29443797253822e-05
38912 19 -1.39436212372413e-05 -1.39436566558857e-05 -1.39436425324651e-05
39424 19.25 -1.58434021602052e-05 -1.58434278205265e-05 -1.58433967405825e-05
39936 19.5 -1.84349794794724e-05 -1.84349741054881e-05 -1.84350473110862e-05
40448 19.75 -1.99363122295848e-05 -1.99362775895453e-05 -1.99362956827486e-05
40960 20 -1.93095945093753e-05 -1.93095608912895e-05 -1.930948714734e-05
41472 20.25 -1.83448737137442e-05 -1.83448628717262e-05 -1.83449741057844e-05
41984 20.5 -1.89645284980642e-05 -1.89645202363449e-05 -1.89645914797428e-05
42496 20.75 -1.56228433403356e-05 -1.56228512570278e-05 -1.56227616332047e-05
43008 21 -1.21717469681981e-05 -1.21717319716106e-05 -1.217177494346e-05
43520 21.25 -1.17120882490496e-05 -1.17120595039173e-05 -1.17120799982955e-05
44032 21.5 -1.08136513950813e-05 -1.08136308522276e-05 -1.08136212634967e-05
44544 21.75 -1.45577148250626e-05 -1.45596472083722e-05 -1.45582946207504e-05
45056 22 -1.55396981678337e-05 -1.55410864573827e-05 -1.55398873054668e-05
45568 22.25 -1.42644972787153e-05 -1.42644547269416e-05 -1.42645464971084e-05
46080 22.5 -1.53448741648649e-05 -1.5344851903229e-05 -1.53449133777661e-05
46592 22.75 -1.70806431768266e-05 -1.70806058889946e-05 -1.70807067581599e-05
47104 23 -1.61942888010005e-05 -1.61942572601596e-05 -1.61943392449671e-05
47616 23.25 -1.40829712470195e-05 -1.40829857801736e-05 -1.40827661885198e-05
48128 23.5 -1.33556166257665e-05 -1.33555644745874e-05 -1.33555892382306e-05
48640 23.75 -1.13431483650812e-05 -1.13430622790145e-05 -1.13430247571094e-05
49152 24 -1.13231464451954e-05 -1.13232026855985e-05 -1.13230901059122e-05
49664 24.25 -1.09166695864863e-05 -1.09166864091036e-05 -1.091667313463e-05
50176 24.5 -1.07152886063778e-05 -1.07153074354537e-05 -1.07153649013758e-05
