# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163077304642421
1024 1 0.000162347608985209
1536 1.5 0.000161665280828926
2048 2 0.000161025805470367
2560 2.5 0.000160433500947709
3072 3 0.000159893975854205
3584 3.5 0.000159447472986429
4096 4 0.000159083956069706
4608 4.5 0.000158804891365867
5120 5 0.000158610446564292
5632 5.5 0.000158499199521338
6144 6 0.000158467729680882
6656 6.5 0.000158510230065066
7168 7 0.000158618808092102
7680 7.5 0.000158784487178295
8192 8 0.000158998115409379
8704 8.5 0.000159250424365413
9216 9 0.000159531618886994
9728 9.5 0.000159831784433429
10240 10 0.000160142062597862
10752 10.5 0.00016045517391542
11264 11 0.000160764181501133
11776 11.5 0.000161061454480073
12288 12 0.000161340271164342
12800 12.5 0.000161597436703484
13312 13 0.000161832646685843
13824 13.5 0.000162044733588709
14336 14 0.00016223048115672
14848 14.5 0.000162387880571371
15360 15 0.000162518552789118
15872 15.5 0.000162625083010561
16384 16 0.000162707400509199
16896 16.5 0.000162764192558881
17408 17 0.000162797179638172
17920 17.5 0.000162811318375774
18432 18 0.000162810439745776
18944 18.5 0.000162794827815295
19456 19 0.000162763909482253
19968 19.5 0.000162719643455461
20480 20 0.000162666016461313
20992 20.5 0.000162606149018048
21504 21 0.000162541100519637
22016 21.5 0.000162471036783017
22528 22 0.000162396312992372
23040 22.5 0.000162317154608314
23552 23 0.000162233051780169
24064 23.5 0.000162143118942019
24576 24 0.000162046999384804
25088 24.5 0.000161944951886686
25600 25 0.000161836684709284
26112 25.5 0.000161720252166111
26624 26 0.000161592741055181
27136 26.5 0.000161452528484942
27648 27 0.000161300649303733
28160 27.5 0.000161139460831172
28672 28 0.000160969971909129
29184 28.5 0.000160790761488288
29696 29 0.000160599304741084
30208 29.5 0.000160393898964144
30720 30 0.000160174556575958
31232 30.5 0.00015994291519237
31744 31 0.000159701526451795
32256 31.5 0.000159452432663822
32768 32 0.000159195788538666
33280 32.5 0.000158930221846012
33792 33 0.00015865513368443
34304 33.5 0.000158372566558425
34816 34 0.000158086418889505
35328 34.5 0.000157799821090671
35840 35 0.000157513485212211
36352 35.5 0.000157226520322203
36864 36 0.000156938612793451
37376 36.5 0.000156651494614486
37888 37 0.000156368533905341
38400 37.5 0.000156092870862993
38912 38 0.000155825661948327
39424 38.5 0.000155565990723049
39936 39 0.000155312769251787
40448 39.5 0.000155066867672183
40960 40 0.000154831188621134
41472 40.5 0.000154608384670811
41984 41 0.000154398549024037
42496 41.5 0.000154199533460367
43008 42 0.000154009750499326
43520 42.5 0.000153830304903675
44032 43 0.000153663867182049
44544 43.5 0.000153511618399247
45056 44 0.000153372074790662
45568 44.5 0.000153243229392141
46080 45 0.000153125118212697
46592 45.5 0.000153019454652085
47104 46 0.000152927060914456
47616 46.5 0.000152846703238624
48128 47 0.000152776770343336
48640 47.5 0.000152717221175658
49152 48 0.000152669046542825
49664 48.5 0.000152632180528076
50176 49 0.000152604954543696
50688 49.5 0.000152585864012501
51200 50 0.000152575117502329
51712 50.5 0.000152573794003925
52224 51 0.000152581753318854
52736 51.5 0.000152597106571247
53248 52 0.000152617962160909
53760 52.5 0.000152644207784192
54272 53 0.000152677067476556
54784 53.5 0.000152717027862154
55296 54 0.000152762797755261
55808 54.5 0.000152812582137963
