# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
47616 46.5 2.90292505283143e-07 2.9029250510632e-07 2.90292505234909e-07
48128 47 1.34699322955842e-07 1.34699323008927e-07 1.34699323222979e-07
48640 47.5 7.95804425484665e-08 7.9580442724572e-08 7.9580442696277e-08
49152 48 2.20751068424923e-07 2.20751068589493e-07 2.20751068827958e-07
49664 48.5 1.48800448131096e-07 1.48800448174305e-07 1.48800448078514e-07
50176 49 1.09037279427564e-07 1.0903727910749e-07 1.09037279410727e-07
50688 49.5 1.66441864770797e-07 1.66441865424476e-07 1.66441865457923e-07
51200 50 9.59159401833967e-08 9.59159405623268e-08 9.59159404860158e-08
51712 50.5 6.24646914369389e-08 6.24646910878828e-08 6.2464691334812e-08
52224 51 8.80193243947611e-08 8.80193244132802e-08 8.80193244965346e-08
52736 51.5 5.81398205525743e-08 5.81398206070826e-08 5.81398206460998e-08
53248 52 1.19365728538196e-07 1.19365728418482e-07 1.19365728526089e-07
53760 52.5 1.38848541961824e-07 1.3884854194895e-07 1.38848542029921e-07
54272 53 1.6749356539125e-08 1.67493567451354e-08 1.67493565210695e-08
54784 53.5 2.03454599216281e-06 2.03454599244354e-06 2.03454599188719e-06
55296 54 4.33470143963577e-06 4.33470143849801e-06 4.33470143939551e-06
55808 54.5 6.51354336861301e-06 6.51354336811636e-06 6.51354336854043e-06
56320 55 9.24077389339246e-06 9.24077389493746e-06 9.24077389391723e-06
56832 55.5 1.26183381030564e-05 1.26183381040209e-05 1.26183381033447e-05
57344 56 1.61391456314263e-05 1.61391456302753e-05 1.61391456311525e-05
57856 56.5 1.94865716043474e-05 1.94865716034577e-05 1.94865716044255e-05
58368 57 2.28184455042299e-05 2.28184455050495e-05 2.28184455044735e-05
58880 57.5 2.61703713085912e-05 2.61703713095042e-05 2.61703713084402e-05
59392 58 2.91904684656125e-05 2.91904684654667e-05 2.91904684656936e-05
59904 58.5 3.18048978856578e-05 3.18048978851502e-05 3.18048978861241e-05
60416 59 3.4664330344341e-05 3.46643303442694e-05 3.4664330344342e-05
60928 59.5 3.84123542199161e-05 3.84123542202301e-05 3.84123542194583e-05
61440 60 4.27460428783989e-05 4.27460428784328e-05 4.27460428782225e-05
61952 60.5 4.67250678042187e-05 4.67250678039994e-05 4.67250678045894e-05
62464 61 4.99562438164804e-05 4.99562438166571e-05 4.99562438168749e-05
62976 61.5 5.29759075239506e-05 5.29759075242626e-05 5.29759075238532e-05
63488 62 5.6381481419142e-05 5.63814814189561e-05 5.63814814187148e-05
64000 62.5 6.00983333866198e-05 6.0098333386226e-05 6.00983333863129e-05
64512 63 6.37765063316695e-05 6.37765063317081e-05 6.37765063316727e-05
65024 63.5 6.74292926552758e-05 6.74292926557277e-05 6.74292926555683e-05
65536 64 7.12109805376198e-05 7.12109805379507e-05 7.12109805380716e-05
66048 64.5 7.49380334684491e-05 7.49380334681926e-05 7.49380334688383e-05
66560 65 7.84123533542514e-05 7.8412353353728e-05 7.84123533540629e-05
67072 65.5 8.19582221787539e-05 8.19582221787792e-05 8.19582221778541e-05
67584 66 8.59860333976357e-05 8.59860333981428e-05 8.59860333973431e-05
68096 66.5 9.014175013034e-05 9.01417501305675e-05 9.01417501314475e-05
68608 67 9.35903655796582e-05 9.35903655795413e-05 9.35903655803677e-05
69120 67.5 9.6263632984711e-05 9.62636329846271e-05 9.62636329837934e-05
69632 68 9.94020890122689e-05 9.94020890121704e-05 9.94020890128869e-05
70144 68.5 0.000104402558367923 0.000104402558367312 0.000104402558367463
70656 69 0.000108676236883954 0.000108676236883806 0.000108676236883714
71168 69.5 0.000112560090179879 0.000112560090180299 0.000112560090180466
71680 70 0.000116734429630834 0.000116734429631175 0.000116734429631059
72192 70.5 0.000121189734602201 0.000121189734602021 0.000121189734601668
72704 71 0.000125400960858753 0.000125400960858161 0.000125400960858255
73216 71.5 0.000129279075592402 0.000129279075592239 0.000129279075592422
73728 72 0.000133236934315719 0.000133236934316439 0.000133236934316124
74240 72.5 0.000137368725090246 0.000137368725090642 0.00013736872509046
74752 73 0.000141287631203638 0.000141287631202677 0.000141287631203177
75264 73.5 0.000144898746205534 0.000144898746204391 0.000144898746204843
75776 74 0.000148638771099436 0.000148638771099689 0.000148638771099426
76288 74.5 0.000152679243525455 0.000152679243526707 0.000152679243526178
76800 75 0.000156524833061536 0.000156524833062089 0.00015652483306203
77312 75.5 0.000159792535117452 0.000159792535116799 0.000159792535117081
77824 76 0.00016286474902685 0.000162864749026335 0.000162864749026178
78336 76.5 0.000166303537751751 0.000166303537752283 0.000166303537751681
78848 77 0.000169988068176522 0.000169988068176996 0.000169988068176988
79360 77.5 0.000173326716414976 0.000173326716414533 0.000173326716415236
79872 78 0.000176152009607815 0.000176152009607323 0.000176152009607523
80384 78.5 0.000178942992241173 0.000178942992241368 0.00017894299224088
80896 79 0.000182112152833062 0.00018211215283342 0.000182112152833383
81408 79.5 0.000185419850600665 0.000185419850600651 0.000185419850601106
81920 80 0.000188307639076435 0.000188307639076332 0.000188307639076226
82432 80.5 0.000190631203958258 0.000190631203958539 0.000190631203957909
82944 81 0.000192792270145912 0.000192792270146219 0.000192792270146088
83456 81.5 0.000195188665209863 0.00019518866520934 0.000195188665209957
83968 82 0.000197798025362589 0.000197798025361749 0.000197798025362178
84480 82.5 0.000200349963252166 0.00020034996325262 0.00020034996325206
84992 83 0.000202670686553874 0.00020267068655519 0.000202670686554377
85504 83.5 0.000204732318340747 0.000204732318340455 0.000204732318340878
86016 84 0.000206546037311261 0.000206546037309497 0.000206546037310783
86528 84.5 0.000208213145929894 0.000208213145929488 0.000208213145929667
87040 85 0.000210002536559641 0.000210002536560909 0.000210002536560002
87552 85.5 0.000212122017948304 0.000212122017949128 0.000212122017948801
88064 86 0.000214359567403921 0.00021435956740392 0.000214359567404072
88576 86.5 0.000216196074409338 0.000216196074409186 0.000216196074409134
89088 87 0.000217430027004236 0.000217430027003638 0.000217430027004077
89600 87.5 0.00021849701896616 0.000218497018965527 0.000218497018966107
90112 88 0.000219964876571887 0.000219964876572294 0.000219964876571667
90624 88.5 0.000221840031309163 0.000221840031309968 0.000221840031309057
91136 89 0.000223588387840403 0.000223588387840561 0.000223588387840769
91648 89.5 0.000224789475289014 0.000224789475288858 0.000224789475289413
92160 90 0.000225571309387031 0.000225571309386777 0.000225571309387102
92672 90.5 0.000226362625157199 0.000226362625156861 0.00022636262515706
93184 91 0.000227372777953969 0.000227372777954414 0.000227372777953798
93696 91.5 0.000228460596155122 0.000228460596156217 0.000228460596155282
94208 92 0.000229455565713201 0.000229455565713269 0.000229455565713576
94720 92.5 0.000230387404466866 0.000230387404465881 0.000230387404466612
95232 93 0.00023130811632451 0.000231308116324152 0.000231308116323974
95744 93.5 0.000232081603826882 0.000232081603827264 0.000232081603827079
96256 94 0.000232568676255899 0.000232568676255937 0.000232568676256196
96768 94.5 0.000232946641148032 0.000232946641147583 0.000232946641147491
97280 95 0.000233590987006327 0.000233590987006065 0.000233590987006015
97792 95.5 0.000234582895055432 0.000234582895055853 0.000234582895056093
98304 96 0.000235540072182553 0.000235540072183224 0.000235540072182878
98816 96.5 0.000236079310072197 0.000236079310072058 0.000236079310071516
99328 97 0.000236320326033973 0.000236320326033083 0.000236320326033473
99840 97.5 0.000236732452501153 0.000236732452500763 0.000236732452501591
100352 98 0.000237495269076185 0.000237495269076857 0.000237495269076998
100864 98.5 0.000238234426697029 0.000238234426697847 0.000238234426697444
101376 99 0.000238538513044957 0.000238538513044709 0.000238538513044592
101888 99.5 0.000238563643571251 0.000238563643570433 0.000238563643570552
102400 100 0.000238827052172907 0.000238827052173007 0.000238827052172961
102912 100.5 0.000239459568031129 0.000239459568031891 0.000239459568031878
103424 101 0.000240049603184111 0.000240049603184283 0.000240049603184337
103936 101.5 0.000240301986145349 0.000240301986144939 0.000240301986144809
104448 102 0.000240479260357468 0.000240479260358097 0.000240479260357076
104960 102.5 0.000240944391127781 0.000240944391127601 0.000240944391127338
105472 103 0.000241470345166815 0.00024147034516639 0.000241470345166955
105984 103.5 0.000242074949674217 0.00024207494967452 0.000242074949674391
106496 104 0.000242561038704778 0.000242561038705051 0.000242561038704739
107008 104.5 0.000242795844076637 0.00024279584407582 0.000242795844076339
107520 105 0.000242913057939956 0.000242913057939627 0.000242913057940008
108032 105.5 0.00024315739810997 0.000243157398111201 0.000243157398110919
108544 106 0.000243601591631013 0.00024360159163165 0.000243601591631298
109056 106.5 0.000244082552115856 0.000244082552114987 0.000244082552114696
109568 107 0.000244381733528194 0.000244381733527646 0.000244381733527877
110080 107.5 0.000244441857586059 0.000244441857586357 0.000244441857587357
110592 108 0.000244433873527176 0.000244433873527397 0.000244433873527583
111104 108.5 0.000244594519955938 0.000244594519955888 0.000244594519954979
111616 109 0.000244954903668132 0.000244954903668008 0.000244954903667855
112128 109.5 0.000245289045591909 0.000245289045591757 0.000245289045592262
112640 110 0.000245395161788202 0.000245395161788088 0.000245395161788104
113152 110.5 0.000245357470990964 0.000245357470991112 0.000245357470991007
113664 111 0.000245420961773787 0.00024542096177412 0.000245420961774139
114176 111.5 0.00024565421476863 0.000245654214768581 0.000245654214768424
114688 112 0.000245882260783337 0.000245882260782909 0.000245882260782884
115200 112.5 0.000245944927635095 0.000245944927634865 0.000245944927634949
115712 113 0.000245885036799026 0.000245885036799194 0.000245885036798979
116224 113.5 0.000245854636932774 0.000245854636932946 0.00024585463693286
116736 114 0.000245931115708834 0.000245931115708629 0.000245931115708963
117248 114.5 0.000246065852720036 0.000246065852719896 0.000246065852720093
117760 115 0.00024616528930687 0.0002461652893072 0.000246165289307223
118272 115.5 0.000246190738328544 0.000246190738328611 0.0002461907383287
118784 116 0.000246188851572782 0.000246188851572504 0.000246188851572239
119296 116.5 0.000246227709229142 0.000246227709229361 0.000246227709228818
119808 117 0.00024630081540319 0.000246300815403393 0.000246300815403343
120320 117.5 0.000246320205664043 0.00024632020566355 0.000246320205664031
120832 118 0.000246233925171958 0.000246233925171879 0.000246233925172016
121344 118.5 0.00024611529193303 0.000246115291933529 0.000246115291933266
121856 119 0.000246065503169463 0.000246065503169249 0.000246065503169597
122368 119.5 0.000246052400422766 0.000246052400422477 0.000246052400423046
122880 120 0.000245958171815856 0.000245958171816507 0.000245958171815694
123392 120.5 0.000245790772089813 0.000245790772089946 0.000245790772088587
123904 121 0.000245703087430207 0.000245703087429282 0.000245703087429875
124416 121.5 0.000245750638083757 0.000245750638083663 0.000245750638085442
124928 122 0.000245775479852876 0.000245775479853914 0.000245775479854025
125440 122.5 0.000245625447591536 0.000245625447591722 0.00024562544759057
125952 123 0.000245372410131747 0.000245372410130749 0.000245372410130682
126464 123.5 0.000245197527278332 0.000245197527277916 0.000245197527278605
126976 124 0.00024513874025801 0.000245138740258637 0.000245138740258583
127488 124.5 0.000245075072832824 0.000245075072833208 0.000245075072832981
128000 125 0.00024492423107836 0.000244924231078147 0.000244924231078624
128512 125.5 0.000244729421511557 0.000244729421511557 0.000244729421511823
129024 126 0.000244538544720783 0.000244538544721058 0.000244538544720582
129536 126.5 0.000244320293338484 0.000244320293338571 0.000244320293338245
130048 127 0.000244060771066029 0.000244060771065777 0.000244060771066045
130560 127.5 0.000243831922315693 0.000243831922315094 0.000243831922315579
131072 128 0.000243667412766134 0.000243667412765748 0.000243667412766177
131584 128.5 0.000243467542978577 0.000243467542979062 0.000243467542978895
132096 129 0.00024314208463698 0.000243142084637541 0.000243142084636747
132608 129.5 0.000242763643867185 0.000242763643866872 0.00024276364386686
133120 130 0.000242456743478462 0.000242456743478044 0.000242456743479079
133632 130.5 0.000242199821970687 0.000242199821970909 0.000242199821971021
134144 131 0.000241865035478501 0.000241865035478936 0.000241865035477954
134656 131.5 0.000241427283113509 0.000241427283113683 0.000241427283113721
135168 132 0.000241009581919015 0.000241009581918725 0.000241009581919532
135680 132.5 0.000240694479596139 0.000240694479595724 0.000240694479595363
136192 133 0.000240395647731759 0.000240395647731969 0.000240395647731145
136704 133.5 0.000239991237520442 0.000239991237521036 0.000239991237521138
137216 134 0.000239501985106892 0.000239501985106742 0.000239501985107164
137728 134.5 0.000239028674505275 0.000239028674504401 0.000239028674504801
138240 135 0.000238576879494622 0.000238576879494252 0.000238576879494735
138752 135.5 0.000238077728317642 0.000238077728318133 0.000238077728317831
139264 136 0.000237545998530168 0.000237545998530544 0.000237545998529816
139776 136.5 0.000237073549784579 0.0002370735497845 0.000237073549784798
140288 137 0.000236658147522425 0.00023665814752253 0.000236658147523269
140800 137.5 0.000236167427333922 0.000236167427334054 0.000236167427333946
141312 138 0.000235527702188821 0.000235527702188387 0.000235527702188025
141824 138.5 0.000234850619656305 0.000234850619656163 0.000234850619656162
142336 139 0.000234285251690382 0.000234285251691292 0.000234285251691166
142848 139.5 0.000233809096212338 0.000233809096212664 0.000233809096212659
143360 140 0.000233265693529475 0.000233265693528075 0.000233265693528659
143872 140.5 0.000232579163775626 0.000232579163774779 0.000232579163775141
144384 141 0.00023183569676668 0.000231835696767957 0.000231835696767519
144896 141.5 0.000231148856402855 0.000231148856404159 0.000231148856403783
145408 142 0.000230521772323784 0.00023052177232334 0.00023052177232367
145920 142.5 0.000229875281062033 0.0002298752810609 0.000229875281061238
146432 143 0.000229159656669689 0.00022915965666951 0.000229159656668972
146944 143.5 0.000228388728383091 0.000228388728383804 0.000228388728383088
147456 144 0.000227591081382997 0.000227591081383265 0.000227591081383461
147968 144.5 0.000226777435517059 0.000226777435516673 0.000226777435517089
148480 145 0.000225951510010671 0.000225951510010633 0.00022595151001046
148992 145.5 0.000225115604775932 0.000225115604776109 0.000225115604776123
149504 146 0.000224263107431783 0.000224263107431474 0.000224263107431938
150016 146.5 0.000223379263959725 0.000223379263959639 0.000223379263959744
150528 147 0.000222446326374454 0.000222446326374996 0.000222446326374857
151040 147.5 0.00022145630953708 0.000221456309537105 0.000221456309537117
151552 148 0.000220434742184108 0.000220434742183221 0.000220434742183185
152064 148.5 0.000219432557867736 0.000219432557867036 0.000219432557867121
152576 149 0.000218464944501383 0.000218464944501616 0.000218464944501783
153088 149.5 0.000217472583609326 0.000217472583610067 0.000217472583609571
153600 150 0.000216379082160526 0.000216379082161087 0.000216379082160501
154112 150.5 0.000215187113063486 0.000215187113063636 0.000215187113064244
154624 151 0.000213987664515064 0.000213987664514675 0.000213987664515469
155136 151.5 0.000212857941668547 0.000212857941667571 0.000212857941667229
155648 152 0.00021176738385891 0.000211767383858469 0.000211767383858061
156160 152.5 0.000210615711755765 0.00021061571175655 0.000210615711757033
156672 153 0.00020936147194143 0.000209361471942029 0.000209361471942231
157184 153.5 0.000208070705316003 0.000208070705315614 0.000208070705314911
157696 154 0.000206821668065761 0.000206821668065416 0.000206821668065247
158208 154.5 0.000205602640160681 0.000205602640160804 0.000205602640161715
158720 155 0.000204340441589261 0.000204340441589509 0.000204340441589853
159232 155.5 0.000203008787763315 0.000203008787763291 0.000203008787762524
159744 156 0.000201663632382399 0.000201663632382029 0.000201663632381491
160256 156.5 0.000200360826953873 0.000200360826954132 0.000200360826954183
160768 157 0.000199075393716332 0.000199075393717276 0.00019907539371738
161280 157.5 0.000197741375273782 0.000197741375273382 0.00019774137527373
161792 158 0.000196353292781181 0.000196353292779425 0.00019635329278001
162304 158.5 0.00019497232973407 0.000194972329734026 0.000194972329734113
162816 159 0.000193629679017363 0.000193629679019057 0.000193629679018532
163328 159.5 0.000192281417951275 0.00019228141795149 0.000192281417951141
163840 160 0.000190879294592154 0.000190879294590933 0.000190879294591037
164352 160.5 0.000189442973346433 0.00018944297334622 0.000189442973346482
164864 161 0.000188034289847953 0.000188034289848684 0.000188034289848651
165376 161.5 0.000186679396272134 0.000186679396272435 0.000186679396272
165888 162 0.000185338089560933 0.000185338089560697 0.000185338089560601
166400 162.5 0.000183950312109626 0.000183950312109308 0.000183950312109905
166912 163 0.000182505855434084 0.000182505855433962 0.000182505855434196
167424 163.5 0.000181060216533497 0.000181060216533641 0.000181060216533118
167936 164 0.000179673322875818 0.000179673322875984 0.000179673322875761
168448 164.5 0.000178336984906236 0.00017833698490625 0.000178336984906675
168960 165 0.000176983818430491 0.000176983818430295 0.000176983818430683
169472 165.5 0.000175574590905697 0.000175574590905408 0.000175574590905553
169984 166 0.000174147825806376 0.00017414782580609 0.000174147825806294
170496 166.5 0.000172762606438473 0.000172762606438404 0.000172762606438354
171008 167 0.000171423059049858 0.0001714230590503 0.000171423059049719
171520 167.5 0.000170092532908421 0.00017009253290893 0.000170092532908283
172032 168 0.000168756174763876 0.000168756174763631 0.000168756174763558
172544 168.5 0.000167426327325147 0.000167426327324476 0.000167426327325119
173056 169 0.000166100575136959 0.000166100575137 0.000166100575137503
173568 169.5 0.000164762602668677 0.000164762602669432 0.000164762602669063
174080 170 0.000163431801060623 0.000163431801060845 0.000163431801060289
174592 170.5 0.000162168569519533 0.000162168569518796 0.000162168569518806
175104 171 0.000160994590546519 0.00016099459054589 0.000160994590546296
175616 171.5 0.000159839539540115 0.000159839539540481 0.000159839539540772
176128 172 0.000158617839847234 0.000158617839847803 0.000158617839847622
176640 172.5 0.000157344474275953 0.000157344474275547 0.000157344474275025
177152 173 0.000156117894495536 0.00015611789449499 0.000156117894494942
177664 173.5 0.000154989148260449 0.000154989148261169 0.000154989148261831
178176 174 0.000153908695555336 0.000153908695556291 0.000153908695556565
178688 174.5 0.000152814100637656 0.00015281410063721 0.000152814100636726
179200 175 0.000151710033809796 0.000151710033808731 0.000151710033808585
179712 175.5 0.000150634947728375 0.000150634947728388 0.000150634947728635
180224 176 0.000149594756167621 0.000149594756168442 0.00014959475616827
180736 176.5 0.000148567533787966 0.000148567533788373 0.000148567533788256
181248 177 0.000147545743685884 0.000147545743685899 0.000147545743686185
181760 177.5 0.000146538583997505 0.00014653858399743 0.000146538583997483
182272 178 0.000145548971777837 0.000145548971777233 0.000145548971777096
182784 178.5 0.000144580388255992 0.000144580388255354 0.000144580388255327
183296 179 0.000143651205783158 0.000143651205783456 0.000143651205783436
183808 179.5 0.000142762668588307 0.000142762668588712 0.000142762668588816
184320 180 0.000141871386594568 0.000141871386594084 0.000141871386594219
184832 180.5 0.000140946820804755 0.00014094682080475 0.000140946820804525
185344 181 0.000140038152177004 0.000140038152178263 0.000140038152178107
185856 181.5 0.000139217994411023 0.000139217994411278 0.00013921799441165
186368 182 0.000138470803843828 0.00013847080384253 0.000138470803842365
186880 182.5 0.0001377147533575 0.000137714753357267 0.000137714753356116
187392 183 0.000136931909830023 0.000136931909831136 0.000136931909830755
187904 183.5 0.000136190155982263 0.000136190155982463 0.000136190155983541
188416 184 0.000135522084206177 0.000135522084205305 0.000135522084206109
188928 184.5 0.000134871896709299 0.000134871896708899 0.000134871896708702
189440 185 0.000134201947188106 0.000134201947188586 0.000134201947188359
189952 185.5 0.0001335721459471 0.000133572145947585 0.000133572145947493
190464 186 0.000133047208999362 0.000133047208999124 0.000133047208998763
190976 186.5 0.000132582833098214 0.000132582833097839 0.000132582833097339
191488 187 0.000132087310595085 0.000132087310595039 0.000132087310594907
192000 187.5 0.000131560232124703 0.0001315602321246 0.000131560232124939
192512 188 0.000131081518749333 0.000131081518749714 0.000131081518749791
193024 188.5 0.000130685520832891 0.000130685520833841 0.000130685520833633
193536 189 0.000130333493338618 0.00013033349333847 0.00013033349333887
194048 189.5 0.000129999253846168 0.000129999253845122 0.000129999253845382
194560 190 0.00012970332373337 0.000129703323733403 0.000129703323732448
195072 190.5 0.000129459430339546 0.000129459430340248 0.000129459430339787
