# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
243712 238 0.126410594131097
244224 238.5 0.12642874997026
244736 239 0.126447116848073
245248 239.5 0.126465689203192
245760 240 0.126484452683002
246272 240.5 0.126503391257369
246784 241 0.126522494868159
247296 241.5 0.126541753515206
247808 242 0.12656114566403
248320 242.5 0.126580640006029
248832 243 0.126600210110254
249344 243.5 0.12661984065107
249856 244 0.12663951510659
250368 244.5 0.126659202541748
250880 245 0.126678863399357
251392 245.5 0.126698466643416
251904 246 0.126717993686708
252416 246.5 0.126737423643213
252928 247 0.126756721478341
253440 247.5 0.126775845633154
253952 248 0.126794763055381
254464 248.5 0.126813450698335
254976 249 0.126831884566566
255488 249.5 0.126850034121338
256000 250 0.12686786791573
256512 250.5 0.126885359419806
257024 251 0.126902486100265
257536 251.5 0.126919227104646
258048 252 0.126935563687374
258560 252.5 0.126951479203574
259072 253 0.126966957740128
259584 253.5 0.126981985251202
260096 254 0.126996552660087
260608 254.5 0.127010655471367
261120 255 0.127024289950882
261632 255.5 0.127037452221065
262144 256 0.127050141714105
262656 256.5 0.127062363008484
263168 257 0.127074123198791
263680 257.5 0.127085429473695
264192 258 0.127096290466501
264704 258.5 0.127106718326955
265216 259 0.127116728063269
265728 259.5 0.127126335800606
266240 260 0.127135558564486
266752 260.5 0.127144414558309
267264 261 0.127152922366308
267776 261.5 0.127161100576832
268288 262 0.127168969140767
268800 262.5 0.127176550116073
269312 263 0.127183865568388
269824 263.5 0.127190935112699
270336 264 0.12719777674252
270848 264.5 0.127204409530281
271360 265 0.127210853727472
271872 265.5 0.127217127914903
272384 266 0.127223247335262
272896 266.5 0.127229225287084
273408 267 0.127235074728358
273920 267.5 0.127240807627361
274432 268 0.12724643352759
274944 268.5 0.127251959531417
275456 269 0.12725739111199
275968 269.5 0.127262732044788
276480 270 0.127267983659452
276992 270.5 0.127273144855991
277504 271 0.12727821305274
278016 271.5 0.127283184708813
278528 272 0.127288054491086
279040 272.5 0.127292813932901
279552 273 0.127297451412382
280064 273.5 0.127301954068235
280576 274 0.127306309906711
281088 274.5 0.12731050771695
