# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
35328 34.5 -6.28823973843089e-05 -6.2882397384939e-05 -6.28823973860754e-05
35840 35 -6.3075148885146e-05 -6.30751488859096e-05 -6.30751488876635e-05
36352 35.5 -5.93119035180942e-05 -5.93119035185392e-05 -5.9311903519013e-05
36864 36 -5.72258643842446e-05 -5.72258643834095e-05 -5.72258643833142e-05
37376 36.5 -6.2080745277976e-05 -6.20807452768383e-05 -6.20807452770974e-05
37888 37 -7.25360646793852e-05 -7.25360646798286e-05 -7.25360646797031e-05
38400 37.5 -8.06646573703171e-05 -8.0664657371001e-05 -8.06646573718581e-05
38912 38 -7.98018657323571e-05 -7.98018657308745e-05 -7.98018657334131e-05
39424 38.5 -7.1918226770723e-05 -7.19182267683168e-05 -7.19182267696994e-05
39936 39 -6.51538626489302e-05 -6.51538626493371e-05 -6.51538626472443e-05
40448 39.5 -6.3998128845083e-05 -6.39981288476988e-05 -6.39981288442156e-05
40960 40 -6.46524651273018e-05 -6.46524651286771e-05 -6.46524651271661e-05
41472 40.5 -6.13712564871809e-05 -6.13712564866914e-05 -6.13712564871194e-05
41984 41 -5.45923342323983e-05 -5.45923342321082e-05 -5.45923342312375e-05
42496 41.5 -5.53471911655081e-05 -5.53471911668198e-05 -5.53471911680212e-05
43008 42 -5.02486440046666e-05 -5.02486440038306e-05 -5.02486440055166e-05
43520 42.5 -5.32229113214519e-05 -5.32229113210815e-05 -5.32229113231905e-05
44032 43 -5.51379832236468e-05 -5.51379832250923e-05 -5.51379832243033e-05
44544 43.5 -5.54223108502387e-05 -5.54223108523569e-05 -5.54223108496209e-05
45056 44 -5.53823001614021e-05 -5.53823001616667e-05 -5.53823001610784e-05
45568 44.5 -5.50207324037832e-05 -5.50207324025228e-05 -5.50207324032452e-05
46080 45 -5.30267374859842e-05 -5.30267374852469e-05 -5.3026737485002e-05
46592 45.5 -4.93584840777367e-05 -4.93584840785016e-05 -4.93584840775233e-05
47104 46 -4.61398232097323e-05 -4.61398232106812e-05 -4.61398232114244e-05
47616 46.5 -4.53491457182731e-05 -4.53491457182097e-05 -4.53491457199729e-05
48128 47 -4.75881694276372e-05 -4.75881694234628e-05 -4.75881694169304e-05
48640 47.5 -4.54890214431847e-05 -4.54890214416191e-05 -4.54890214405978e-05
49152 48 -4.24046102728319e-05 -4.24046102720117e-05 -4.24046102707517e-05
49664 48.5 -3.95537433547118e-05 -3.95537433545429e-05 -3.95537433547148e-05
50176 49 -4.00632184944092e-05 -4.00632184946748e-05 -4.006321849626e-05
50688 49.5 -4.32109792575348e-05 -4.32109792581929e-05 -4.32109792598945e-05
51200 50 -4.54382504274475e-05 -4.54382504278139e-05 -4.54382504283389e-05
51712 50.5 -4.5609042406492e-05 -4.56090424011054e-05 -4.56090423994253e-05
52224 51 -4.96792644734484e-05 -4.96792644718581e-05 -4.96792644739076e-05
52736 51.5 -4.8226529560889e-05 -4.82265295614871e-05 -4.8226529558793e-05
53248 52 -5.11728224925547e-05 -5.11728224956992e-05 -5.11728224934276e-05
53760 52.5 -5.11809575622207e-05 -5.11809575640257e-05 -5.11809575644297e-05
54272 53 -4.87938086734834e-05 -4.87938086718988e-05 -4.87938086744681e-05
54784 53.5 -4.77363004540375e-05 -4.77363004523129e-05 -4.7736300454322e-05
55296 54 -4.92270811759869e-05 -4.92270811767239e-05 -4.92270811768678e-05
55808 54.5 -5.00637589840977e-05 -5.00637589849672e-05 -5.00637589849241e-05
56320 55 -4.7663650159019e-05 -4.76636501585852e-05 -4.76636501584713e-05
56832 55.5 -5.22043858530479e-05 -5.22043858547483e-05 -5.22043858563099e-05
57344 56 -5.27643698205746e-05 -5.27643698264915e-05 -5.27643698289857e-05
57856 56.5 -4.87547839338316e-05 -4.8754783934792e-05 -4.87547839348127e-05
58368 57 -5.2214689237392e-05 -5.22146892381954e-05 -5.22146892388644e-05
58880 57.5 -5.1891344269178e-05 -5.18913442695785e-05 -5.18913442687983e-05
59392 58 -4.92118071931014e-05 -4.9211807192494e-05 -4.92118071917572e-05
59904 58.5 -4.73211133471511e-05 -4.73211133469467e-05 -4.73211133470033e-05
60416 59 -4.65397151842895e-05 -4.6539715185072e-05 -4.65397151847855e-05
60928 59.5 -4.47165396250597e-05 -4.47165396257991e-05 -4.47165396246555e-05
61440 60 -4.14165833106445e-05 -4.14165833101299e-05 -4.14165833100792e-05
61952 60.5 -3.94357573630603e-05 -3.94357573621532e-05 -3.94357573635297e-05
62464 61 -4.13217648401795e-05 -4.13217648398379e-05 -4.13217648409098e-05
62976 61.5 -4.58283666924065e-05 -4.58283666923153e-05 -4.58283666923334e-05
63488 62 -4.9114390763283e-05 -4.91143907639303e-05 -4.9114390763581e-05
64000 62.5 -4.87903815522987e-05 -4.87903815537588e-05 -4.87903815531348e-05
64512 63 -4.56062094853762e-05 -4.56062094866803e-05 -4.56062094858873e-05
65024 63.5 -4.166390816774e-05 -4.16639081684736e-05 -4.16639081683502e-05
65536 64 -3.85179306853754e-05 -3.85179306858682e-05 -3.85179306866713e-05
66048 64.5 -3.71615842405259e-05 -3.71615842414567e-05 -3.71615842414897e-05
66560 65 -3.82651593337829e-05 -3.82651593343301e-05 -3.82651593322503e-05
67072 65.5 -4.12851907839037e-05 -4.12851907826188e-05 -4.12851907804995e-05
67584 66 -4.39854614330651e-05 -4.39854614302904e-05 -4.39854614309706e-05
68096 66.5 -4.40622168252259e-05 -4.40622168228186e-05 -4.40622168252429e-05
68608 67 -4.14954853393385e-05 -4.14954853384334e-05 -4.14954853391043e-05
69120 67.5 -3.86828404232506e-05 -3.86828404251434e-05 -3.86828404234234e-05
69632 68 -3.78719037869523e-05 -3.78719037913191e-05 -3.78719037893889e-05
70144 68.5 -3.88271835828356e-05 -3.8827183586328e-05 -3.8827183585329e-05
70656 69 -3.95628619968942e-05 -3.95628619979084e-05 -3.95628619968257e-05
71168 69.5 -3.91708249078324e-05 -3.91708249070154e-05 -3.91708249068147e-05
71680 70 -3.89858827043632e-05 -3.89858827028135e-05 -3.89858827050799e-05
72192 70.5 -4.04445421774663e-05 -4.04445421752515e-05 -4.04445421789039e-05
72704 71 -4.25723041414738e-05 -4.25723041391568e-05 -4.25723041414328e-05
73216 71.5 -4.28468088726483e-05 -4.28468088719456e-05 -4.28468088723029e-05
73728 72 -4.06339626548856e-05 -4.0633962656824e-05 -4.06339626549035e-05
74240 72.5 -3.84995005892006e-05 -3.84995005918395e-05 -3.84995005876965e-05
74752 73 -3.924282775787e-05 -3.9242827757947e-05 -3.92428277549403e-05
75264 73.5 -4.23622219353414e-05 -4.23622219335374e-05 -4.23622219355468e-05
75776 74 -4.45742647975806e-05 -4.45742647973806e-05 -4.45742648024629e-05
76288 74.5 -4.36285960677228e-05 -4.36285960697943e-05 -4.36285960729947e-05
76800 75 -4.06352390737625e-05 -4.06352390746813e-05 -4.06352390747437e-05
77312 75.5 -3.85542602960608e-05 -3.85542602950008e-05 -3.85542602931944e-05
77824 76 -3.9138075701429e-05 -3.91380757005913e-05 -3.91380756978514e-05
78336 76.5 -4.15588021485283e-05 -4.15588021487605e-05 -4.15588021462526e-05
78848 77 -4.35588475967364e-05 -4.35588475964616e-05 -4.35588475965001e-05
79360 77.5 -4.37146111649678e-05 -4.37146111641611e-05 -4.37146111675446e-05
79872 78 -4.26724999856381e-05 -4.26724999857062e-05 -4.26724999889453e-05
80384 78.5 -4.20989057455091e-05 -4.20989057470814e-05 -4.20989057466714e-05
80896 79 -4.24768917594995e-05 -4.24768917612938e-05 -4.24768917582858e-05
81408 79.5 -4.25257543481975e-05 -4.25257543487012e-05 -4.25257543465419e-05
81920 80 -4.11541976317128e-05 -4.11541976304154e-05 -4.11541976304397e-05
82432 80.5 -3.93056381610254e-05 -3.93056381600542e-05 -3.93056381611264e-05
82944 81 -3.89571825137831e-05 -3.89571825154329e-05 -3.89571825163211e-05
83456 81.5 -4.0525028498376e-05 -4.05250285009354e-05 -4.05250285015368e-05
83968 82 -4.23031109025925e-05 -4.23031109021275e-05 -4.23031109026334e-05
84480 82.5 -4.27004261999369e-05 -4.27004261962821e-05 -4.27004261966423e-05
84992 83 -4.21266480576918e-05 -4.21266480547643e-05 -4.21266480546474e-05
85504 83.5 -4.20846933335632e-05 -4.20846933337494e-05 -4.20846933335528e-05
86016 84 -4.30383723050507e-05 -4.30383723067886e-05 -4.3038372306526e-05
86528 84.5 -4.39793781213401e-05 -4.3979378123132e-05 -4.39793781224908e-05
87040 85 -4.38708812359448e-05 -4.38708812374536e-05 -4.38708812359663e-05
87552 85.5 -4.27666146775113e-05 -4.27666146783086e-05 -4.27666146771707e-05
88064 86 -4.1421470020808e-05 -4.1421470019802e-05 -4.14214700211031e-05
88576 86.5 -4.037730301848e-05 -4.03773030156087e-05 -4.03773030195284e-05
89088 87 -3.97571910110375e-05 -3.9757191008977e-05 -3.97571910120264e-05
89600 87.5 -3.96609677387911e-05 -3.96609677382131e-05 -3.96609677384269e-05
90112 88 -4.03015206084349e-05 -4.03015206083698e-05 -4.03015206067998e-05
90624 88.5 -4.1655897257646e-05 -4.16558972575697e-05 -4.16558972562589e-05
91136 89 -4.32832273563136e-05 -4.32832273565104e-05 -4.32832273556449e-05
91648 89.5 -4.47085336098421e-05 -4.47085336108802e-05 -4.47085336103718e-05
92160 90 -4.57451322995368e-05 -4.57451323008562e-05 -4.57451323007362e-05
92672 90.5 -4.61447211993359e-05 -4.61447211994728e-05 -4.61447212005046e-05
93184 91 -4.52995556780101e-05 -4.52995556763536e-05 -4.52995556784714e-05
93696 91.5 -4.30126862111651e-05 -4.30126862092089e-05 -4.30126862111249e-05
94208 92 -4.04987491987536e-05 -4.04987491972113e-05 -4.04987491974351e-05
94720 92.5 -3.9691472385359e-05 -3.96914723852146e-05 -3.96914723839897e-05
95232 93 -4.11081900032998e-05 -4.11081900044196e-05 -4.11081900032464e-05
95744 93.5 -4.30824856352669e-05 -4.30824856359472e-05 -4.30824856360816e-05
96256 94 -4.37637028819264e-05 -4.37637028829046e-05 -4.37637028831915e-05
96768 94.5 -4.33955106243741e-05 -4.33955106256323e-05 -4.33955106247691e-05
97280 95 -4.37663142844226e-05 -4.37663142839315e-05 -4.37663142828205e-05
97792 95.5 -4.55653515337496e-05 -4.55653515319728e-05 -4.55653515315939e-05
98304 96 -4.72448937090864e-05 -4.72448937082225e-05 -4.72448937077964e-05
98816 96.5 -4.68705953351848e-05 -4.68705953363283e-05 -4.68705953344681e-05
99328 97 -4.44922824018395e-05 -4.44922824021927e-05 -4.44922824012774e-05
99840 97.5 -4.21459709861634e-05 -4.21459709848428e-05 -4.21459709865962e-05
100352 98 -4.17375532228415e-05 -4.17375532222116e-05 -4.17375532250147e-05
100864 98.5 -4.33219782963677e-05 -4.33219782973872e-05 -4.33219782983218e-05
101376 99 -4.53492812773516e-05 -4.53492812783563e-05 -4.53492812773933e-05
101888 99.5 -4.62511299635049e-05 -4.62511299630922e-05 -4.62511299609798e-05
102400 100 -4.57528701863993e-05 -4.57528701860881e-05 -4.57528701839228e-05
102912 100.5 -4.48540642178062e-05 -4.48540642174766e-05 -4.48540642172172e-05
103424 101 -4.46870253304148e-05 -4.46870253295845e-05 -4.4687025331129e-05
103936 101.5 -4.54435752427567e-05 -4.54435752414041e-05 -4.54435752428082e-05
104448 102 -4.63542764466921e-05 -4.63542764463747e-05 -4.63542764469057e-05
104960 102.5 -4.65200424218948e-05 -4.65200424236974e-05 -4.65200424249206e-05
105472 103 -4.5673001517926e-05 -4.56730015209833e-05 -4.56730015213259e-05
105984 103.5 -4.43371180574847e-05 -4.43371180589279e-05 -4.43371180560604e-05
106496 104 -4.34380275108602e-05 -4.34380275093041e-05 -4.34380275055691e-05
107008 104.5 -4.35771089796068e-05 -4.35771089770303e-05 -4.35771089772186e-05
107520 105 -4.44373755983915e-05 -4.44373755973251e-05 -4.44373756004335e-05
108032 105.5 -4.50187260376437e-05 -4.50187260379006e-05 -4.50187260398641e-05
108544 106 -4.47091786091691e-05 -4.47091786093065e-05 -4.47091786100276e-05
109056 106.5 -4.4032691258329e-05 -4.40326912591721e-05 -4.40326912602054e-05
109568 107 -4.40513279715564e-05 -4.40513279723828e-05 -4.40513279732374e-05
110080 107.5 -4.50471565980139e-05 -4.50471565969511e-05 -4.50471565955954e-05
110592 108 -4.61054433621056e-05 -4.61054433587728e-05 -4.61054433564961e-05
111104 108.5 -4.61204270841072e-05 -4.61204270820224e-05 -4.6120427080943e-05
111616 109 -4.50035641839622e-05 -4.50035641855392e-05 -4.50035641859323e-05
112128 109.5 -4.37339654941373e-05 -4.37339654981958e-05 -4.37339654983572e-05
112640 110 -4.33171906962121e-05 -4.33171906990768e-05 -4.33171906982744e-05
113152 110.5 -4.38257168221722e-05 -4.38257168221959e-05 -4.38257168209397e-05
113664 111 -4.44313728206163e-05 -4.44313728183467e-05 -4.44313728182186e-05
114176 111.5 -4.43212304171845e-05 -4.4321230415209e-05 -4.43212304161181e-05
114688 112 -4.35833376134585e-05 -4.35833376124222e-05 -4.35833376130695e-05
115200 112.5 -4.31282618622735e-05 -4.31282618612839e-05 -4.31282618608115e-05
115712 113 -4.36464185501745e-05 -4.36464185489994e-05 -4.36464185484868e-05
116224 113.5 -4.4754991224748e-05 -4.47549912244907e-05 -4.4754991225184e-05
116736 114 -4.54023280851529e-05 -4.54023280854046e-05 -4.54023280867476e-05
117248 114.5 -4.5068624022989e-05 -4.50686240230599e-05 -4.50686240240508e-05
117760 115 -4.42530517918931e-05 -4.42530517932412e-05 -4.42530517935089e-05
118272 115.5 -4.37038802436707e-05 -4.37038802472475e-05 -4.37038802474763e-05
118784 116 -4.35372992687719e-05 -4.35372992707365e-05 -4.35372992712005e-05
119296 116.5 -4.34148792308399e-05 -4.34148792282227e-05 -4.34148792277922e-05
119808 117 -4.33353299641913e-05 -4.33353299599106e-05 -4.33353299584806e-05
120320 117.5 -4.37345259763939e-05 -4.37345259750811e-05 -4.37345259740212e-05
120832 118 -4.47092139488192e-05 -4.47092139505734e-05 -4.47092139500519e-05
121344 118.5 -4.55823683781512e-05 -4.55823683791669e-05 -4.55823683789152e-05
121856 119 -4.55957279038415e-05 -4.55957279018951e-05 -4.55957279026296e-05
122368 119.5 -4.48422146471981e-05 -4.48422146436799e-05 -4.4842214646177e-05
122880 120 -4.41174129958012e-05 -4.41174129933569e-05 -4.41174129971107e-05
123392 120.5 -4.38838813400022e-05 -4.38838813404488e-05 -4.38838813423502e-05
123904 121 -4.3810413286187e-05 -4.38104132883874e-05 -4.38104132860835e-05
124416 121.5 -4.34835786555583e-05 -4.34835786573638e-05 -4.34835786531359e-05
124928 122 -4.31641062239693e-05 -4.31641062256389e-05 -4.31641062225024e-05
125440 122.5 -4.34362565239122e-05 -4.34362565262217e-05 -4.34362565251741e-05
125952 123 -4.42836824188804e-05 -4.42836824202875e-05 -4.42836824206305e-05
126464 123.5 -4.49829872501598e-05 -4.49829872480847e-05 -4.49829872500667e-05
126976 124 -4.4986279005182e-05 -4.49862790011597e-05 -4.49862790033582e-05
127488 124.5 -4.45411640410285e-05 -4.45411640386334e-05 -4.45411640390375e-05
128000 125 -4.42508002041726e-05 -4.42508002040013e-05 -4.42508002037516e-05
128512 125.5 -4.43049176419996e-05 -4.43049176418769e-05 -4.43049176430542e-05
129024 126 -4.44392854383478e-05 -4.4439285437487e-05 -4.44392854392866e-05
129536 126.5 -4.44959415872401e-05 -4.44959415880341e-05 -4.44959415877374e-05
130048 127 -4.46308775630511e-05 -4.46308775662563e-05 -4.46308775637552e-05
130560 127.5 -4.48959331488338e-05 -4.48959331513589e-05 -4.48959331491718e-05
131072 128 -4.49764734351976e-05 -4.4976473434763e-05 -4.49764734343023e-05
131584 128.5 -4.46504694339512e-05 -4.46504694326998e-05 -4.46504694324694e-05
