# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
34816 25.5 -2.10786459209539e-05 -2.10786467166237e-05 -2.10786445147781e-05
35328 25.875 -2.03874483877758e-05 -2.03874488790071e-05 -2.03874470963184e-05
35840 26.25 -1.98141382023693e-05 -1.98141390359203e-05 -1.98141373724335e-05
36352 26.625 -1.92069127202169e-05 -1.92069131574714e-05 -1.92069118204268e-05
36864 27 -1.86259123873507e-05 -1.86259131030705e-05 -1.86259120037487e-05
37376 27.375 -1.81682617619306e-05 -1.81682622173429e-05 -1.81682613478987e-05
37888 27.75 -1.76785155182429e-05 -1.76785157991751e-05 -1.76785152096329e-05
38400 28.125 -1.7327631807148e-05 -1.73276323047034e-05 -1.73276318341464e-05
38912 28.5 -1.69505588809981e-05 -1.69505591893047e-05 -1.69505589440013e-05
39424 28.875 -1.66292387706074e-05 -1.66292392540427e-05 -1.66292391420474e-05
39936 29.25 -1.6127930066453e-05 -1.6127930615806e-05 -1.61279305809018e-05
40448 29.625 -1.58088085954194e-05 -1.58088091030878e-05 -1.58088092570021e-05
40960 30 -1.53247388016155e-05 -1.53247393687947e-05 -1.53247395469268e-05
41472 30.375 -1.50451863543203e-05 -1.50451868454681e-05 -1.5045187039113e-05
41984 30.75 -1.46278137387856e-05 -1.46278143824535e-05 -1.46278145869688e-05
42496 31.125 -1.41695730838141e-05 -1.41695736332604e-05 -1.41695738133658e-05
43008 31.5 -1.37438906900709e-05 -1.37438910559433e-05 -1.37438912057186e-05
43520 31.875 -1.33323187241739e-05 -1.33323189661422e-05 -1.33323191047076e-05
44032 32.25 -1.29423059808077e-05 -1.29423061081854e-05 -1.29423062314044e-05
44544 32.625 -1.25771792336428e-05 -1.25771792841417e-05 -1.25771794007215e-05
45056 33 -1.23450597095561e-05 -1.23450596723151e-05 -1.23450596560835e-05
45568 33.375 -1.21013464670808e-05 -1.21013464293824e-05 -1.21013464367026e-05
46080 33.75 -1.18577223258556e-05 -1.18577222826073e-05 -1.18577223263461e-05
46592 34.125 -1.15098276128885e-05 -1.15098275650559e-05 -1.15098276126313e-05
47104 34.5 -1.12011052884251e-05 -1.12011052318112e-05 -1.12011053125841e-05
47616 34.875 -1.09715770069615e-05 -1.09715769538507e-05 -1.09715770085899e-05
48128 35.25 -1.06941337845712e-05 -1.06941337233558e-05 -1.06941338023771e-05
48640 35.625 -1.04476541429034e-05 -1.04476540833817e-05 -1.04476541592949e-05
49152 36 -1.01807848815508e-05 -1.01807848279058e-05 -1.01807848917149e-05
49664 36.375 -9.97753110716e-06 -9.97753104528844e-06 -9.9775311148526e-06
50176 36.75 -9.6504804877957e-06 -9.65048041450411e-06 -9.65048047708476e-06
50688 37.125 -9.21681389966813e-06 -9.21681381365064e-06 -9.21681386177168e-06
51200 37.5 -8.69731232704141e-06 -8.69731223317907e-06 -8.69731227124727e-06
51712 37.875 -8.11330477391686e-06 -8.11330468587682e-06 -8.1133047286053e-06
52224 38.25 -7.48531106283936e-06 -7.4853110008118e-06 -7.48531106198013e-06
52736 38.625 -6.83306964450311e-06 -6.83306962639596e-06 -6.83306970489645e-06
53248 39 -6.17577116780908e-06 -6.17577119610428e-06 -6.17577127091305e-06
53760 39.375 -5.53162501164822e-06 -5.5316250633444e-06 -5.53162510437464e-06
54272 39.75 -4.91680324456336e-06 -4.91680327421191e-06 -4.91680326386193e-06
54784 40.125 -4.34441757393773e-06 -4.34441753484706e-06 -4.34441748470933e-06
55296 40.5 -3.82409045154155e-06 -3.8240903278968e-06 -3.82409027642319e-06
55808 40.875 -3.36218784910138e-06 -3.36218767931645e-06 -3.36218767008999e-06
56320 41.25 -2.96240217243481e-06 -2.96240204326888e-06 -2.96240209943499e-06
56832 41.625 -2.82406089894639e-06 -2.82404924174568e-06 -2.82404737868743e-06
57344 42 -2.4489021135856e-06 -2.4489016638838e-06 -2.44890231378008e-06
