# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
36352 26.625 1.10564818045287e-10
36864 27 1.10565370348482e-10
37376 27.375 1.10565935250938e-10
37888 27.75 1.10566520918359e-10
38400 28.125 1.10567136736162e-10
38912 28.5 1.10567794668322e-10
39424 28.875 1.10568511179227e-10
39936 29.25 1.10569308379761e-10
40448 29.625 1.1057021315616e-10
40960 30 1.1057125408978e-10
41472 30.375 1.10572457337838e-10
41984 30.75 1.10573843304645e-10
42496 31.125 1.10575425301389e-10
43008 31.5 1.10577209889255e-10
43520 31.875 1.10579197431206e-10
44032 32.25 1.10581381562757e-10
44544 32.625 1.10583747718706e-10
45056 33 1.1058627224783e-10
45568 33.375 1.10588923637586e-10
46080 33.75 1.10591665777173e-10
46592 34.125 1.10594461345377e-10
47104 34.5 1.1059727307657e-10
47616 34.875 1.10600062381471e-10
48128 35.25 1.10602787250069e-10
48640 35.625 1.10605402378456e-10
49152 36 1.10607862968413e-10
49664 36.375 1.10610130741642e-10
50176 36.75 1.10612178796109e-10
50688 37.125 1.10613992641755e-10
51200 37.5 1.10615567494193e-10
51712 37.875 1.10616904387699e-10
52224 38.25 1.10618007930095e-10
52736 38.625 1.10618886590788e-10
53248 39 1.10619554130738e-10
53760 39.375 1.10620030053137e-10
54272 39.75 1.10620338110932e-10
54784 40.125 1.10620503655487e-10
55296 40.5 1.10620551394598e-10
55808 40.875 1.10620551394598e-10
56320 41.25 1.10620551394598e-10
56832 41.625 1.10620551394598e-10
57344 42 1.10620551394598e-10
57856 42.375 1.10620551394598e-10
58368 42.75 1.10620551394598e-10
58880 43.125 1.10620551394598e-10
59392 43.5 1.10620551394598e-10
59904 43.875 1.10620551394598e-10
60416 44.25 1.10620551394598e-10
60928 44.625 1.10620551394598e-10
61440 45 1.10620551394598e-10
