# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.58982326967077e-05
512 0.375 2.82848772301421e-05
1024 0.75 3.19382250577102e-05
1536 1.125 3.48837961701778e-05
2048 1.5 3.74036075015889e-05
2560 1.875 3.95497112900673e-05
3072 2.25 4.0987709767745e-05
3584 2.625 4.16750558197184e-05
4096 3 4.18933060265632e-05
4608 3.375 4.19437236211375e-05
5120 3.75 4.20298849542544e-05
5632 4.125 4.22838273294935e-05
6144 4.5 4.27013216618882e-05
6656 4.875 4.31937426369655e-05
7168 5.25 4.36775864677223e-05
7680 5.625 4.4087730818446e-05
8192 6 4.4351617547435e-05
8704 6.375 4.44532727779115e-05
9216 6.75 4.44974848034768e-05
9728 7.125 4.46188919369343e-05
10240 7.5 4.48689868987662e-05
10752 7.875 4.52290128566023e-05
11264 8.25 4.56511485071987e-05
11776 8.625 4.60880929141929e-05
12288 9 4.64973248710678e-05
12800 9.375 4.68695777839837e-05
13312 9.75 4.7217123146515e-05
13824 10.125 4.75582499059501e-05
14336 10.5 4.79434568731419e-05
14848 10.875 4.84245770542269e-05
15360 11.25 4.89865499502825e-05
15872 11.625 4.95575141201334e-05
16384 12 5.00877743554613e-05
16896 12.375 5.05935461439382e-05
17408 12.75 5.10982826622795e-05
17920 13.125 5.16102155294234e-05
18432 13.5 5.21499846769053e-05
18944 13.875 5.27400559583097e-05
19456 14.25 5.33641028823574e-05
19968 14.625 5.39863269971224e-05
20480 15 5.45991280482315e-05
20992 15.375 5.52164424904158e-05
21504 15.75 5.58480110643842e-05
22016 16.125 5.64830329335426e-05
22528 16.5 5.71065926625144e-05
23040 16.875 5.77226883651315e-05
23552 17.25 5.83646240413815e-05
24064 17.625 5.9068844172818e-05
24576 18 5.98485717138679e-05
25088 18.375 6.06653425897697e-05
25600 18.75 6.14653924659207e-05
26112 19.125 6.22458433154548e-05
26624 19.5 6.30535026567965e-05
27136 19.875 6.39025580677309e-05
27648 20.25 6.47633664347402e-05
28160 20.625 6.56264644314544e-05
28672 21 6.65065347003604e-05
29184 21.375 6.74089451256082e-05
29696 21.75 6.83307019788559e-05
30208 22.125 6.92781909318632e-05
30720 22.5 7.02445453992869e-05
31232 22.875 7.12121974336095e-05
31744 23.25 7.21892121318111e-05
32256 23.625 7.32059575171294e-05
32768 24 7.42574372173083e-05
33280 24.375 7.5295506724209e-05
33792 24.75 7.62946432455955e-05
34304 25.125 7.72760002002791e-05
34816 25.5 7.8260536362847e-05
35328 25.875 7.92503652340018e-05
35840 26.25 8.02638131440044e-05
36352 26.625 8.13246471197395e-05
36864 27 8.24118204264112e-05
37376 27.375 8.34593789851029e-05
37888 27.75 8.44403205827714e-05
38400 28.125 8.54000371478103e-05
38912 28.5 8.63924688304316e-05
39424 28.875 8.74154930608114e-05
39936 29.25 8.84445694752212e-05
40448 29.625 8.9466398950198e-05
40960 30 9.04680252270298e-05
41472 30.375 9.14542033461963e-05
41984 30.75 9.24619984306193e-05
42496 31.125 9.35188620158094e-05
43008 31.5 9.45913147858904e-05
43520 31.875 9.56237333144955e-05
44032 32.25 9.66154504227167e-05
44544 32.625 9.76072621609719e-05
45056 33 9.86277097553882e-05
45568 33.375 9.9681466728355e-05
46080 33.75 0.00010077052421302
46592 34.125 0.000101881854025887
47104 34.5 0.000102981074574759
47616 34.875 0.000104042309906268
48128 35.25 0.000105068132856275
48640 35.625 0.000106085453775582
49152 36 0.000107120214066999
49664 36.375 0.000108186678653312
50176 36.75 0.000109277581655542
50688 37.125 0.000110367913123206
51200 37.5 0.000111443130416672
51712 37.875 0.000112517801180961
52224 38.25 0.000113609177791099
52736 38.625 0.000114712872402315
53248 39 0.00011581486065677
53760 39.375 0.000116917728481521
54272 39.75 0.000118032819251939
54784 40.125 0.000119163790744204
55296 40.5 0.000120309621853071
55808 40.875 0.00012146890423223
56320 41.25 0.000122630607736097
56832 41.625 0.000123771733222208
57344 42 0.000124885211630892
57856 42.375 0.000125995420019825
58368 42.75 0.000127134112011065
58880 43.125 0.000128316839834564
59392 43.5 0.000129539640543488
59904 43.875 0.000130778237882319
60416 44.25 0.000132000429740683
60928 44.625 0.000133191130407492
61440 45 0.000134371487058266
61952 45.375 0.000135568625481357
62464 45.75 0.000136781970543339
62976 46.125 0.000137997726881703
63488 46.5 0.000139211815619836
64000 46.875 0.000140435905974371
64512 47.25 0.000141681446239577
65024 47.625 0.000142949354776168
65536 48 0.000144232198587785
66048 48.375 0.000145518084426786
66560 48.75 0.000146799017453704
67072 49.125 0.000148073926624536
67584 49.5 0.000149342409214245
68096 49.875 0.000150599860414452
68608 50.25 0.000151843486705571
69120 50.625 0.000153094697428529
69632 51 0.000154383068211873
70144 51.375 0.000155709314876352
70656 51.75 0.000157032931149613
71168 52.125 0.000158320618456429
71680 52.5 0.000159586012932682
72192 52.875 0.000160866858786989
72704 53.25 0.000162178918743149
73216 53.625 0.000163505585446052
73728 54 0.000164819001095745
74240 54.375 0.000166112074176671
74752 54.75 0.000167409061789694
75264 55.125 0.00016874012557201
75776 55.5 0.000170106431322956
76288 55.875 0.00017147769271282
76800 56.25 0.000172824356470457
77312 56.625 0.0001741456914816
77824 57 0.000175464769034277
78336 57.375 0.000176795907091896
78848 57.75 0.000178128481990735
79360 58.125 0.000179444623264718
79872 58.5 0.000180746515324671
80384 58.875 0.000182049675395198
80896 59.25 0.000183356464687063
81408 59.625 0.0001846449098572
81920 60 0.000185900594789023
82432 60.375 0.000187125741215559
82944 60.75 0.000188336858059471
83456 61.125 0.000189549212840318
83968 61.5 0.000190768839953926
84480 61.875 0.000191988236868818
84992 62.25 0.000193203782461682
85504 62.625 0.000194422322897779
86016 63 0.000195644887364562
86528 63.375 0.000196858519144614
87040 63.75 0.000198050144327163
87552 64.125 0.000199228165463799
88064 64.5 0.000200408990890746
88576 64.875 0.000201594116157633
89088 65.25 0.000202763671921065
89600 65.625 0.000203904887708545
90112 66 0.000205026737035937
90624 66.375 0.000206152521443181
91136 66.75 0.000207314856581005
91648 67.125 0.000208528592315675
92160 67.5 0.00020977371950669
92672 67.875 0.000211033743562336
93184 68.25 0.000212320130660858
93696 68.625 0.000213655940880076
94208 69 0.000215048866772122
94720 69.375 0.000216486475773589
95232 69.75 0.000217953924811926
95744 70.125 0.000219446774405804
96256 70.5 0.000220963527277043
96768 70.875 0.000222495280181178
97280 71.25 0.000224032857156153
97792 71.625 0.000225580236964832
98304 72 0.000227151010927014
98816 72.375 0.000228750570989087
99328 72.75 0.000230370408889742
99840 73.125 0.000232002360116413
100352 73.5 0.000233643274729474
100864 73.875 0.00023528892144087
101376 74.25 0.000236927492543456
101888 74.625 0.000238556072656462
102400 75 0.000240169706682505
102912 75.375 0.000241758590859414
103424 75.75 0.000243311036923158
103936 76.125 0.000244837017234883
104448 76.5 0.000246360094903085
104960 76.875 0.0002478858989095
105472 77.25 0.000249400807584307
105984 77.625 0.000250894866774236
106496 78 0.000252369129302315
107008 78.375 0.00025382542314221
107520 78.75 0.000255265703515597
108032 79.125 0.000256696068110945
108544 79.5 0.000258119144532579
109056 79.875 0.000259527997790936
109568 80.25 0.000260913353324545
110080 80.625 0.000262271043023083
110592 81 0.000263597481822475
111104 81.375 0.000264891384606106
111616 81.75 0.000266159287588877
112128 82.125 0.000267404173363098
112640 82.5 0.000268616587812984
113152 82.875 0.000269789404634205
113664 83.25 0.000270922616029167
114176 83.625 0.000272023920849104
114688 84 0.000273107079000966
115200 84.375 0.000274170942770892
115712 84.75 0.000275204579526918
116224 85.125 0.00027621176323507
116736 85.5 0.000277213582000547
117248 85.875 0.000278224141506043
117760 86.25 0.000279240523427329
118272 86.625 0.000280251420445856
118784 87 0.000281252307109431
119296 87.375 0.000282250761108972
119808 87.75 0.000283251086853619
120320 88.125 0.00028423805265848
120832 88.5 0.000285212479742011
121344 88.875 0.000286173876900563
121856 89.25 0.00028713013950431
122368 89.625 0.000288090819856534
122880 90 0.000289052999242874
123392 90.375 0.000290005566596945
123904 90.75 0.000290938460962175
124416 91.125 0.000291845899418525
124928 91.5 0.000292729406011241
125440 91.875 0.000293597764135379
125952 92.25 0.000294457773089026
126464 92.625 0.000295298081054927
126976 93 0.000296109935699142
127488 93.375 0.000296895279112671
128000 93.75 0.000297661536800733
128512 94.125 0.000298407317208701
129024 94.5 0.000299125350043302
129536 94.875 0.000299813860536736
130048 95.25 0.000300475990762969
130560 95.625 0.00030111751437889
131072 96 0.000301739408830532
131584 96.375 0.000302339073212829
132096 96.75 0.00030291341652971
132608 97.125 0.000303465108528285
133120 97.5 0.000303994555812071
133632 97.875 0.000304503011408177
134144 98.25 0.000304993919476873
134656 98.625 0.000305468857762089
135168 99 0.000305921409985483
135680 99.375 0.000306364534206195
136192 99.75 0.000306803554806425
136704 100.125 0.000307234154850828
137216 100.5 0.000307650826644391
137728 100.875 0.00030804818679171
138240 101.25 0.000308425418054155
138752 101.625 0.000308781675775675
139264 102 0.00030912704612233
139776 102.375 0.000309458865626575
140288 102.75 0.000309784291568854
140800 103.125 0.000310111862644514
141312 103.5 0.000310433311034961
141824 103.875 0.00031073505044675
142336 104.25 0.000311007419956665
142848 104.625 0.000311256654023318
143360 105 0.000311498675204787
143872 105.375 0.0003117417495923
144384 105.75 0.000311984749487248
144896 106.125 0.000312227818537418
145408 106.5 0.000312471198625741
145920 106.875 0.000312705465448494
146432 107.25 0.000312922758866919
146944 107.625 0.000313125729821389
147456 108 0.000313326140682262
147968 108.375 0.000313541144336079
148480 108.75 0.000313775721334921
148992 109.125 0.000314021589205219
149504 109.5 0.000314265258446345
150016 109.875 0.000314501830632898
150528 110.25 0.000314741019772011
151040 110.625 0.00031499601406568
151552 111 0.000315265017805528
152064 111.375 0.000315532110228299
152576 111.75 0.000315784435940855
153088 112.125 0.000316024948939818
153600 112.5 0.000316267025971227
154112 112.875 0.000316518648990658
154624 113.25 0.000316773298128327
155136 113.625 0.000317019481743232
155648 114 0.000317251413522279
156160 114.375 0.000317470091472007
156672 114.75 0.000317680052364425
157184 115.125 0.000317885440568147
157696 115.5 0.000318090226145405
