# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
70144 51.375 -0.312931351955762 -0.315282253861867 -0.312218810859598
70656 51.75 -0.313377969442432 -0.313909348220351 -0.312633688057721
71168 52.125 -0.313742786882734 -0.312161385623119 -0.312976194226
71680 52.5 -0.314035044379045 -0.310044072905045 -0.313359445810432
72192 52.875 -0.314256679200997 -0.307579449308641 -0.313396766007006
72704 53.25 -0.315418356592483 -0.30479207668221 -0.311095259421889
73216 53.625 -0.314871945391912 -0.301721803180428 -0.308381027065234
73728 54 -0.312292771823799 -0.298372205518021 -0.305302490729796
74240 54.375 -0.309275026846265 -0.294758023210403 -0.301907943526133
74752 54.75 -0.305832929443183 -0.290908883076717 -0.298181195294473
75264 55.125 -0.302013824010604 -0.28685372033904 -0.294141753038431
75776 55.5 -0.297925473793474 -0.282626154427418 -0.289819670713609
76288 55.875 -0.293564144064738 -0.278260393972737 -0.285263967341194
76800 56.25 -0.288958513921957 -0.273784597440791 -0.280536582927155
77312 56.625 -0.284162085538643 -0.269226990537203 -0.275849239612427
77824 57 -0.279226983281485 -0.264639344176453 -0.271150125731813
78336 57.375 -0.274185577344355 -0.259997762315736 -0.26633988274802
78848 57.75 -0.269073874526669 -0.259680529829258 -0.261403719444529
79360 58.125 -0.263960857246814 -0.260535861481289 -0.262317850224427
79872 58.5 -0.262204027448985 -0.261367710366516 -0.263086319502471
80384 58.875 -0.263106606281814 -0.262135872139433 -0.263583700517532
80896 59.25 -0.26357974962717 -0.262766891454973 -0.263833890705623
81408 59.625 -0.264062151950236 -0.263259448587964 -0.263925729668857
81920 60 -0.264449220008121 -0.264350735264931 -0.265077972030467
82432 60.375 -0.264924801855205 -0.265415797386409 -0.26612240396499
82944 60.75 -0.265905751240971 -0.266370682404489 -0.267055769962359
83456 61.125 -0.266778814141737 -0.267217956882766 -0.26788068847164
83968 61.5 -0.267545879174081 -0.267962519251811 -0.268600219963338
84480 61.875 -0.268228793414368 -0.268628618079049 -0.269237298522403
84992 62.25 -0.268843460885662 -0.269230702593566 -0.26980596664126
85504 62.625 -0.269397076458035 -0.269776492298829 -0.27030981855387
86016 63 -0.269894134989249 -0.270270461280092 -0.270752602837823
86528 63.375 -0.270337136475153 -0.270713314227492 -0.271135271714086
87040 63.75 -0.27069559509398 -0.271060298597636 -0.27143096302238
87552 64.125 -0.270896256941245 -0.271249559047543 -0.271567810162316
88064 64.5 -0.270947489254549 -0.271292060255216 -0.271555548376101
88576 64.875 -0.270842572549564 -0.271174666488293 -0.271389578910717
