# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
10752 10.5 219.741369095359 154.280049473799 179.909809112549 172.020408153534 174.082851886749 0 5.82878017425537 63 29216.8124349189 29216.8124349189 5025888 5025888 14344.716574545 14344.716574545 2467584 2467584 316.116959267235 457083.671080927 7509.7513683903 449573.919712537 1846 2663615 43967 2619648 0 0 0 0 179.641226768494 1735404843.53534 13685
11264 11 225.549434413615 155.678304495479 183.460668087006 175.571267127991 177.512501478195 0 6.00635075569153 66 29989.0527996342 29989.0527996342 5265216 5265216 14723.8670785208 14723.8670785208 2585088 2585088 320.098632943434 448892.604327032 7608.39481748322 441284.209509548 1944 2678929 45457 2633472 0 0 0 0 183.185700654984 1735404847.08619 14324
11776 11.5 230.763549100574 157.239692869828 187.293817996979 179.404417037964 181.269620656967 0 6.0261013507843 69 30682.3214884123 30682.3214884123 5504544 5504544 15064.2444852855 15064.2444852855 2702592 2702592 326.350530873581 444901.594142472 7752.56807903808 437149.026063434 1970 2680383 46911 2633472 0 0 0 0 187.014055013657 1735404850.91934 14963
12288 12 233.648894726352 159.427177158761 192.782207965851 184.892807006836 186.586150169373 0 6.31838655471802 72 31065.9570428158 31065.9570428158 5743872 5743872 15252.5998477363 15252.5998477363 2820096 2820096 334.083391084013 451210.284318045 7779.94679575114 443430.337522294 2152 3106965 48405 3058560 0 0 0 0 192.474719524384 1735404856.40773 15602
12800 12.5 238.366160719455 161.011853948981 196.674587011337 188.785186052322 190.348544120789 0 6.32795286178589 75 31693.1647292587 31693.1647292587 5983200 5983200 15560.542971766 15560.542971766 2937600 2937600 343.658751231045 491336.219778681 7849.14058584467 483487.079192836 2178 3108423 49863 3058560 0 0 0 0 196.355443716049 1735404860.30011 16241
13312 13 243.230971622032 162.529192647845 200.299108028412 192.409707069397 193.86329126358 0 6.49884986877441 78 32339.9899868654 32339.9899868654 6222528 6222528 15878.1178274863 15878.1178274863 3055104 3055104 347.430649706903 483994.357487201 7948.48608486432 476045.871402337 2276 3123740 51356 3072384 0 0 0 0 199.981704235077 1735404863.92463 16880
13824 13.5 244.487927638246 165.075705937426 206.672222137451 198.782821178436 200.1609852314 0 6.5131516456604 81 32507.1148587812 32507.1148587812 6461856 6461856 15960.1719162247 15960.1719162247 3172608 3172608 352.928334993341 479937.229299028 8078.49580025446 471858.733498774 2302 3125191 52807 3072384 0 0 0 0 206.330756664276 1735404870.29775 17519
14336 14 248.924183013897 166.574282238079 210.360689163208 202.471288204193 203.656420230865 0 6.81360054016113 84 33096.9593735277 33096.9593735277 6701184 6701184 16249.7706671472 16249.7706671472 3290112 3290112 358.279183642581 483352.179440053 8068.14293189461 475284.036508159 2484 3551761 54289 3497472 0 0 0 0 210.025300502777 1735404873.98622 18158
14848 14.5 253.390269381138 168.030720180805 213.895733118057 206.006332159042 207.066426515579 0 6.83115172386169 87 33690.7702169161 33690.7702169161 6940512 6940512 16541.3167852007 16541.3167852007 3407616 3407616 366.947941551005 520258.235105565 8131.27938638023 512126.955719185 2510 3553209 55737 3497472 0 0 0 0 213.539624452591 1735404877.52126 18797
15360 15 257.382362250668 169.618376914798 217.693987131119 209.804586172104 210.748973608017 0 7.01675820350647 90 34221.5588848489 34221.5588848489 7179840 7179840 16801.9206077236 16801.9206077236 3525120 3525120 369.761699017264 512552.637681569 8211.50308927397 504341.134592295 2608 3568523 57227 3511296 0 0 0 0 217.344730615616 1735404881.31951 19436
15872 15.5 239.847302345527 176.517236884684 240.537420988083 232.648020029068 233.489466905594 0 7.05386328697205 93 31890.0973198612 31890.0973198612 7419168 7419168 15657.231897116 15657.231897116 3642624 3642624 373.15793622072 506497.056907516 8296.30830672926 498200.748600787 2634 3569973 58677 3511296 0 0 0 0 240.183376550674 1735404904.16295 20075
16384 16 243.37599100096 177.63503126724 244.560240030289 236.670839071274 237.336124420166 0 7.32138991355896 96 32359.2717634876 32359.2717634876 7658496 7658496 15887.5846925427 15887.5846925427 3760128 3760128 378.454629957614 510139.676452024 8300.53161330591 501839.144838718 2816 3996545 60161 3936384 0 0 0 0 244.051973342896 1735404908.18577 20714
