# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00054978907919
1024 1 1.00044241641079
1536 1.5 1.00034925182213
2048 2 1.00026981328975
2560 2.5 1.0004146083269
3072 3 1.00059161310496
3584 3.5 1.00079587905552
4096 4 1.00102484174882
4608 4.5 1.00127558950646
5120 5 1.00154479503499
5632 5.5 1.00182895333355
6144 6 1.00212466167659
6656 6.5 1.00242863988293
7168 7 1.00273772282614
7680 7.5 1.00307856947056
8192 8 1.00343542366137
8704 8.5 1.00379708629833
9216 9 1.00423396775492
9728 9.5 1.00471749230976
10240 10 1.00521594522581
10752 10.5 1.00572728337208
11264 11 1.00624938723071
11776 11.5 1.0067798561099
12288 12 1.00731600885929
12800 12.5 1.00789773521563
13312 13 1.00854378439954
13824 13.5 1.00920270750825
14336 14 1.00987160413877
14848 14.5 1.01054712062204
15360 15 1.01122532034057
15872 15.5 1.01190119962046
16384 16 1.01256851861136
16896 16.5 1.01332617045261
17408 17 1.01407334260449
17920 17.5 1.01480526688539
18432 18 1.01552080718923
18944 18.5 1.01621945865214
19456 19 1.01690073707048
19968 19.5 1.0175641419685
20480 20 1.01820982043341
20992 20.5 1.01883521673934
21504 21 1.01943626346264
22016 21.5 1.02001142080338
22528 22 1.02055570675912
23040 22.5 1.02105188848639
23552 23 1.02149065288539
24064 23.5 1.02186471322242
24576 24 1.02283860173106
25088 24.5 1.02390964987355
25600 25 1.02497619690719
26112 25.5 1.02603308536012
26624 26 1.02708634194665
27136 26.5 1.02826581460292
27648 27 1.02940821123113
28160 27.5 1.03051340151792
28672 28 1.03158118881789
29184 28.5 1.03260920682871
29696 29 1.0335945369095
30208 29.5 1.03454831204986
30720 30 1.0354655569552
31232 30.5 1.03633797631737
31744 31 1.03715606832983
32256 31.5 1.03788205673744
32768 32 1.03849282991909
33280 32.5 1.03901690540875
33792 33 1.03941573799044
34304 33.5 1.04001148562084
34816 34 1.0413784545051
35328 34.5 1.04272674300395
35840 35 1.04405002726251
36352 35.5 1.04534008116967
36864 36 1.04658596180601
37376 36.5 1.04777409145156
37888 37 1.04889034837243
38400 37.5 1.04991794381811
38912 38 1.05092733330786
39424 38.5 1.05217645206436
39936 39 1.05344170079272
40448 39.5 1.05478792344933
40960 40 1.0561272401658
41472 40.5 1.0574554979068
41984 41 1.05876699548401
42496 41.5 1.06005813052686
43008 42 1.06132664293262
43520 42.5 1.06256791848922
44032 43 1.06377321747211
44544 43.5 1.06493070532802
45056 44 1.06602760857302
45568 44.5 1.06704849395826
46080 45 1.06797541711139
46592 45.5 1.06878560936578
47104 46 1.06945226768951
47616 46.5 1.06995481316497
48128 47 1.07027711878744
48640 47.5 1.07040385625952
49152 48 1.07032271515374
49664 48.5 1.07002927284295
50176 49 1.06952448471764
50688 49.5 1.06881194901106
51200 50 1.06789812440373
51712 50.5 1.06679254942939
52224 51 1.065505993742
52736 51.5 1.06404796135291
53248 52 1.06269157896872
53760 52.5 1.06352159119114
