# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
35328 34.5 -1.11321915522334e-05 -1.11321915522265e-05 -1.11321915522287e-05
35840 35 -1.06479091712617e-05 -1.06479091713215e-05 -1.06479091713677e-05
36352 35.5 -1.03073350906143e-05 -1.03073350906525e-05 -1.03073350906183e-05
36864 36 -9.93382299849695e-06 -9.93382299845317e-06 -9.93382299839181e-06
37376 36.5 -9.55342056194274e-06 -9.5534205618765e-06 -9.5534205618209e-06
37888 37 -8.94425223903115e-06 -8.94425223894181e-06 -8.94425223891416e-06
38400 37.5 -8.26517793032176e-06 -8.265177930284e-06 -8.26517793025583e-06
38912 38 -7.55404294569457e-06 -7.55404294571497e-06 -7.55404294568284e-06
39424 38.5 -6.73299481068766e-06 -6.73299481070347e-06 -6.73299481068801e-06
39936 39 -5.81883397809995e-06 -5.81883397811168e-06 -5.81883397809659e-06
40448 39.5 -4.93316521474526e-06 -4.93316521478155e-06 -4.93316521474835e-06
40960 40 -4.13324243022669e-06 -4.13324243027115e-06 -4.13324243021307e-06
41472 40.5 -3.40356968612269e-06 -3.40356968615709e-06 -3.4035696860826e-06
41984 41 -3.90734436473736e-06 -3.90734436477943e-06 -3.90734436492743e-06
42496 41.5 -3.68083432595101e-06 -3.68083432539356e-06 -3.68083432597145e-06
43008 42 -4.0079113047468e-06 -4.0079113043175e-06 -4.00791130461701e-06
43520 42.5 -2.86247459818662e-06 -2.86247459805049e-06 -2.86247459802494e-06
44032 43 -2.05575850440675e-06 -2.05575850436243e-06 -2.05575850439888e-06
44544 43.5 -1.94603807088601e-06 -1.94603807081218e-06 -1.9460380707538e-06
45056 44 -1.90600174266909e-06 -1.90600174275225e-06 -1.90600174258227e-06
45568 44.5 -1.86761479004855e-06 -1.8676147900887e-06 -1.86761478996129e-06
46080 45 -1.8014189589376e-06 -1.8014189589034e-06 -1.80141895898484e-06
46592 45.5 -1.69865035770646e-06 -1.69865035786543e-06 -1.69865035772438e-06
47104 46 -1.67487277746602e-06 -1.67487277765536e-06 -1.67487277749459e-06
47616 46.5 -1.63802874022175e-06 -1.63802874034026e-06 -1.63802874020124e-06
48128 47 -1.60801958634543e-06 -1.608019586135e-06 -1.60801958579837e-06
48640 47.5 -1.58761263370143e-06 -1.58761263374404e-06 -1.58761263342863e-06
49152 48 -1.55251792951164e-06 -1.55251792948589e-06 -1.55251792951685e-06
49664 48.5 -1.51108713989289e-06 -1.51108713989165e-06 -1.51108713983493e-06
50176 49 -1.50073919447952e-06 -1.50073919440043e-06 -1.50073919438849e-06
50688 49.5 -1.48840439778611e-06 -1.48840439769731e-06 -1.48840439775352e-06
51200 50 -1.4741111922743e-06 -1.47411119238803e-06 -1.4741111924104e-06
51712 50.5 -1.4311040739957e-06 -1.43110407404957e-06 -1.43110407405858e-06
52224 51 -1.39096882339547e-06 -1.39096882331106e-06 -1.39096882335588e-06
52736 51.5 -1.35218923863823e-06 -1.35218923857452e-06 -1.352189238628e-06
53248 52 -1.34131814845076e-06 -1.34131814843737e-06 -1.34131814838586e-06
53760 52.5 -1.31158723724222e-06 -1.3115872372677e-06 -1.31158723717489e-06
54272 53 -1.28430505271133e-06 -1.28430505276078e-06 -1.28430505266147e-06
54784 53.5 -1.23819397397176e-06 -1.2381939740426e-06 -1.23819397395389e-06
55296 54 -1.18216289749012e-06 -1.18216289752146e-06 -1.18216289747435e-06
55808 54.5 -1.14458502856605e-06 -1.14458502860532e-06 -1.14458502858495e-06
56320 55 -1.12215093409662e-06 -1.12215093416717e-06 -1.1221509341273e-06
56832 55.5 -1.08489671931281e-06 -1.08489671934992e-06 -1.08489671929612e-06
57344 56 -1.03520131442431e-06 -1.0352013144223e-06 -1.03520131440388e-06
57856 56.5 -1.00741954518222e-06 -1.00741954515538e-06 -1.00741954523003e-06
58368 57 -9.92810180190251e-07 -9.92810180153471e-07 -9.92810180225044e-07
58880 57.5 -9.6156623544739e-07 -9.61566235380626e-07 -9.61566235472048e-07
59392 58 -9.20603857358469e-07 -9.20603857268047e-07 -9.20603857381206e-07
59904 58.5 -8.98207864411505e-07 -8.98207864353158e-07 -8.98207864460196e-07
60416 59 -8.66100496077878e-07 -8.66100496068374e-07 -8.66100496157437e-07
60928 59.5 -7.71982459363466e-07 -7.71982459371757e-07 -7.71982459447877e-07
61440 60 -6.20869666862552e-07 -6.20869666878986e-07 -6.20869666919237e-07
61952 60.5 -4.46587068606888e-07 -4.46587068612048e-07 -4.46587068635496e-07
62464 61 -2.44740973845956e-07 -2.44740973831995e-07 -2.44740973879427e-07
62976 61.5 -1.09153118168661e-08 -1.09153117928417e-08 -1.09153118397849e-08
63488 62 -2.35988552512094e-19 -2.7179588227647e-19 -1.65304177354178e-23
64000 62.5 -2.62089373270877e-19 -3.87771578735509e-19 -2.2695150698816e-23
64512 63 -2.77887967224522e-19 -4.10112511922639e-19 -1.57004808128347e-23
65024 63.5 -3.36153405004935e-19 -3.33523711676272e-19 -2.01764379995793e-23
65536 64 -3.31138868860316e-19 -2.7611310035404e-19 -1.1214649478433e-23
66048 64.5 -3.58814588247573e-19 -2.51142644849115e-19 -3.1135217600794e-23
66560 65 -2.59249252686781e-19 -3.02259654158307e-19 -3.48588393340858e-23
67072 65.5 -3.77162536358748e-19 -2.23949421170971e-19 -1.83103203764794e-23
67584 66 -2.82072924776599e-19 -3.16830645127045e-19 -2.68647038358328e-23
68096 66.5 -2.8750275353597e-19 -3.72441240224717e-19 -2.18025978008124e-23
68608 67 -3.94127279351511e-19 -2.05926915358148e-19 -2.65754886193222e-23
69120 67.5 -5.48071818140684e-19 -1.30060546342696e-19 -3.10320286208085e-23
69632 68 -4.10892695853674e-19 -1.41655219954771e-19 -3.68948211615544e-23
70144 68.5 -2.48661984037279e-19 -1.70619432106234e-19 -1.46932158742407e-23
