# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 12:06:04+0100
# parameter filename: "./TOV_K_105_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
# Run ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.00267713862801641 -0.00267713862801641 -0.00267713862801641
1024 0.5 -0.00531783035743287 -0.00531783035743287 -0.00531783035743287
1536 0.75 -0.00789986018364439 -0.00789986018364439 -0.00789986018364439
2048 1 -0.0104066464346987 -0.0104066464346987 -0.0104066464346987
2560 1.25 -0.0128606319939524 -0.0128606319939524 -0.0128606319939523
3072 1.5 -0.0153496382874764 -0.0153496382874764 -0.0153496382874763
3584 1.75 -0.0178955331240922 -0.0178955331240922 -0.0178955331240921
4096 2 -0.020465971751835 -0.020465971751835 -0.020465971751835
4608 2.25 -0.0230207944811918 -0.0230207944811918 -0.0230207944811918
5120 2.5 -0.0255572695519913 -0.0255572695523998 -0.0255572695520349
5632 2.75 -0.0280719846368483 -0.0280719847747268 -0.0280719846372389
6144 3 -0.0305618719578521 -0.030561873180568 -0.0305618719591031
6656 3.25 -0.0330233798518614 -0.0330233824341536 -0.0330233798540553
7168 3.5 -0.0354524195333624 -0.0354524233857117 -0.0354524195364285
7680 3.75 -0.0378451147587258 -0.0378451197902047 -0.0378451147625895
8192 4 -0.0401960460510181 -0.0401960521709643 -0.0401960460556159
8704 4.25 -0.0425021268453987 -0.042502133929418 -0.0425021268506503
9216 4.5 -0.0447610900161227 -0.0447610979027402 -0.0447610900219514
9728 4.75 -0.0469702790911613 -0.0469702875594159 -0.0469702790974851
10240 5 -0.0491276157692248 -0.049127624565922 -0.0491276157759463
10752 5.25 -0.0512318086701683 -0.0512318175153501 -0.0512318086771899
11264 5.5 -0.0533338417972338 -0.0533338490469211 -0.0533338417972608
11776 5.75 -0.0554320974627184 -0.0554321078533098 -0.0554320974627785
12288 6 -0.0574798337655756 -0.0574798483855591 -0.0574798337656868
12800 6.25 -0.0594777608014598 -0.0594777807953251 -0.0594777608015919
13312 6.5 -0.0614602286903336 -0.0614602286082448 -0.0614602286904663
13824 6.75 -0.0636596076468469 -0.0636596075448883 -0.0636596076469371
14336 7 -0.0658147465150221 -0.0658147463904398 -0.0658147465150407
14848 7.25 -0.0679246453334932 -0.0679246451833823 -0.0679246453334945
15360 7.5 -0.0699887060744565 -0.0699887058957371 -0.0699887060745188
15872 7.75 -0.0720068196806667 -0.0720068194698872 -0.0720068196806686
16384 8 -0.0739792861076545 -0.0739792858609382 -0.0739792861072541
16896 8.25 -0.0759064649379789 -0.0759064646517088 -0.0759064649371038
17408 8.5 -0.0777886047819899 -0.0777886044567593 -0.0777886047811188
17920 8.75 -0.0797237125502918 -0.079723713520637 -0.0797237125493185
18432 9 -0.0816510049888277 -0.0816510061557014 -0.0816510049885827
