# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 12:06:04+0100
# parameter filename: "./TOV_K_105_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
# Run ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000172031997970355
512 0.25 0.000171832988226475
1024 0.5 0.000171622530752434
1536 0.75 0.000171414812047649
2048 1 0.000171214360114563
2560 1.25 0.000171020810323408
3072 1.5 0.00017083806990193
3584 1.75 0.00017066863482518
4096 2 0.000170513686622486
4608 2.25 0.000170368541053373
5120 2.5 0.000170231029015698
5632 2.75 0.000170100786449904
6144 3 0.000169977459284087
6656 3.25 0.000169860648912226
7168 3.5 0.000169750047250054
7680 3.75 0.000169650042918627
8192 4 0.000169561750111003
8704 4.25 0.000169484151730074
9216 4.5 0.000169415966424657
9728 4.75 0.000169355671499118
10240 5 0.000169301510461994
10752 5.25 0.000169251555775276
11264 5.5 0.000169203788210711
11776 5.75 0.000169156196055773
12288 6 0.000169106871267244
12800 6.25 0.000169054048668413
13312 6.5 0.000168996093001196
13824 6.75 0.000168931483934813
14336 7 0.000168858831043965
14848 7.25 0.000168776922993859
15360 7.5 0.00016868477434415
15872 7.75 0.000168581659006424
16384 8 0.000168467239431434
16896 8.25 0.000168341763236229
17408 8.5 0.000168205486477866
17920 8.75 0.000168060383110536
18432 9 0.000167910951516956
18944 9.25 0.000167757441697329
19456 9.5 0.000167599995583722
19968 9.75 0.000167438652673563
20480 10 0.000167273171985998
20992 10.25 0.00016710301175064
21504 10.5 0.000166927578628531
22016 10.75 0.000166746580029435
22528 11 0.000166560154111425
23040 11.25 0.00016636864910892
23552 11.5 0.000166172292134627
24064 11.75 0.000165971077104867
24576 12 0.000165764900547434
25088 12.25 0.000165553711543064
25600 12.5 0.000165337598470283
26112 12.75 0.000165116779112038
26624 13 0.000164891582014047
27136 13.25 0.000164662395063758
27648 13.5 0.000164429462942606
28160 13.75 0.000164192780333498
28672 14 0.000163952246875404
29184 14.25 0.000163707654536522
29696 14.5 0.000163457674553979
30208 14.75 0.000163202042511018
30720 15 0.00016294094123636
31232 15.25 0.000162674716891922
31744 15.5 0.000162403792357562
32256 15.75 0.000162128426717167
32768 16 0.000161848639705412
33280 16.25 0.000161564392087287
33792 16.5 0.000161275719302612
34304 16.75 0.000160982654833526
34816 17 0.000160685198392655
35328 17.25 0.000160383302736647
35840 17.5 0.000160076978348303
36352 17.75 0.000159766212187684
36864 18 0.000159450925398871
37376 18.25 0.000159131100769206
37888 18.5 0.000158806900681467
38400 18.75 0.000158478636662898
38912 19 0.000158146696409978
39424 19.25 0.000157811522380197
39936 19.5 0.000157473554853838
40448 19.75 0.000157133115726811
40960 20 0.000156790406541132
41472 20.25 0.0001564456962337
41984 20.5 0.000156099480899701
42496 20.75 0.000155752395680707
43008 21 0.000155404969990035
43520 21.25 0.000155057489052361
44032 21.5 0.000154710073513088
44544 21.75 0.000154362872204076
45056 22 0.000154016193750973
45568 22.25 0.000153670463573535
46080 22.5 0.000153326034772522
46592 22.75 0.00015298302563933
47104 23 0.000152641336268492
47616 23.25 0.000152300797167041
48128 23.5 0.000151961276613459
48640 23.75 0.000151622674856097
49152 24 0.000151284873615971
49664 24.25 0.000150947699267667
50176 24.5 0.000150610903108736
50688 24.75 0.000150274190362875
51200 25 0.000149937330177357
51712 25.25 0.000149600264412682
52224 25.5 0.000149263075033781
52736 25.75 0.000148925810801759
53248 26 0.000148588345194665
53760 26.25 0.000148250408740731
54272 26.5 0.000147911756107087
54784 26.75 0.000147572306210169
55296 27 0.000147232133011515
55808 27.25 0.000146891332578683
56320 27.5 0.000146549926869029
56832 27.75 0.000146207941356445
57344 28 0.000145865585100935
57856 28.25 0.00014552329694672
58368 28.5 0.000145181553811945
58880 28.75 0.000144840639539531
59392 29 0.000144500638322694
59904 29.25 0.000144161637762576
60416 29.5 0.000143823881067072
60928 29.75 0.000143487708092351
61440 30 0.000143153394504042
61952 30.25 0.00014282108180129
62464 30.5 0.000142490858973905
62976 30.75 0.000142162826813787
63488 31 0.000141837121798039
64000 31.25 0.000141513863547039
64512 31.5 0.000141193069996648
65024 31.75 0.000140874572849282
65536 32 0.000140558036058471
66048 32.25 0.000140243100499125
66560 32.5 0.000139929520635837
67072 32.75 0.000139617146367412
67584 33 0.000139305776921476
68096 33.25 0.000138995060543022
68608 33.5 0.000138684551963149
69120 33.75 0.000138373850877232
69632 34 0.000138062662059116
70144 34.25 0.000137750719059076
70656 34.5 0.000137437668256296
71168 34.75 0.000137123060025932
71680 35 0.000136806492478541
72192 35.25 0.000136487776777773
72704 35.5 0.000136166933990873
73216 35.75 0.000135843994233737
73728 36 0.000135518805389242
74240 36.25 0.000135191070942986
74752 36.5 0.000134860574535381
75264 36.75 0.000134527338068315
75776 37 0.000134191508528452
76288 37.25 0.000133853189448603
76800 37.5 0.000133512456401993
77312 37.75 0.0001331694862056
77824 38 0.00013282458554315
78336 38.25 0.000132478123086274
78848 38.5 0.000132130409580377
79360 38.75 0.000131781659146483
79872 39 0.000131432045829807
80384 39.25 0.00013108177511837
80896 39.5 0.000130731114860708
81408 39.75 0.000130380385412962
81920 40 0.000130029911062476
82432 40.25 0.000129679946416698
82944 40.5 0.000129330634133912
83456 40.75 0.000128982049638037
83968 41 0.000128634297177179
84480 41.25 0.000128287545629343
84992 41.5 0.000127941965071602
85504 41.75 0.000127597670264285
86016 42 0.000127254770953929
86528 42.25 0.000126913451700411
87040 42.5 0.000126573930047223
87552 42.75 0.000126236322052128
88064 43 0.000125900614971393
88576 43.25 0.000125566818384194
89088 43.5 0.000125235110061101
89600 43.75 0.000124905796064603
90112 44 0.000124579150054549
90624 44.25 0.000124255319494595
91136 44.5 0.000123934365030972
91648 44.75 0.000123616364973922
92160 45 0.000123301501056504
92672 45.25 0.000122990055189539
93184 45.5 0.000122682289925418
93696 45.75 0.000122378325622583
94208 46 0.000122078195807083
94720 46.25 0.000121782051981173
95232 46.5 0.000121490238494643
95744 46.75 0.000121203095194631
96256 47 0.000120920732183282
96768 47.25 0.000120643085085462
97280 47.5 0.000120370172268201
97792 47.75 0.000120102201012052
98304 48 0.000119839401576739
98816 48.25 0.000119581840737332
99328 48.5 0.000119329451366033
99840 48.75 0.000119082191831211
100352 49 0.000118840114080953
100864 49.25 0.000118603322117728
101376 49.5 0.000118371868137781
101888 49.75 0.000118145746982994
102400 50 0.00011792492455526
102912 50.25 0.000117709283973342
103424 50.5 0.000117498603097341
103936 50.75 0.000117292651355196
104448 51 0.000117091324728346
104960 51.25 0.000116894648842585
105472 51.5 0.000116702635279417
105984 51.75 0.00011651515755841
106496 52 0.000116331968713429
107008 52.25 0.000116152813041896
107520 52.5 0.000115977475962942
108032 52.75 0.000115805825520788
108544 53 0.000115637740867361
109056 53.25 0.000115473035213201
109568 53.5 0.000115311486043682
110080 53.75 0.000115152929760028
110592 54 0.000114997299726689
111104 54.25 0.000114844572831674
111616 54.5 0.000114694701795942
112128 54.75 0.000114547593554412
112640 55 0.000114403027163686
113152 55.25 0.00011426049052771
113664 55.5 0.000114119876840957
114176 55.75 0.000113981215044746
114688 56 0.00011384457508123
115200 56.25 0.0001137099627433
115712 56.5 0.000113577289325793
116224 56.75 0.000113446457209958
116736 57 0.00011331746727659
117248 57.25 0.000113190423176439
117760 57.5 0.000113065429170708
118272 57.75 0.000112942480985614
118784 58 0.0001128214569298
119296 58.25 0.000112702276327918
119808 58.5 0.000112585002364005
120320 58.75 0.000112469770814943
120832 59 0.000112356632001796
121344 59.25 0.00011224550498255
121856 59.5 0.000112136311517342
122368 59.75 0.000112029103130864
122880 60 0.000111924000889305
123392 60.25 0.000111821034119115
123904 60.5 0.000111720106389648
124416 60.75 0.000111621131517627
124928 61 0.000111524144877532
125440 61.25 0.000111429248472908
125952 61.5 0.000111336496601609
