# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
92672 90.5 9.99999999999999e-09
93184 91 9.99999999999999e-09
93696 91.5 9.99999999999999e-09
94208 92 9.99999999999999e-09
94720 92.5 9.99999999999999e-09
95232 93 9.99999999999999e-09
95744 93.5 9.99999999999999e-09
96256 94 9.99999999999999e-09
96768 94.5 9.99999999999999e-09
97280 95 9.99999999999999e-09
97792 95.5 9.99999999999999e-09
98304 96 9.99999999999999e-09
98816 96.5 9.99999999999999e-09
99328 97 9.99999999999999e-09
99840 97.5 9.99999999999999e-09
100352 98 9.99999999999999e-09
100864 98.5 9.99999999999999e-09
101376 99 9.99999999999999e-09
101888 99.5 9.99999999999999e-09
102400 100 9.99999999999999e-09
102912 100.5 9.99999999999999e-09
103424 101 9.99999999999999e-09
103936 101.5 9.99999999999999e-09
104448 102 9.99999999999999e-09
104960 102.5 9.99999999999999e-09
105472 103 9.99999999999999e-09
105984 103.5 9.99999999999999e-09
106496 104 9.99999999999999e-09
107008 104.5 9.99999999999999e-09
107520 105 9.99999999999999e-09
108032 105.5 9.99999999999999e-09
108544 106 9.99999999999999e-09
109056 106.5 9.99999999999999e-09
109568 107 9.99999999999999e-09
110080 107.5 9.99999999999999e-09
110592 108 9.99999999999999e-09
111104 108.5 9.99999999999999e-09
111616 109 9.99999999999999e-09
112128 109.5 9.99999999999999e-09
112640 110 9.99999999999999e-09
113152 110.5 9.99999999999999e-09
113664 111 9.99999999999999e-09
114176 111.5 9.99999999999999e-09
114688 112 9.99999999999999e-09
115200 112.5 9.99999999999999e-09
115712 113 9.99999999999999e-09
116224 113.5 9.99999999999999e-09
116736 114 9.99999999999999e-09
117248 114.5 9.99999999999999e-09
117760 115 9.99999999999999e-09
118272 115.5 9.99999999999999e-09
118784 116 9.99999999999999e-09
119296 116.5 9.99999999999999e-09
119808 117 9.99999999999999e-09
120320 117.5 9.99999999999999e-09
120832 118 9.99999999999999e-09
