# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163077304642261
1024 1 0.000162347608998983
1536 1.5 0.000161665281145682
2048 2 0.000161025807061429
2560 2.5 0.000160433508961493
3072 3 0.000159893969365577
3584 3.5 0.000159447423939449
4096 4 0.000159083699058608
4608 4.5 0.00015880424331057
5120 5 0.000158609470565303
5632 5.5 0.000158499035468683
6144 6 0.000158472119329555
6656 6.5 0.00015852768575234
7168 7 0.000158664682914734
7680 7.5 0.000158881714697965
8192 8 0.000159174716994936
8704 8.5 0.000159532475992684
9216 9 0.000159936833941651
9728 9.5 0.000160365908603322
10240 10 0.000160799400380027
10752 10.5 0.000161221844265215
11264 11 0.000161620114561132
11776 11.5 0.000161976206455962
12288 12 0.000162264148806329
12800 12.5 0.000162459082663885
13312 13 0.000162552976971583
13824 13.5 0.000162558397661301
14336 14 0.0001625097926526
14848 14.5 0.000162449836604898
15360 15 0.000162408605764823
15872 15.5 0.000162381976047171
16384 16 0.00016233409625865
16896 16.5 0.000162232695738128
17408 17 0.000162088673879304
17920 17.5 0.000161956063642311
18432 18 0.000161883599796728
18944 18.5 0.000161864384986727
19456 19 0.000161840253002679
19968 19.5 0.000161764453421459
20480 20 0.000161653966333393
20992 20.5 0.000161570825249634
21504 21 0.000161552420403516
22016 21.5 0.000161569779616494
22528 22 0.000161561364505425
23040 22.5 0.000161503078452138
23552 23 0.000161426260219449
24064 23.5 0.000161373756595323
24576 24 0.000161352045275733
25088 24.5 0.000161329664753209
25600 25 0.000161274026906165
26112 25.5 0.000161180363482402
26624 26 0.000161067285530576
27136 26.5 0.000160953515341822
27648 27 0.000160840795776957
28160 27.5 0.000160715714657788
28672 28 0.000160564588365902
29184 28.5 0.000160385587840692
29696 29 0.000160187540062114
30208 29.5 0.000159979781155681
30720 30 0.000159765509054835
31232 30.5 0.000159543506481161
31744 31 0.000159311956577956
32256 31.5 0.000159068716929205
32768 32 0.000158810799423943
33280 32.5 0.000158537184407968
33792 33 0.000158252156076918
34304 33.5 0.000157963417405268
34816 34 0.00015767558706905
35328 34.5 0.000157386194364352
35840 35 0.000157088864257849
36352 35.5 0.000156780225180803
36864 36 0.000156463344544474
37376 36.5 0.00015614476262526
37888 37 0.000155828888854933
38400 37.5 0.000155515578818056
38912 38 0.00015520241548488
39424 38.5 0.000154888574701387
39936 39 0.000154576560977486
40448 39.5 0.000154271075240758
40960 40 0.000153975718267161
41472 40.5 0.000153690882377874
41984 41 0.00015341437061686
42496 41.5 0.000153143978387225
43008 42 0.000152880158354214
43520 42.5 0.000152626420782768
44032 43 0.000152386637071856
44544 43.5 0.000152161381852649
45056 44 0.000151947058337819
45568 44.5 0.000151739283112526
46080 45 0.000151537475538135
46592 45.5 0.000151345822707452
47104 46 0.000151169288759875
47616 46.5 0.000151008518529272
48128 47 0.000150858751309847
48640 47.5 0.000150714019776489
49152 48 0.00015057240923597
49664 48.5 0.000150437821803574
50176 49 0.000150316194719143
50688 49.5 0.000150209242597765
51200 50 0.000150111809200704
51712 50.5 0.000150016057736151
52224 51 0.000149918976635812
52736 51.5 0.000149825658158226
53248 52 0.000149744325357081
53760 52.5 0.000149677350503926
54272 53 0.000149617349804704
54784 53.5 0.000149553322226472
55296 54 0.000149481718286395
55808 54.5 0.000149411049257311
56320 55 0.000149353848593815
56832 55.5 0.000149313027229689
57344 56 0.000149277245127946
57856 56.5 0.000149231687814162
58368 57 0.000149173665272381
58880 57.5 0.000149115866633035
59392 58 0.000149072885836053
59904 58.5 0.00014904530863641
60416 59 0.000149018820680698
60928 59.5 0.000148979249612729
61440 60 0.000148926928149651
61952 60.5 0.000148875108383714
62464 61 0.000148835128806348
62976 61.5 0.000148804956309928
63488 62 0.000148772697280029
64000 62.5 0.000148729643910579
64512 63 0.000148678081524666
65024 63.5 0.000148626747350356
65536 64 0.000148580895161139
66048 64.5 0.000148538151942389
66560 65 0.000148492860440337
67072 65.5 0.000148442148162089
67584 66 0.000148387178268987
68096 66.5 0.000148330255847168
68608 67 0.000148272552061487
69120 67.5 0.00014821437099015
69632 68 0.000148155821225819
70144 68.5 0.000148096192000174
70656 69 0.000148033450510542
71168 69.5 0.000147965700442905
71680 70 0.000147893467609426
72192 70.5 0.000147819821421
72704 71 0.000147747534065228
73216 71.5 0.000147676088497634
73728 72 0.000147601868548398
74240 72.5 0.000147521576710304
74752 73 0.000147435474466015
75264 73.5 0.000147347140091308
75776 74 0.000147259967659254
76288 74.5 0.000147173959066412
76800 75 0.000147085818581832
77312 75.5 0.000146992289907898
77824 76 0.000146893311150496
78336 76.5 0.000146791948079027
78848 77 0.000146691446872734
79360 77.5 0.000146592317111974
79872 78 0.000146492024674655
80384 78.5 0.000146387402690029
80896 79 0.000146277585998703
81408 79.5 0.000146164888684128
81920 80 0.000146052794382777
82432 80.5 0.000145942792504899
82944 81 0.000145833004408739
83456 81.5 0.000145720057206292
83968 82 0.000145602559409175
84480 82.5 0.000145482769282828
84992 83 0.000145364615282706
85504 83.5 0.00014524985593207
86016 84 0.000145136259091342
86528 84.5 0.000145019868746691
87040 85 0.000144899250412564
87552 85.5 0.000144777328664441
88064 86 0.000144658697165588
88576 86.5 0.000144545008716897
89088 87 0.000144433262535047
89600 87.5 0.000144318923351708
90112 88 0.000144200721251293
90624 88.5 0.000144082127040024
91136 89 0.000143967927844008
91648 89.5 0.000143859438696083
92160 90 0.000143753300878659
92672 90.5 0.000143645078227087
93184 91 0.000143533905845904
93696 91.5 0.000143423422514488
94208 92 0.000143318112650604
