# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.2735991102356e-05 1.27359911023561e-05 1.27359911023562e-05
1024 1 3.46706667605742e-05 3.46706667605743e-05 3.46706667605743e-05
1536 1.5 6.16417287772113e-05 6.16417287772114e-05 6.16417287772114e-05
2048 2 8.02475963793038e-05 8.02475963793037e-05 8.02475963793034e-05
2560 2.5 7.87382210467612e-05 7.87382210467611e-05 7.87382210467607e-05
3072 3 6.75541980202038e-05 6.75541980202034e-05 6.75541980202019e-05
3584 3.5 6.85060188225274e-05 6.85060188225261e-05 6.8506018822525e-05
4096 4 7.35102095152813e-05 7.35102095152812e-05 7.35102095152802e-05
4608 4.5 7.04592795235154e-05 7.0459279523516e-05 7.04592795235191e-05
5120 5 6.53117869080989e-05 6.5311786908103e-05 6.53117869081045e-05
5632 5.5 6.35418815802567e-05 6.35418815802638e-05 6.35418815802565e-05
6144 6 6.20456123588639e-05 6.2045612358865e-05 6.20456123588648e-05
6656 6.5 5.91145217362397e-05 5.91145217362417e-05 5.91145217362488e-05
7168 7 5.61255536144773e-05 5.61255536144836e-05 5.61255536144957e-05
7680 7.5 5.37447522364273e-05 5.37447522364261e-05 5.37447522364367e-05
8192 8 5.23828598836548e-05 5.23828598836458e-05 5.23828598836491e-05
8704 8.5 5.24183420112968e-05 5.24183420112979e-05 5.24183420112882e-05
9216 9 5.37720262598184e-05 5.3772026259836e-05 5.37720262598372e-05
9728 9.5 5.49649582927608e-05 5.49649582927827e-05 5.49649582927898e-05
10240 10 5.44003414223973e-05 5.44003414224082e-05 5.44003414224215e-05
10752 10.5 5.28399778408224e-05 5.28399778407978e-05 5.2839977840835e-05
11264 11 5.08465867321343e-05 5.0846586732108e-05 5.08465867321343e-05
11776 11.5 4.80642075108788e-05 4.80642075109041e-05 4.80642075109051e-05
12288 12 4.67646028766728e-05 4.6764602876713e-05 4.67646028767251e-05
12800 12.5 4.78182995746394e-05 4.78182995746776e-05 4.78182995746856e-05
13312 13 4.78869039749286e-05 4.78869039749181e-05 4.78869039749487e-05
13824 13.5 4.67716388875283e-05 4.67716388875057e-05 4.67716388875489e-05
14336 14 4.67347947471503e-05 4.67347947471638e-05 4.67347947471726e-05
14848 14.5 4.94416962948129e-05 4.94416962948302e-05 4.94416962948141e-05
15360 15 5.418107183716e-05 5.41810718371341e-05 5.41810718371265e-05
15872 15.5 5.68183167431595e-05 5.68183167431178e-05 5.68183167431065e-05
16384 16 5.67092179816622e-05 5.67092179816599e-05 5.67092179816424e-05
16896 16.5 5.5657326374768e-05 5.56573263747848e-05 5.56573263747755e-05
17408 17 5.27868263672852e-05 5.27868263673255e-05 5.27868263672972e-05
17920 17.5 4.91243631174825e-05 4.91243631175089e-05 4.91243631174594e-05
18432 18 4.56822780799792e-05 4.56822780799346e-05 4.56822780799354e-05
18944 18.5 4.0386762261716e-05 4.03867622616563e-05 4.03867622617025e-05
19456 19 3.79751661673421e-05 3.79751661673193e-05 3.79751661673179e-05
19968 19.5 4.17704632687573e-05 4.17704632687276e-05 4.17704632686925e-05
20480 20 4.48622199102656e-05 4.48622199102506e-05 4.48622199102324e-05
20992 20.5 4.68356251460634e-05 4.68356251460662e-05 4.68356251460705e-05
21504 21 4.89877561119754e-05 4.89877561119729e-05 4.89877561119821e-05
22016 21.5 4.93343457968165e-05 4.93343457968102e-05 4.93343457968145e-05
22528 22 4.98752569371888e-05 4.98752569371779e-05 4.98752569371841e-05
23040 22.5 5.1418224790545e-05 5.14182247905342e-05 5.14182247905357e-05
23552 23 5.21463230274317e-05 5.21463230274258e-05 5.21463230273998e-05
24064 23.5 5.21405976347034e-05 5.2140597634728e-05 5.21405976346948e-05
24576 24 5.06464250298882e-05 5.06464250299107e-05 5.06464250299053e-05
25088 24.5 4.88995830686847e-05 4.88995830686759e-05 4.8899583068673e-05
25600 25 5.07271724314278e-05 5.07271724314287e-05 5.07271724314162e-05
26112 25.5 5.372328247149e-05 5.37232824715176e-05 5.37232824715002e-05
26624 26 5.21884395346344e-05 5.2188439534666e-05 5.21884395346461e-05
27136 26.5 4.66207686693633e-05 4.66207686693718e-05 4.66207686693251e-05
27648 27 4.46414298629135e-05 4.46414298629227e-05 4.46414298628834e-05
28160 27.5 4.96430711053207e-05 4.96430711053869e-05 4.96430711053574e-05
28672 28 5.43383444727776e-05 5.43383444728478e-05 5.43383444728095e-05
29184 28.5 5.32902048946537e-05 5.32902048946677e-05 5.32902048946276e-05
29696 29 4.78486973957265e-05 4.7848697395724e-05 4.7848697395669e-05
30208 29.5 4.32296323767493e-05 4.3229632376763e-05 4.32296323766812e-05
30720 30 4.25138995542374e-05 4.25138995542161e-05 4.25138995541648e-05
31232 30.5 4.29104314674208e-05 4.29104314673407e-05 4.29104314673596e-05
31744 31 4.12925666636482e-05 4.12925666635626e-05 4.12925666636049e-05
32256 31.5 3.84607380906726e-05 3.84607380906397e-05 3.84607380906295e-05
32768 32 3.6542380992099e-05 3.65423809920999e-05 3.6542380992047e-05
33280 32.5 3.5549885138766e-05 3.55498851387893e-05 3.5549885138739e-05
33792 33 3.47794897654706e-05 3.47794897655046e-05 3.47794897654901e-05
34304 33.5 3.42631482516726e-05 3.42631482516854e-05 3.42631482516698e-05
34816 34 3.40878331595024e-05 3.40878331594759e-05 3.40878331594465e-05
35328 34.5 3.47801088901779e-05 3.47801088901255e-05 3.47801088901441e-05
35840 35 3.60863703157327e-05 3.60863703156732e-05 3.60863703157557e-05
36352 35.5 3.61863909097494e-05 3.61863909097338e-05 3.61863909097944e-05
36864 36 3.45427796124417e-05 3.45427796124289e-05 3.45427796124383e-05
37376 36.5 3.26089423048785e-05 3.26089423048012e-05 3.26089423047802e-05
37888 37 3.08794361033673e-05 3.08794361032421e-05 3.08794361032411e-05
38400 37.5 2.89574851856972e-05 2.89574851856093e-05 2.89574851856253e-05
38912 38 2.74166249424348e-05 2.74166249423985e-05 2.7416624942407e-05
39424 38.5 2.62710046253568e-05 2.62710046253167e-05 2.62710046253024e-05
39936 39 2.50975743919125e-05 2.50975743918513e-05 2.50975743918211e-05
40448 39.5 2.4177371247747e-05 2.41773712476741e-05 2.41773712476792e-05
40960 40 2.35379820401464e-05 2.35379820401064e-05 2.35379820401443e-05
41472 40.5 2.34186553293502e-05 2.34186553293493e-05 2.34186553293795e-05
41984 41 2.33799285603474e-05 2.33799285603487e-05 2.33799285603695e-05
42496 41.5 2.23300030336398e-05 2.23300030336061e-05 2.23300030336822e-05
43008 42 2.1221573655014e-05 2.12215736549767e-05 2.12215736551029e-05
43520 42.5 2.15737507836361e-05 2.15737507836207e-05 2.15737507837209e-05
44032 43 2.24513778783546e-05 2.2451377878365e-05 2.24513778783779e-05
44544 43.5 2.15122424805759e-05 2.15122424805519e-05 2.15122424805578e-05
45056 44 1.83302725997408e-05 1.83302725996964e-05 1.83302725997477e-05
45568 44.5 1.63345739331997e-05 1.63345739331485e-05 1.63345739332559e-05
46080 45 1.72180405345674e-05 1.72180405345161e-05 1.7218040534636e-05
46592 45.5 1.79291194279888e-05 1.79291194279656e-05 1.79291194280381e-05
47104 46 1.79818179106826e-05 1.798181791071e-05 1.79818179107449e-05
47616 46.5 1.81658033456481e-05 1.81658033457095e-05 1.81658033457416e-05
48128 47 1.76205215462169e-05 1.76205215462085e-05 1.76205215462991e-05
48640 47.5 1.66523179175505e-05 1.66523179174664e-05 1.66523179175838e-05
49152 48 1.67845510599918e-05 1.67845510599004e-05 1.67845510600066e-05
49664 48.5 1.71744946767603e-05 1.71744946766815e-05 1.71744946767651e-05
50176 49 1.63611192851678e-05 1.63611192851189e-05 1.63611192852174e-05
50688 49.5 1.51131384555838e-05 1.51131384555372e-05 1.51131384556361e-05
51200 50 1.49108537383419e-05 1.49108537382394e-05 1.49108537383113e-05
51712 50.5 1.60945287724558e-05 1.6094528772327e-05 1.60945287724412e-05
52224 51 1.73483413896029e-05 1.73483413895599e-05 1.73483413896952e-05
52736 51.5 1.70912326824553e-05 1.70912326825109e-05 1.70912326826208e-05
53248 52 1.60604235156462e-05 1.60604235156797e-05 1.60604235157671e-05
53760 52.5 1.57925695370821e-05 1.57925695370641e-05 1.5792569537122e-05
54272 53 1.59303650396353e-05 1.59303650396426e-05 1.59303650396612e-05
54784 53.5 1.60108910969525e-05 1.60108910969828e-05 1.60108910969971e-05
55296 54 1.52038459967981e-05 1.5203845996793e-05 1.52038459968474e-05
55808 54.5 1.33744772684879e-05 1.33744772684416e-05 1.33744772685059e-05
56320 55 1.31689760767705e-05 1.3168976076783e-05 1.31689760767898e-05
56832 55.5 1.41181360505463e-05 1.41181360505938e-05 1.41181360505566e-05
57344 56 1.42817560776933e-05 1.4281756077706e-05 1.42817560777064e-05
57856 56.5 1.50462998930179e-05 1.50462998930668e-05 1.50462998931404e-05
58368 57 1.55343758070458e-05 1.55343758071043e-05 1.55343758071947e-05
58880 57.5 1.44864689146391e-05 1.44864689146771e-05 1.44864689147247e-05
