# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 11000.0735305474 11000.0735305474 4.39865899085999 2.45452904701233 1.89983224868774 0 2.49953985214233 45 158596.615702648 158596.615702648 389280 389280 26595.733336079 26595.733336079 65280 65280 521.044527828354 195498.94826855 14165.8480768572 181333.100191693 1306 488719 35599 453120 0 0 0 0 4.32854032516479 1731334526.9257 9851
8192 8 10906.4547156151 10906.4547156151 4.58476805686951 2.64063811302185 2.02559995651245 0 2.62060594558716 48 157246.840433134 157246.840433134 415232 415232 26369.3838457537 26369.3838457537 69632 69632 549.39728257938 205703.173592447 14391.0046373513 191312.168955096 1488 596509 37021 559488 0 0 0 0 4.50980138778687 1731334527.11181 10490
8704 8.5 10869.9938572103 10869.9938572103 4.75921893119812 2.81508898735046 2.13504552841187 0 2.62489533424377 51 156721.155879068 156721.155879068 441184 441184 26281.2295925441 26281.2295925441 73984 73984 575.419291422105 227767.341657141 14561.9187967635 213205.422860378 1514 597901 38413 559488 0 0 0 0 4.67992949485779 1731334527.28626 11129
9216 9 10925.5302978959 10925.5302978959 4.90966105461121 2.96553111076355 2.25743317604065 0 2.68332147598267 54 157521.867939441 157521.867939441 467136 467136 26415.5043646905 26415.5043646905 78336 78336 592.70925123042 226986.151855271 14950.0728502146 212036.079005057 1612 606244 39844 566400 0 0 0 0 4.82572174072266 1731334527.43671 11768
9728 9.5 10977.4939528015 10977.4939528015 5.05959510803223 3.11546516418457 2.37266254425049 0 2.68767070770264 57 158271.068368392 158271.068368392 493088 493088 26541.1409347735 26541.1409347735 82688 82688 608.128399657421 226066.3360844 15268.3400219986 210797.996062401 1638 607625 41225 566400 0 0 0 0 4.97109699249268 1731334527.58664 12407
10240 10 10913.4986646417 10913.4986646417 5.24279713630676 3.29866719245911 2.49626898765564 0 2.80695033073425 60 157348.398524879 157348.398524879 519040 519040 26386.4145491783 26386.4145491783 87040 87040 632.798903172927 234965.36903033 15459.1534118638 219506.215618466 1820 715427 42659 672768 0 0 0 0 5.1495406627655 1731334527.76984 13046
10752 10.5 10884.491609942 10884.491609942 5.41696095466614 3.47283101081848 2.60639381408691 0 2.81129121780396 63 156930.18125623 156930.18125623 544992 544992 26316.2819369263 26316.2819369263 91392 91392 655.383738536268 254988.393499934 15617.4885012546 239370.90499868 1846 716868 44100 672768 0 0 0 0 5.31931161880493 1731334527.94401 13685
11264 11 10920.5014394045 10920.5014394045 5.57033705711365 3.62620711326599 2.72984433174133 0 2.86590576171875 66 157449.362975236 157449.362975236 570944 570944 26403.3457023824 26403.3457023824 95744 95744 670.30624053101 253835.186254699 15972.2289005522 237862.957354147 1944 725247 45567 679680 0 0 0 0 5.46791911125183 1731334528.09738 14324
11776 11.5 9842.42833449143 9842.42833449143 6.15040898323059 4.20627903938293 3.28083848953247 0 2.87035059928894 69 141905.944520401 141905.944520401 596896 596896 23796.8045065037 23796.8045065037 100096 100096 685.119952382262 253164.716320932 16306.9700161625 236857.746304769 1970 726682 47002 679680 0 0 0 0 6.04269647598267 1731334528.67745 14963
12288 12 9840.74581012959 9840.74581012959 6.33404111862183 4.38991117477417 3.40365409851074 0 2.98507809638977 72 141881.686258046 141881.686258046 622848 622848 23792.7365364911 23792.7365364911 104448 104448 706.391335271998 260866.566345568 16475.6394526242 244390.926892944 2152 834527 48479 786048 0 0 0 0 6.22150278091431 1731334528.86109 15602
12800 12.5 9858.77633106164 9858.77633106164 6.50859093666077 4.56446099281311 3.51994967460632 0 2.98937344551086 75 142141.646302062 142141.646302062 648800 648800 23836.3303293224 23836.3303293224 108800 108800 727.420860978663 279645.138615762 16633.3111408051 263011.827474957 2178 835968 49920 786048 0 0 0 0 6.39163184165955 1731334529.03564 16241
13312 13 9833.40744287128 9833.40744287128 6.70341610908508 4.75928616523743 3.6857168674469 0 3.04186534881592 78 141775.883309664 141775.883309664 674752 674752 23774.9939952088 23774.9939952088 113152 113152 740.961845749137 278400.507382548 16966.8995814855 261433.607801062 2276 844362 51402 792960 0 0 0 0 6.58182811737061 1731334529.23046 16880
13824 13.5 9922.43518001463 9922.43518001463 6.84212112426758 4.89799118041992 3.79673528671265 0 3.04639601707458 81 143059.465439855 143059.465439855 700704 700704 23990.2432796798 23990.2432796798 117504 117504 754.584188204215 277664.324031568 17283.5242585417 260380.799773026 2302 845803 52843 792960 0 0 0 0 6.71608114242554 1731334529.36917 17519
14336 14 9890.25526929882 9890.25526929882 7.0400550365448 5.09592509269714 3.93536639213562 0 3.15996599197388 84 142595.502638246 142595.502638246 726656 726656 23912.4394066603 23912.4394066603 121856 121856 773.668562329251 284588.923785026 17431.6996641378 267157.224120888 2484 953649 54321 899328 0 0 0 0 6.90811920166016 1731334529.5671 18158
14848 14.5 9900.5466532816 9900.5466532816 7.21656608581543 5.27243614196777 4.05297803878784 0 3.1643180847168 87 142743.881525536 142743.881525536 752608 752608 23937.3216861564 23937.3216861564 126208 126208 792.138534710473 301835.127015725 17560.4406054691 284274.686410255 2510 955090 55762 899328 0 0 0 0 7.08121228218079 1731334529.74361 18797
15360 15 9931.67376012166 9931.67376012166 7.38127994537354 5.43715000152588 4.1895694732666 0 3.21712899208069 90 143192.665234821 143192.665234821 778560 778560 24012.5801133608 24012.5801133608 130560 130560 804.584257388733 300542.924674109 17870.6685642284 282672.256109881 2608 963478 57238 906240 0 0 0 0 7.24121475219727 1731334529.90833 19436
15872 15.5 9952.38019748088 9952.38019748088 7.55082893371582 5.60669898986816 4.32976174354553 0 3.22183108329773 93 143491.206047236 143491.206047236 804512 804512 24062.6436774649 24062.6436774649 134912 134912 816.499577539381 299500.427356499 18152.6793909905 281347.747965509 2634 964918 58678 906240 0 0 0 0 7.40619444847107 1731334530.07787 20075
16384 16 9902.8265072455 9902.8265072455 7.76065111160278 5.81652116775513 4.48069953918457 0 3.33824682235718 96 142776.751953353 142776.751953353 830464 830464 23942.8338664069 23942.8338664069 139264 139264 833.548892304011 305698.720807867 18279.843063596 287418.877744271 2816 1072766 60158 1012608 0 0 0 0 7.61002016067505 1731334530.2877 20714
