# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.45465788155467e-06
512 0.375 6.91891607162014e-06
1024 0.75 1.07760278959984e-05
1536 1.125 1.36464619249822e-05
2048 1.5 1.58878155804009e-05
2560 1.875 1.75328622582304e-05
3072 2.25 1.85647713172798e-05
3584 2.625 1.9029373434985e-05
4096 3 1.90073532542914e-05
4608 3.375 1.88534138749641e-05
5120 3.75 1.87886048929555e-05
5632 4.125 1.89557305508215e-05
6144 4.5 1.94585224350521e-05
6656 4.875 2.00038462121839e-05
7168 5.25 2.04572885498316e-05
7680 5.625 2.07344496282095e-05
8192 6 2.08124721317854e-05
8704 6.375 2.07504926903887e-05
9216 6.75 2.05943222063765e-05
9728 7.125 2.05399221249801e-05
10240 7.5 2.06416563488889e-05
10752 7.875 2.09327726607173e-05
11264 8.25 2.13059430539831e-05
11776 8.625 2.15660833495878e-05
12288 9 2.16835970554018e-05
12800 9.375 2.17129544045396e-05
13312 9.75 2.16832770083616e-05
13824 10.125 2.16085976733261e-05
14336 10.5 2.16075491718971e-05
14848 10.875 2.1739365442145e-05
15360 11.25 2.20055536164918e-05
15872 11.625 2.22847758831449e-05
16384 12 2.23898826809037e-05
16896 12.375 2.24209966995013e-05
17408 12.75 2.24749044350965e-05
17920 13.125 2.25364273701877e-05
18432 13.5 2.25480244862247e-05
18944 13.875 2.25326729392557e-05
19456 14.25 2.26641421847704e-05
19968 14.625 2.29121394970827e-05
20480 15 2.31500668259327e-05
20992 15.375 2.32402413771047e-05
21504 15.75 2.32619299983109e-05
22016 16.125 2.33083120244689e-05
22528 16.5 2.3398822668904e-05
23040 16.875 2.3473338260714e-05
23552 17.25 2.35025481761705e-05
24064 17.625 2.35820144042833e-05
24576 18 2.37820750017607e-05
25088 18.375 2.39987015607123e-05
25600 18.75 2.40896606240643e-05
26112 19.125 2.40884956649473e-05
26624 19.5 2.41462980153137e-05
27136 19.875 2.42939730304214e-05
27648 20.25 2.44015951499093e-05
28160 20.625 2.44433204756565e-05
28672 21 2.45077824972163e-05
29184 21.375 2.4650881685617e-05
29696 21.75 2.47805107811217e-05
30208 22.125 2.48309652956552e-05
30720 22.5 2.48661556252993e-05
31232 22.875 2.4962887221555e-05
31744 23.25 2.51089541786651e-05
32256 23.625 2.52505002373482e-05
32768 24 2.53423106130163e-05
33280 24.375 2.53858839581069e-05
33792 24.75 2.54885617972073e-05
34304 25.125 2.55917004068971e-05
34816 25.5 2.56624818933196e-05
35328 25.875 2.5711105070976e-05
35840 26.25 2.58033239619093e-05
36352 26.625 2.59021328754007e-05
36864 27 2.60391053052811e-05
37376 27.375 2.61727411142805e-05
37888 27.75 2.62660039051148e-05
38400 28.125 2.634143923926e-05
38912 28.5 2.6439182482361e-05
39424 28.875 2.65485325073274e-05
39936 29.25 2.66498632707574e-05
40448 29.625 2.67617506730506e-05
40960 30 2.68568447950452e-05
41472 30.375 2.69373529209865e-05
41984 30.75 2.70234381621266e-05
42496 31.125 2.71241056020815e-05
43008 31.5 2.72267787597495e-05
43520 31.875 2.73072506823234e-05
44032 32.25 2.74164880177199e-05
44544 32.625 2.75479092964902e-05
45056 33 2.76989777377141e-05
45568 33.375 2.78256434529926e-05
46080 33.75 2.79666860211324e-05
46592 34.125 2.81281892350857e-05
47104 34.5 2.82644839488892e-05
47616 34.875 2.83799143886217e-05
48128 35.25 2.84462336546214e-05
48640 35.625 2.85420116041239e-05
49152 36 2.86583062890046e-05
49664 36.375 2.87738132415202e-05
50176 36.75 2.88553166877752e-05
50688 37.125 2.89404657573994e-05
51200 37.5 2.90757182128727e-05
51712 37.875 2.9235518171152e-05
52224 38.25 2.93568260296626e-05
52736 38.625 2.94539357006314e-05
53248 39 2.95549469489355e-05
53760 39.375 2.97034833295973e-05
54272 39.75 2.98563521399953e-05
54784 40.125 2.9978179382042e-05
55296 40.5 3.00850040348763e-05
55808 40.875 3.01748245462613e-05
56320 41.25 3.02700327819479e-05
56832 41.625 3.03319804540031e-05
57344 42 3.03884283660841e-05
57856 42.375 3.04408000062755e-05
58368 42.75 3.05148435893992e-05
58880 43.125 3.06435933626517e-05
59392 43.5 3.08085959897985e-05
59904 43.875 3.10009830151088e-05
60416 44.25 3.11786774530803e-05
60928 44.625 3.13474849154274e-05
61440 45 3.14565674640526e-05
61952 45.375 3.151615188767e-05
62464 45.75 3.15607485951981e-05
62976 46.125 3.15819384893464e-05
63488 46.5 3.16154146747774e-05
64000 46.875 3.16879328637532e-05
64512 47.25 3.18487322914037e-05
65024 47.625 3.20430601421672e-05
65536 48 3.22404452426147e-05
66048 48.375 3.24106474583664e-05
66560 48.75 3.25311034589705e-05
67072 49.125 3.26144331728219e-05
67584 49.5 3.26558181014805e-05
68096 49.875 3.26811000066816e-05
68608 50.25 3.27103829656832e-05
69120 50.625 3.28007885891635e-05
69632 51 3.29563990392886e-05
70144 51.375 3.31314163128085e-05
70656 51.75 3.33116483621528e-05
71168 52.125 3.34569997815484e-05
71680 52.5 3.35788248031079e-05
72192 52.875 3.36411749730348e-05
72704 53.25 3.36642283360481e-05
73216 53.625 3.36948626625898e-05
73728 54 3.37598768483739e-05
74240 54.375 3.38615678884079e-05
74752 54.75 3.39835109757137e-05
75264 55.125 3.41419140551966e-05
75776 55.5 3.43026219293311e-05
76288 55.875 3.44551995550265e-05
76800 56.25 3.45614305346266e-05
77312 56.625 3.46201038656833e-05
77824 57 3.46536705754834e-05
78336 57.375 3.47037172744255e-05
78848 57.75 3.47940335092207e-05
79360 58.125 3.48897315406849e-05
79872 58.5 3.4998703731541e-05
80384 58.875 3.51337540440496e-05
80896 59.25 3.52907400075589e-05
81408 59.625 3.54372111794908e-05
81920 60 3.55348929805851e-05
82432 60.375 3.56084031954231e-05
82944 60.75 3.56635281524307e-05
83456 61.125 3.57260977304337e-05
83968 61.5 3.57920863233677e-05
84480 61.875 3.58905329481432e-05
84992 62.25 3.60210854018249e-05
85504 62.625 3.61685069759009e-05
86016 63 3.62977277518443e-05
86528 63.375 3.64072345045026e-05
87040 63.75 3.64944512888125e-05
87552 64.125 3.65699459342351e-05
88064 64.5 3.66404384078373e-05
88576 64.875 3.67115794704236e-05
89088 65.25 3.67890220742703e-05
89600 65.625 3.68928100173572e-05
90112 66 3.70196722735994e-05
90624 66.375 3.71579014528545e-05
91136 66.75 3.72862126306693e-05
91648 67.125 3.73917641186177e-05
92160 67.5 3.7467079906664e-05
92672 67.875 3.75165177970926e-05
93184 68.25 3.75656489992657e-05
93696 68.625 3.7630199165096e-05
94208 69 3.77416425911882e-05
94720 69.375 3.78778636014905e-05
95232 69.75 3.80108271463479e-05
95744 70.125 3.81286214154789e-05
96256 70.5 3.82339247600921e-05
96768 70.875 3.83255508339063e-05
97280 71.25 3.83849376535951e-05
97792 71.625 3.84328383623729e-05
98304 72 3.85080210325132e-05
98816 72.375 3.86186621062696e-05
99328 72.75 3.87313745074986e-05
99840 73.125 3.88410110974287e-05
100352 73.5 3.89550827674973e-05
100864 73.875 3.90566528013321e-05
101376 74.25 3.91445933888871e-05
101888 74.625 3.921778505543e-05
102400 75 3.92982597819511e-05
102912 75.375 3.94023856700477e-05
103424 75.75 3.95076709519035e-05
103936 76.125 3.96099089301185e-05
104448 76.5 3.97083952486964e-05
104960 76.875 3.98117793509262e-05
