# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
172544 202.2 1
173056 202.8 1
173568 203.4 1
174080 204 1
174592 204.6 1
175104 205.2 1
175616 205.8 1
176128 206.4 1
176640 207 1
177152 207.6 1
177664 208.2 1
178176 208.8 1
178688 209.4 1
179200 210 1
179712 210.6 1
180224 211.2 1
180736 211.8 1
181248 212.4 1
181760 213 1
182272 213.6 1
182784 214.2 1
183296 214.8 1
183808 215.4 1
184320 216 1
184832 216.6 1
185344 217.2 1
185856 217.8 1
186368 218.4 1
186880 219 1
187392 219.6 1
187904 220.2 1
188416 220.8 1
188928 221.4 1
189440 222 1
189952 222.6 1
190464 223.2 1
190976 223.8 1
191488 224.4 1
192000 225 1
192512 225.6 1
193024 226.2 1
193536 226.8 1
194048 227.4 1
194560 228 1
195072 228.6 1
195584 229.2 1
196096 229.8 1
196608 230.4 1
197120 231 1
197632 231.6 1
198144 232.2 1
198656 232.8 1
199168 233.4 1
199680 234 1
200192 234.6 1
200704 235.2 1
201216 235.8 1
201728 236.4 1
202240 237 1
202752 237.6 1
203264 238.2 1
203776 238.8 1
204288 239.4 1
204800 240 1
205312 240.6 1
205824 241.2 1
206336 241.8 1
206848 242.4 1
207360 243 1
207872 243.6 1
208384 244.2 1
208896 244.8 1
209408 245.4 1
209920 246 1
210432 246.6 1
210944 247.2 1
211456 247.8 1
211968 248.4 1
212480 249 1
212992 249.6 1
213504 250.2 1
214016 250.8 1
214528 251.4 1
215040 252 1
215552 252.6 1
216064 253.2 1
216576 253.8 1
217088 254.4 1
217600 255 1
218112 255.6 1
218624 256.2 1
219136 256.8 1
219648 257.4 1
220160 258 1
220672 258.6 1
221184 259.2 1
221696 259.8 1
222208 260.4 1
222720 261 1
223232 261.6 1
223744 262.2 1
224256 262.8 1
224768 263.4 1
225280 264 1
225792 264.6 1
226304 265.2 1
226816 265.8 1
227328 266.4 1
227840 267 1
228352 267.6 1
228864 268.2 1
229376 268.8 1
229888 269.4 1
230400 270 1
230912 270.6 1
231424 271.2 1
231936 271.8 1
232448 272.4 1
232960 273 1
233472 273.6 1
233984 274.2 1
234496 274.8 1
235008 275.4 1
235520 276 1
236032 276.6 1
236544 277.2 1
237056 277.8 1
237568 278.4 1
238080 279 1
238592 279.6 1
239104 280.2 1
239616 280.8 1
240128 281.4 1
240640 282 1
241152 282.6 1
241664 283.2 1
242176 283.8 1
242688 284.4 1
243200 285 1
243712 285.6 1
244224 286.2 1
244736 286.8 1
245248 287.4 1
245760 288 1
246272 288.6 1
246784 289.2 1
247296 289.8 1
247808 290.4 1
248320 291 1
248832 291.6 1
249344 292.2 1
249856 292.8 1
250368 293.4 1
250880 294 1
251392 294.6 1
251904 295.2 1
252416 295.8 1
252928 296.4 1
253440 297 1
253952 297.6 1
254464 298.2 1
254976 298.8 1
255488 299.4 1
256000 300 1
256512 300.6 1
257024 301.2 1
257536 301.8 1
258048 302.4 1
258560 303 1
259072 303.6 1
259584 304.2 1
260096 304.8 1
260608 305.4 1
261120 306 1
261632 306.6 1
262144 307.2 1
262656 307.8 1
263168 308.4 1
263680 309 1
264192 309.6 1
264704 310.2 1
265216 310.8 1
265728 311.4 1
266240 312 1
266752 312.6 1
267264 313.2 1
267776 313.8 1
268288 314.4 1
268800 315 1
269312 315.6 1
269824 316.2 1
270336 316.8 1
270848 317.4 1
271360 318 1
271872 318.6 1
272384 319.2 1
272896 319.8 1
273408 320.4 1
273920 321 1
274432 321.6 1
274944 322.2 1
275456 322.8 1
275968 323.4 1
276480 324 1
276992 324.6 1
277504 325.2 1
278016 325.8 1
278528 326.4 1
279040 327 1
279552 327.6 1
280064 328.2 1
280576 328.8 1
281088 329.4 1
281600 330 1
282112 330.6 1
282624 331.2 1
283136 331.8 1
283648 332.4 1
284160 333 1
284672 333.6 1
285184 334.2 1
285696 334.8 1
286208 335.4 1
286720 336 1
287232 336.6 1
287744 337.2 1
288256 337.8 1
288768 338.4 1
289280 339 1
289792 339.6 1
290304 340.2 1
290816 340.8 1
291328 341.4 1
291840 342 1
292352 342.6 1
292864 343.2 1
293376 343.8 1
293888 344.4 1
294400 345 1
294912 345.6 1
295424 346.2 1
295936 346.8 1
296448 347.4 1
296960 348 1
297472 348.6 1
297984 349.2 1
298496 349.8 1
299008 350.4 1
299520 351 1
300032 351.6 1
300544 352.2 1
301056 352.8 1
301568 353.4 1
302080 354 1
302592 354.6 1
303104 355.2 1
303616 355.8 1
304128 356.4 1
304640 357 1
305152 357.6 1
305664 358.2 1
306176 358.8 1
306688 359.4 1
307200 360 1
307712 360.6 1
308224 361.2 1
308736 361.8 1
309248 362.4 1
309760 363 1
310272 363.6 1
310784 364.2 1
311296 364.8 1
311808 365.4 1
312320 366 1
312832 366.6 1
313344 367.2 1
313856 367.8 1
314368 368.4 1
314880 369 1
315392 369.6 1
315904 370.2 1
316416 370.8 1
316928 371.4 1
317440 372 1
317952 372.6 1
318464 373.2 1
318976 373.8 1
319488 374.4 1
320000 375 1
320512 375.6 1
321024 376.2 1
321536 376.8 1
322048 377.4 1
322560 378 1
323072 378.6 1
323584 379.2 1
324096 379.8 1
324608 380.4 1
325120 381 1
325632 381.6 1
326144 382.2 1
326656 382.8 1
327168 383.4 1
327680 384 1
328192 384.6 1
328704 385.2 1
329216 385.8 1
329728 386.4 1
330240 387 1
330752 387.6 1
331264 388.2 1
331776 388.8 1
332288 389.4 1
332800 390 1
333312 390.6 1
333824 391.2 1
334336 391.8 1
334848 392.4 1
335360 393 1
335872 393.6 1
336384 394.2 1
336896 394.8 1
337408 395.4 1
337920 396 1
338432 396.6 1
338944 397.2 1
339456 397.8 1
339968 398.4 1
340480 399 1
340992 399.6 1
341504 400.2 1
