# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 1.07105135043988e-06 1.07105135043988e-06 1.07105135043973e-06
1024 1.2 1.72541338964172e-06 1.7254133896417e-06 1.72541338964081e-06
1536 1.8 2.4460923895401e-06 2.44609238954006e-06 2.44609238954067e-06
2048 2.4 2.67496735446093e-06 2.67496735446096e-06 2.67496735446288e-06
2560 3 2.68891260382452e-06 2.68891260382453e-06 2.68891260382453e-06
3072 3.6 2.77814116270716e-06 2.77814116270744e-06 2.7781411627066e-06
3584 4.2 2.70472420484092e-06 2.70472420484105e-06 2.70472420484196e-06
4096 4.8 2.55898901599675e-06 2.55898901599689e-06 2.55898901599636e-06
4608 5.4 2.54974852424628e-06 2.54974852424662e-06 2.54974852424432e-06
5120 6 2.60739731011315e-06 2.6073973101123e-06 2.60739731010873e-06
5632 6.6 2.57575228040623e-06 2.57575228040319e-06 2.57575228040607e-06
6144 7.2 2.56571027875329e-06 2.56571027875153e-06 2.56571027875511e-06
6656 7.8 2.54466216632119e-06 2.54466216632124e-06 2.54466216631183e-06
7168 8.4 2.50615628020083e-06 2.50615628020121e-06 2.50615628019595e-06
7680 9 2.4705745207848e-06 2.47057452078849e-06 2.47057452078958e-06
8192 9.6 2.44969944520545e-06 2.44969944520995e-06 2.44969944521396e-06
8704 10.2 2.45329786099481e-06 2.45329786099519e-06 2.45329786099309e-06
9216 10.8 2.51628784061149e-06 2.51628784060971e-06 2.51628784061011e-06
9728 11.4 2.63118450979367e-06 2.63118450979249e-06 2.63118450979596e-06
10240 12 2.72686872991903e-06 2.72686872991527e-06 2.72686872991623e-06
10752 12.6 2.78146367023811e-06 2.78146367023647e-06 2.78146367024307e-06
11264 13.2 2.78526603125779e-06 2.78526603126302e-06 2.7852660312617e-06
11776 13.8 2.84839161986107e-06 2.84839161986595e-06 2.84839161986724e-06
12288 14.4 2.99478214646254e-06 2.99478214646076e-06 2.9947821464619e-06
12800 15 2.98366489747145e-06 2.98366489747928e-06 2.98366489747536e-06
13312 15.6 2.82099847449776e-06 2.82099847450474e-06 2.82099847450731e-06
13824 16.2 2.69785108188285e-06 2.69785108188376e-06 2.69785108188914e-06
14336 16.8 2.59131255707637e-06 2.59131255707413e-06 2.59131255709457e-06
14848 17.4 2.4764923519936e-06 2.47649235199029e-06 2.47649235200385e-06
15360 18 2.50005035213492e-06 2.50005035212662e-06 2.50005035212567e-06
